pilot,mode,dna_rmsd
ets1,interface,52.85
ets1,interface,54.144
ets1,interface,53.593
ets1,interface,52.744
ets1,interface,54.051
ets1,interface,53.702
ets1,interface,53.379
ets1,interface,53.591
ets1,interface,53.301
ets1,interface,53.518
ets1,interface,53.756
ets1,interface,53.878
ets1,interface,53.714
ets1,interface,53.807
ets1,interface,53.725
ets1,interface,53.746
ets1,interface,53.628
ets1,interface,53.293
ets1,interface,53.639
ets1,interface,53.39
ets1,interface,53.413
ets1,interface,53.641
ets1,interface,54.385
ets1,interface,53.602
ets1,interface,53.999
ets1,interface,53.832
ets1,interface,53.47
ets1,interface,53.604
ets1,interface,53.839
ets1,interface,53.908
ets1,all,52.85
ets1,all,54.144
ets1,all,53.593
ets1,all,52.744
ets1,all,54.051
ets1,all,53.702
ets1,all,53.379
ets1,all,53.591
ets1,all,53.301
ets1,all,53.518
ets1,all,53.756
ets1,all,53.878
ets1,all,53.714
ets1,all,53.807
ets1,all,53.725
ets1,all,53.746
ets1,all,53.628
ets1,all,53.293
ets1,all,53.639
ets1,all,53.39
ets1,all,53.413
ets1,all,53.641
ets1,all,54.385
ets1,all,53.602
ets1,all,53.999
ets1,all,53.832
ets1,all,53.47
ets1,all,53.604
ets1,all,53.839
ets1,all,53.908
tbp,interface,0.001
tbp,interface,0.0
tbp,interface,0.001
tbp,interface,0.001
tbp,interface,0.0
tbp,interface,0.001
tbp,interface,0.001
tbp,interface,0.0
tbp,interface,0.001
tbp,interface,0.0
tbp,interface,0.0
tbp,interface,0.001
tbp,interface,0.0
tbp,interface,0.0
tbp,interface,0.0
tbp,interface,0.0
tbp,interface,0.0
tbp,interface,0.001
tbp,interface,0.0
tbp,interface,0.001
tbp,interface,0.001
tbp,interface,0.001
tbp,interface,0.001
tbp,interface,0.001
tbp,interface,0.001
tbp,interface,0.0
tbp,interface,0.0
tbp,interface,0.0
tbp,interface,0.001
tbp,interface,0.0
tbp,all,0.16
tbp,all,0.341
tbp,all,0.152
tbp,all,0.676
tbp,all,0.692
tbp,all,0.419
tbp,all,0.469
tbp,all,0.932
tbp,all,0.127
tbp,all,0.585
tbp,all,0.632
tbp,all,0.713
tbp,all,0.263
tbp,all,0.63
tbp,all,0.8
tbp,all,0.858
tbp,all,0.185
tbp,all,0.544
tbp,all,0.89
tbp,all,0.379
tbp,all,0.573
tbp,all,0.505
tbp,all,0.335
tbp,all,0.321
tbp,all,0.179
tbp,all,0.549
tbp,all,1.015
tbp,all,0.17
tbp,all,0.357
tbp,all,0.488
lef1,interface,0.0
lef1,interface,0.0
lef1,interface,0.001
lef1,interface,0.0
lef1,interface,0.0
lef1,interface,0.001
lef1,interface,0.0
lef1,interface,0.0
lef1,interface,0.001
lef1,interface,0.001
lef1,interface,0.0
lef1,interface,0.001
lef1,interface,0.0
lef1,interface,0.0
lef1,interface,0.0
lef1,interface,0.001
lef1,interface,0.001
lef1,interface,0.0
lef1,interface,0.0
lef1,interface,0.001
lef1,interface,0.0
lef1,interface,0.0
lef1,interface,0.0
lef1,interface,0.001
lef1,interface,0.001
lef1,interface,0.001
lef1,interface,0.001
lef1,interface,0.001
lef1,interface,0.001
lef1,interface,0.0
lef1,all,3.903
lef1,all,2.854
lef1,all,3.645
lef1,all,7.039
lef1,all,5.157
lef1,all,1.834
lef1,all,5.343
lef1,all,4.505
lef1,all,2.21
lef1,all,6.119
lef1,all,4.394
lef1,all,2.674
lef1,all,4.05
lef1,all,2.065
lef1,all,25.551
lef1,all,9.315
lef1,all,4.719
lef1,all,2.49
lef1,all,5.375
lef1,all,0.898
lef1,all,2.772
lef1,all,2.743
lef1,all,3.085
lef1,all,3.732
lef1,all,0.806
lef1,all,4.631
lef1,all,2.336
lef1,all,3.984
lef1,all,5.654
lef1,all,2.421
