tf,cond,seed,metric,delta,n,family
tbp,frozen,1,pearsonr,-0.023964366269164854,130,induced-fit (orig)
tbp,frozen,1,spearmanr,-0.06444407384456856,130,induced-fit (orig)
tbp,frozen,1,auroc,-0.0024120399236334405,130,induced-fit (orig)
tbp,frozen,1,ic_weighted_pcc,-0.02012241152040304,130,induced-fit (orig)
tbp,frozen,1,ic_corr,-0.038517167468465265,130,induced-fit (orig)
tbp,frozen,1,mae,0.03329565662604112,130,induced-fit (orig)
tbp,frozen,2,pearsonr,-0.06588380712297873,130,induced-fit (orig)
tbp,frozen,2,spearmanr,-0.02823690075783542,130,induced-fit (orig)
tbp,frozen,2,auroc,-0.02257987172518599,130,induced-fit (orig)
tbp,frozen,2,ic_weighted_pcc,-0.06683210512721488,130,induced-fit (orig)
tbp,frozen,2,ic_corr,-0.021710564220016087,130,induced-fit (orig)
tbp,frozen,2,mae,0.0769855906183903,130,induced-fit (orig)
tbp,frozen,3,pearsonr,0.022787142433862165,130,induced-fit (orig)
tbp,frozen,3,spearmanr,0.0082270595235503,130,induced-fit (orig)
tbp,frozen,3,auroc,-0.005811114032772555,130,induced-fit (orig)
tbp,frozen,3,ic_weighted_pcc,-0.009828366707069498,130,induced-fit (orig)
tbp,frozen,3,ic_corr,0.04411353712010889,130,induced-fit (orig)
tbp,frozen,3,mae,-0.01483709216117859,130,induced-fit (orig)
tbp,frozen,4,pearsonr,-0.008648130268612603,130,induced-fit (orig)
tbp,frozen,4,spearmanr,-0.011354399195643542,130,induced-fit (orig)
tbp,frozen,4,auroc,-0.003404488710175388,130,induced-fit (orig)
tbp,frozen,4,ic_weighted_pcc,0.009753650425266885,130,induced-fit (orig)
tbp,frozen,4,ic_corr,0.0004793508781651621,130,induced-fit (orig)
tbp,frozen,4,mae,0.01737934580216041,130,induced-fit (orig)
tbp,frozen,5,pearsonr,0.01779471059377372,130,induced-fit (orig)
tbp,frozen,5,spearmanr,0.010413738635806944,130,induced-fit (orig)
tbp,frozen,5,auroc,0.0017127412933278549,130,induced-fit (orig)
tbp,frozen,5,ic_weighted_pcc,-0.009301598834507886,130,induced-fit (orig)
tbp,frozen,5,ic_corr,-0.013255412512792813,130,induced-fit (orig)
tbp,frozen,5,mae,-0.010716290886585529,130,induced-fit (orig)
