tf,family,feat,crystal,frozen_med,relaxed_med,frozen_dist,relaxed_dist,converge
tbp,induced-fit,bend_uu,79.6608,74.62700000000001,72.30695,5.033799999999985,7.353849999999994,-2.320050000000009
tbp,induced-fit,shortening,13.0499,10.53975,10.97035,2.5101499999999994,2.0795499999999993,0.4306000000000001
tbp,induced-fit,minor_w,11.5095,11.892,11.8584,0.3825000000000003,0.34890000000000043,0.03359999999999985
tbp,induced-fit,major_w,12.4091,13.8895,14.0567,1.4803999999999995,1.6475999999999988,-0.16719999999999935
tbp,induced-fit,inclin,39.8356,38.1153,38.06385,1.7203000000000017,1.7717499999999973,-0.051449999999995555
tbp,induced-fit,tip,-1.7308,1.21035,1.37585,2.94115,3.10665,-0.1655000000000002
lef1,induced-fit,bend_uu,67.8707,69.4964,70.1364,1.6256999999999948,2.2656999999999954,-0.6400000000000006
lef1,induced-fit,shortening,11.1024,14.5758,15.2264,3.4734,4.1240000000000006,-0.6506000000000007
lef1,induced-fit,minor_w,8.3374,8.60585,8.8948,0.26844999999999963,0.5573999999999995,-0.2889499999999998
lef1,induced-fit,major_w,9.5847,10.226700000000001,10.5311,0.6420000000000012,0.9464000000000006,-0.30439999999999934
lef1,induced-fit,inclin,11.6523,14.2754,15.672,2.623099999999999,4.0197,-1.3966000000000012
lef1,induced-fit,tip,-1.77,0.5866,0.5495,2.3566000000000003,2.3195,0.03710000000000013
engrailed,induced-fit,bend_uu,8.1173,9.7672,7.088150000000001,1.6499000000000006,1.0291499999999996,0.620750000000001
engrailed,induced-fit,shortening,1.1733,1.2643,1.3879000000000001,0.09099999999999997,0.21460000000000012,-0.12360000000000015
engrailed,induced-fit,minor_w,7.006,7.0182,6.82685,0.012199999999999989,0.17914999999999992,-0.16694999999999993
engrailed,induced-fit,major_w,11.636,11.7992,12.0469,0.16320000000000157,0.4109000000000016,-0.24770000000000003
engrailed,induced-fit,inclin,7.1364,8.7993,8.38495,1.6629000000000005,1.2485499999999998,0.41435000000000066
engrailed,induced-fit,tip,-0.5316,-0.2754,-0.1408,0.2562,0.3907999999999999,-0.13459999999999994
egr1,rigid,bend_uu,3.8727,9.46,9.493649999999999,5.587300000000001,5.620949999999999,-0.03364999999999796
egr1,rigid,shortening,1.1434,1.15055,1.19605,0.00714999999999999,0.052650000000000086,-0.045500000000000096
egr1,rigid,minor_w,8.4822,7.76455,7.34305,0.7176500000000008,1.1391500000000008,-0.4215
egr1,rigid,major_w,11.3033,11.69,11.9443,0.3866999999999994,0.641,-0.25430000000000064
egr1,rigid,inclin,8.749,8.283650000000002,7.5619499999999995,0.46534999999999904,1.187050000000001,-0.721700000000002
egr1,rigid,tip,1.5163,1.0424,0.89655,0.4739,0.61975,-0.14585000000000004
ets1,rigid,bend_uu,19.2163,19.28785,20.13695,0.07154999999999845,0.9206499999999984,-0.8491
ets1,rigid,shortening,1.6474,2.01375,2.2443,0.36634999999999995,0.5969,-0.23055000000000003
ets1,rigid,minor_w,7.1339,7.0962,6.79405,0.03770000000000007,0.3398499999999993,-0.30214999999999925
ets1,rigid,major_w,11.2909,11.425699999999999,11.9489,0.13479999999999848,0.6579999999999995,-0.523200000000001
ets1,rigid,inclin,11.7612,11.450050000000001,10.69925,0.3111499999999996,1.0619500000000013,-0.7508000000000017
ets1,rigid,tip,1.4097,1.23685,0.9291,0.17284999999999995,0.4805999999999999,-0.30774999999999997
foxa,rigid,bend_uu,15.7659,22.9177,24.1088,7.1518,8.342899999999998,-1.1910999999999987
foxa,rigid,shortening,2.073,3.1118,3.6344,1.0388000000000002,1.5614,-0.5225999999999997
foxa,rigid,minor_w,6.3057,6.2046,6.065,0.10109999999999975,0.24069999999999947,-0.13959999999999972
foxa,rigid,major_w,12.2126,12.7088,12.9563,0.4962,0.7437000000000005,-0.2475000000000005
foxa,rigid,inclin,4.6435,5.4936,5.9077,0.8500999999999994,1.2641999999999998,-0.41410000000000036
foxa,rigid,tip,0.9372,1.207,1.3015,0.26980000000000004,0.36430000000000007,-0.09450000000000003
dux4,rigid,bend_uu,9.4996,28.5779,28.21,19.0783,18.7104,0.3678999999999988
dux4,rigid,shortening,2.0062,26.00005,33.922,23.993850000000002,31.915799999999997,-7.921949999999995
dux4,rigid,minor_w,6.3576,6.52965,6.644,0.17205000000000048,0.28640000000000043,-0.11434999999999995
dux4,rigid,major_w,11.2184,11.8083,12.0317,0.5898999999999983,0.8132999999999999,-0.2234000000000016
dux4,rigid,inclin,5.9535,7.5713,7.8847,1.6178,1.9311999999999996,-0.3133999999999997
dux4,rigid,tip,-0.9093,0.6138,0.3254,1.5231,1.2347000000000001,0.28839999999999977
