cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,1.0637,19.12,18.1,-1.02,7.94
frozen,002,1.1005,19.11,21.5,2.39,8.069
frozen,003,1.0263,19.12,19.09,-0.03,8.265
frozen,004,0.884,19.12,18.99,-0.13,8.228
frozen,005,0.9277,19.12,19.53,0.42,7.69
frozen,006,0.9304,19.12,20.56,1.44,8.428
frozen,007,0.8164,19.12,18.73,-0.38,7.999
frozen,008,0.9734,19.12,18.46,-0.65,8.096
frozen,009,0.9925,19.12,18.67,-0.44,7.78
frozen,010,0.7367,19.11,19.63,0.51,7.228
frozen,011,1.0904,19.12,17.75,-1.36,8.006
frozen,012,0.7513,19.12,19.13,0.01,7.475
frozen,013,1.1872,19.12,18.82,-0.3,7.981
frozen,014,0.397,19.12,19.7,0.58,7.365
frozen,015,1.1253,19.12,19.0,-0.12,8.084
frozen,016,0.9845,19.12,18.73,-0.39,7.591
frozen,017,1.021,19.12,19.57,0.45,8.146
frozen,018,1.0123,19.12,20.02,0.9,8.339
frozen,019,0.9853,19.11,19.07,-0.05,8.125
frozen,020,0.999,19.12,18.02,-1.09,8.498
frozen,021,1.0856,19.12,19.31,0.2,7.599
frozen,022,0.9978,19.12,20.76,1.64,8.582
frozen,023,1.0345,19.11,16.94,-2.17,7.909
frozen,024,1.1944,19.12,18.93,-0.19,7.821
frozen,025,0.9775,19.12,19.92,0.81,7.492
frozen,026,0.738,19.12,19.74,0.63,7.327
frozen,027,1.022,19.12,19.83,0.71,7.71
frozen,029,0.9815,19.12,19.46,0.34,7.445
frozen,030,0.7468,19.12,19.21,0.09,8.377
frozen,031,0.9272,19.11,19.16,0.05,7.683
frozen,032,0.8031,19.11,19.32,0.21,7.942
frozen,033,1.0284,19.11,19.23,0.12,7.324
frozen,034,1.0792,19.12,20.09,0.98,7.969
frozen,035,1.0231,19.12,18.57,-0.54,7.835
frozen,036,0.9739,19.12,18.93,-0.19,8.0
frozen,037,1.0593,19.12,18.51,-0.6,7.995
frozen,038,1.0125,19.12,19.72,0.6,7.474
frozen,039,0.9091,19.12,19.61,0.49,7.731
frozen,040,1.056,19.12,19.35,0.23,7.643
frozen,041,1.0854,19.12,18.8,-0.31,7.804
frozen,042,0.7399,19.12,18.45,-0.66,7.361
frozen,043,0.9523,19.12,17.71,-1.41,7.427
frozen,044,0.9432,19.11,16.1,-3.02,7.976
frozen,045,0.9969,19.12,18.0,-1.11,7.595
frozen,046,1.1844,19.12,18.85,-0.27,8.344
frozen,047,0.9358,19.11,18.93,-0.19,7.784
frozen,048,1.0442,19.12,19.74,0.63,7.876
frozen,049,1.1225,19.12,18.73,-0.38,8.337
frozen,050,1.287,19.12,19.04,-0.07,8.562
frozen,051,1.2719,19.12,20.06,0.94,8.377
frozen,052,1.1142,19.12,18.3,-0.81,7.953
frozen,053,1.1119,19.12,18.61,-0.51,7.87
frozen,054,1.0006,19.12,19.71,0.59,8.134
frozen,055,1.1577,19.12,18.23,-0.89,8.5
frozen,056,0.8912,19.11,18.02,-1.1,8.318
frozen,057,1.1347,19.12,21.65,2.53,7.983
frozen,058,1.1676,19.12,19.42,0.31,7.814
frozen,059,1.1282,19.11,19.92,0.8,8.138
frozen,060,0.9022,19.12,19.43,0.31,7.99
frozen,061,1.1341,19.12,18.25,-0.86,8.448
frozen,062,0.965,19.12,18.72,-0.39,8.569
