cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,0.5543,27.09,24.44,-2.64,7.714
frozen,002,0.8317,27.09,25.48,-1.6,8.079
frozen,003,0.6584,27.09,23.46,-3.63,7.657
frozen,004,0.5882,27.08,25.07,-2.02,7.915
frozen,006,0.6611,27.09,23.83,-3.26,7.834
frozen,007,0.859,27.09,23.77,-3.31,8.475
frozen,008,0.639,27.09,26.67,-0.42,7.735
frozen,009,0.4154,27.09,25.76,-1.33,7.648
frozen,010,0.9543,27.09,27.93,0.84,8.16
frozen,011,0.8417,27.09,25.76,-1.32,7.696
frozen,012,0.6134,27.09,23.79,-3.3,7.792
frozen,013,1.047,27.09,24.36,-2.73,8.586
frozen,014,0.4022,27.09,26.22,-0.87,7.706
frozen,015,0.739,27.09,25.27,-1.81,7.693
frozen,016,0.8242,27.09,25.39,-1.69,7.655
frozen,017,0.8616,27.09,27.36,0.27,8.099
frozen,018,0.789,27.09,27.82,0.74,7.774
frozen,019,0.7409,27.09,27.8,0.71,7.725
frozen,020,0.5836,27.09,23.56,-3.53,7.729
frozen,021,0.4863,27.09,24.9,-2.19,7.702
frozen,022,0.4839,27.09,26.76,-0.33,7.672
frozen,023,0.3883,27.09,24.85,-2.24,7.675
frozen,024,0.7048,27.09,24.15,-2.93,7.89
frozen,025,0.4601,27.09,25.99,-1.1,7.703
frozen,026,0.4911,27.09,27.23,0.14,7.736
frozen,027,0.754,27.09,29.34,2.25,7.745
frozen,028,0.7589,27.09,27.02,-0.06,7.721
frozen,029,0.6547,27.09,25.37,-1.72,7.713
frozen,030,0.5502,27.09,26.21,-0.88,7.728
frozen,031,0.6591,27.09,26.03,-1.06,7.713
frozen,032,0.6298,27.09,23.49,-3.59,7.748
frozen,033,0.8687,27.09,26.1,-0.99,7.683
frozen,034,0.398,27.09,26.26,-0.83,7.613
frozen,035,0.6384,27.09,24.78,-2.31,7.747
frozen,036,0.883,27.09,29.12,2.04,8.05
frozen,037,0.6559,27.09,25.92,-1.16,7.944
frozen,038,0.6037,27.09,24.97,-2.11,7.912
frozen,039,0.6168,27.09,26.01,-1.07,7.679
frozen,040,0.3255,27.09,26.87,-0.22,8.151
frozen,042,0.7746,27.09,27.9,0.81,7.698
frozen,043,0.6877,27.09,26.74,-0.35,7.623
frozen,044,0.7724,27.09,27.09,0.0,7.673
frozen,045,0.5203,27.09,24.12,-2.97,7.749
frozen,046,0.708,27.09,24.28,-2.81,7.746
frozen,047,0.6593,27.09,27.89,0.8,7.761
frozen,048,0.9415,27.09,26.16,-0.93,7.766
frozen,049,1.1108,27.09,21.88,-5.21,7.849
frozen,050,0.4569,27.09,25.98,-1.11,7.989
frozen,051,0.7005,27.09,27.88,0.79,7.717
frozen,052,0.5417,27.09,24.72,-2.37,7.758
frozen,053,0.7274,27.09,26.3,-0.78,7.667
frozen,054,0.3217,27.09,26.67,-0.42,7.703
frozen,055,0.4561,27.09,25.5,-1.59,7.989
frozen,056,0.4048,27.09,28.88,1.8,7.677
frozen,057,0.5032,27.09,24.6,-2.48,7.664
frozen,058,0.7176,27.09,26.86,-0.23,7.674
frozen,059,0.8314,27.09,25.58,-1.51,7.829
frozen,060,0.8516,27.09,26.37,-0.71,8.223
frozen,061,0.6545,27.09,25.91,-1.17,8.213
frozen,062,0.6634,27.09,23.89,-3.2,8.006
frozen,063,0.8263,27.09,29.09,2.01,7.902
frozen,064,0.6624,27.09,24.0,-3.09,7.685
frozen,065,0.5522,27.09,29.04,1.95,7.727
frozen,066,0.6747,27.09,27.32,0.23,7.658
frozen,067,0.9256,27.09,26.15,-0.94,7.631
frozen,068,0.4624,27.09,26.61,-0.48,7.66
frozen,069,0.4519,27.09,27.29,0.21,7.8
frozen,070,0.7475,27.09,23.82,-3.27,7.682
frozen,071,0.9124,27.09,23.26,-3.83,7.615
frozen,072,0.495,27.09,26.04,-1.05,7.785
frozen,073,0.7104,27.09,28.74,1.65,7.731
frozen,074,0.6285,27.09,29.01,1.92,7.719
frozen,075,0.7364,27.09,25.0,-2.09,8.045
frozen,076,0.6265,27.09,28.55,1.47,8.254
frozen,077,0.7222,27.09,27.63,0.54,8.446
frozen,078,0.6509,27.09,26.71,-0.37,7.721
frozen,079,0.6575,27.09,28.62,1.53,8.437
frozen,080,0.6916,27.09,24.01,-3.08,7.847
frozen,081,0.5319,27.09,24.48,-2.61,7.649
frozen,082,0.5339,27.09,26.77,-0.31,7.823
frozen,083,0.8171,27.09,29.07,1.98,8.134
frozen,084,0.6978,27.08,24.18,-2.9,8.381
frozen,085,0.5781,27.09,25.08,-2.01,7.658
frozen,086,0.6712,27.09,24.94,-2.15,7.713
frozen,087,0.7461,27.09,24.53,-2.55,7.74
frozen,088,0.8617,27.09,27.91,0.83,8.106
frozen,089,0.3963,27.09,25.33,-1.76,7.654
frozen,090,0.7344,27.09,26.51,-0.58,7.716
frozen,091,1.0457,27.08,28.2,1.12,7.924
frozen,092,0.4666,27.09,24.28,-2.81,7.644
relaxed,001,0.8512,27.09,22.02,-5.07,7.727
relaxed,002,1.546,27.09,21.99,-5.1,8.094
relaxed,003,1.2231,27.09,17.76,-9.33,7.676
relaxed,004,0.8571,27.08,23.98,-3.1,7.729
relaxed,005,0.9972,27.09,27.96,0.88,7.69
relaxed,006,1.2444,27.09,23.1,-3.99,7.866
relaxed,007,1.7491,27.09,24.85,-2.24,8.184
relaxed,008,1.0204,27.09,27.43,0.34,7.772
relaxed,009,0.7834,27.09,25.7,-1.38,7.683
relaxed,010,1.6187,27.09,28.51,1.42,7.987
relaxed,011,1.5874,27.09,24.1,-2.98,7.797
relaxed,012,0.9681,27.09,23.11,-3.98,7.925
relaxed,013,1.7434,27.09,28.68,1.59,8.531
relaxed,014,0.807,27.09,24.97,-2.12,7.701
relaxed,015,1.3499,27.09,27.16,0.07,7.797
relaxed,016,1.3236,27.09,23.23,-3.86,8.303
relaxed,017,1.7259,27.09,32.62,5.54,7.891
relaxed,019,1.4482,27.09,27.28,0.19,7.573
relaxed,020,1.0492,27.09,19.12,-7.97,7.729
relaxed,021,0.9498,27.09,22.15,-4.94,7.756
relaxed,022,0.8649,27.09,27.2,0.11,7.67
relaxed,023,1.1728,27.09,23.82,-3.27,7.719
relaxed,025,1.0761,27.09,25.14,-1.94,7.654
relaxed,026,1.1129,27.09,28.54,1.46,7.786
relaxed,028,1.3617,27.09,26.39,-0.7,7.689
relaxed,029,1.0103,27.09,24.91,-2.18,7.933
relaxed,030,1.0114,27.09,27.71,0.62,7.762
relaxed,031,1.1733,27.09,25.94,-1.15,7.668
relaxed,032,1.2242,27.09,23.8,-3.29,7.802
relaxed,033,1.6589,27.09,25.93,-1.16,7.818
relaxed,034,0.6599,27.09,26.03,-1.06,7.91
relaxed,035,0.9486,27.09,25.23,-1.86,8.177
relaxed,036,1.2558,27.09,29.39,2.3,8.17
relaxed,037,0.6942,27.09,28.78,1.7,8.466
relaxed,038,0.9593,27.09,20.54,-6.55,7.685
relaxed,039,1.2468,27.09,23.5,-3.58,7.897
relaxed,040,0.7449,27.09,29.55,2.47,8.263
relaxed,042,1.3917,27.09,30.64,3.55,8.018
relaxed,043,1.1401,27.09,26.66,-0.42,7.704
relaxed,044,1.4428,27.09,25.47,-1.62,7.825
relaxed,045,0.9501,27.09,21.98,-5.1,7.761
relaxed,046,1.2799,27.09,23.4,-3.69,7.771
relaxed,047,1.3403,27.09,28.59,1.51,7.739
relaxed,048,1.611,27.09,22.92,-4.17,7.764
relaxed,049,1.664,27.09,20.69,-6.4,7.872
relaxed,050,0.9064,27.09,25.81,-1.27,7.984
relaxed,051,1.1418,27.09,29.15,2.07,7.747
relaxed,052,0.9506,27.09,25.97,-1.12,7.694
relaxed,053,1.4532,27.09,22.99,-4.1,7.781
relaxed,054,0.6351,27.09,26.61,-0.48,7.654
relaxed,055,1.0511,27.09,25.33,-1.76,7.958
relaxed,056,0.8617,27.09,32.37,5.28,7.761
relaxed,057,0.8014,27.09,23.04,-4.05,7.692
relaxed,058,1.0579,27.09,23.95,-3.14,7.762
relaxed,059,1.4355,27.09,24.23,-2.86,7.799
relaxed,060,0.2039,27.09,26.49,-0.59,7.867
relaxed,061,1.6366,27.09,22.38,-4.71,8.043
relaxed,062,1.1791,27.09,20.8,-6.29,8.027
relaxed,063,1.3027,27.09,32.67,5.59,7.876
relaxed,064,1.2497,27.09,22.22,-4.87,8.004
