cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,0.3912,36.57,37.27,0.7,7.214
frozen,002,0.3388,36.57,37.15,0.58,7.22
frozen,003,0.337,36.57,37.52,0.95,7.212
frozen,004,0.3419,36.57,36.32,-0.24,7.202
frozen,005,0.3226,36.57,37.06,0.49,7.208
frozen,006,0.345,36.57,38.07,1.5,7.219
frozen,007,0.3297,36.57,38.62,2.05,7.205
frozen,008,0.3784,36.57,37.74,1.17,7.21
frozen,009,0.3029,36.57,37.34,0.77,7.209
frozen,010,0.363,36.57,36.87,0.3,7.21
frozen,011,0.3488,36.57,36.8,0.23,7.21
frozen,012,0.2887,36.57,37.6,1.03,7.269
frozen,013,0.3115,36.57,36.94,0.37,7.214
frozen,014,0.3228,36.57,37.48,0.91,7.208
frozen,015,0.3573,36.57,36.7,0.13,7.203
frozen,016,0.3062,36.57,37.85,1.28,7.222
frozen,017,0.2926,36.57,38.07,1.5,7.204
frozen,018,0.3368,36.57,37.01,0.44,7.299
frozen,019,0.3317,36.57,38.0,1.44,7.208
frozen,020,0.3352,36.57,38.29,1.72,7.253
frozen,021,0.3927,36.57,37.5,0.93,7.219
frozen,022,0.2538,36.57,37.02,0.45,7.202
frozen,023,0.4544,36.57,37.22,0.65,7.396
frozen,024,0.3574,36.57,37.56,0.99,7.209
frozen,025,0.319,36.57,37.1,0.53,7.211
frozen,026,0.3043,36.57,37.66,1.09,7.21
frozen,027,0.2956,36.57,36.13,-0.44,7.21
frozen,028,0.3732,36.57,37.88,1.31,7.211
frozen,029,0.2814,36.57,37.26,0.69,7.201
frozen,030,0.3134,36.57,36.57,0.0,7.211
frozen,031,0.2564,36.57,37.14,0.57,7.209
frozen,032,0.2658,36.57,37.59,1.02,7.21
frozen,033,0.3295,36.57,38.34,1.78,7.214
frozen,034,0.301,36.57,37.75,1.18,7.263
frozen,035,0.2805,36.57,37.12,0.55,7.207
frozen,036,0.3526,36.57,37.67,1.1,7.219
frozen,037,0.3237,36.57,37.36,0.79,7.209
frozen,038,0.3063,36.57,37.91,1.34,7.203
frozen,039,0.2954,36.57,37.78,1.21,7.225
frozen,040,0.334,36.57,37.61,1.04,7.208
frozen,041,0.2763,36.57,37.6,1.03,7.209
frozen,042,0.306,36.57,37.11,0.54,7.211
frozen,043,0.3338,36.57,38.21,1.64,7.206
frozen,044,0.2859,36.57,37.79,1.22,7.202
frozen,045,0.3224,36.57,37.67,1.11,7.209
frozen,046,0.3045,36.57,38.16,1.59,7.205
frozen,047,0.3775,36.57,37.15,0.58,7.21
frozen,048,0.3023,36.57,37.52,0.95,7.209
frozen,049,0.3288,36.57,37.98,1.41,7.207
frozen,050,0.3411,36.57,36.73,0.16,7.207
frozen,051,0.2894,36.57,36.8,0.23,7.204
frozen,052,0.2883,36.57,37.38,0.82,7.21
frozen,053,0.2917,36.57,37.88,1.31,7.204
frozen,054,0.3508,36.57,37.27,0.71,7.209
frozen,055,0.392,36.57,37.39,0.82,7.24
frozen,056,0.2749,36.57,37.16,0.59,7.203
frozen,057,0.3391,36.57,38.26,1.69,7.23
frozen,058,0.3148,36.57,36.43,-0.14,7.206
frozen,059,0.317,36.57,37.35,0.78,7.211
frozen,060,0.3093,36.57,37.49,0.92,7.208
frozen,061,0.3476,36.57,36.66,0.1,7.208
frozen,062,0.3032,36.57,37.5,0.92,7.207
frozen,063,0.2877,36.57,37.12,0.55,7.208
frozen,064,0.3228,36.57,37.53,0.96,7.207
frozen,065,0.3399,36.57,37.64,1.07,7.207
frozen,066,0.2942,36.57,36.41,-0.16,7.211
frozen,067,0.3631,36.57,37.81,1.24,7.209
frozen,068,0.3516,36.57,36.84,0.27,7.205
frozen,069,0.3069,36.57,36.89,0.32,7.209
frozen,070,0.3437,36.57,37.47,0.9,7.207
frozen,071,0.3102,36.57,37.72,1.15,7.256
frozen,072,0.2735,36.57,37.39,0.82,7.208
frozen,073,0.309,36.57,37.01,0.44,7.2
frozen,074,0.2875,36.57,38.19,1.63,7.24
frozen,075,0.3155,36.57,37.74,1.17,7.232
frozen,076,0.3141,36.57,38.01,1.44,7.207
frozen,077,0.2573,36.57,37.43,0.86,7.209
frozen,078,0.2811,36.57,37.0,0.43,7.207
frozen,079,0.3104,36.57,38.34,1.77,7.275
frozen,080,0.3366,36.57,37.5,0.93,7.205
frozen,081,0.2643,36.57,37.16,0.59,7.199
frozen,082,0.3525,36.57,37.96,1.39,7.206
frozen,083,0.2676,36.57,36.62,0.05,7.21
frozen,084,0.3155,36.57,37.73,1.16,7.202
frozen,085,0.3185,36.57,37.23,0.66,7.238
frozen,086,0.2687,36.57,37.46,0.89,7.207
frozen,087,0.3333,36.57,38.41,1.84,7.26
frozen,088,0.3521,36.57,37.37,0.8,7.212
frozen,089,0.3412,36.57,37.83,1.26,7.207
frozen,090,0.2965,36.57,38.23,1.66,7.213
frozen,091,0.2776,36.57,37.53,0.96,7.2
frozen,092,0.2903,36.57,37.32,0.75,7.209
frozen,093,0.2888,36.57,37.53,0.97,7.211
frozen,094,0.2715,36.57,36.58,0.01,7.207
frozen,095,0.3454,36.57,37.79,1.22,7.208
frozen,096,0.3229,36.57,37.84,1.27,7.21
frozen,097,0.3731,36.57,37.76,1.19,7.333
frozen,098,0.2676,36.57,37.53,0.96,7.209
frozen,099,0.3566,36.57,37.23,0.66,7.238
frozen,100,0.3226,36.57,37.61,1.04,7.234
relaxed,001,0.7385,36.57,38.7,2.13,7.3
relaxed,002,0.5007,36.57,38.29,1.72,7.327
relaxed,003,0.8068,36.57,38.77,2.2,7.362
relaxed,004,0.6583,36.57,38.1,1.53,7.315
relaxed,005,0.6482,36.57,38.53,1.96,7.239
relaxed,006,0.5403,36.57,38.86,2.29,7.269
relaxed,007,0.6076,36.57,40.19,3.62,7.247
relaxed,008,0.6374,36.57,39.33,2.76,7.267
relaxed,009,0.5675,36.57,38.36,1.79,7.228
relaxed,010,0.6325,36.57,36.36,-0.22,7.247
relaxed,011,0.6641,36.57,38.94,2.37,7.245
relaxed,012,0.5332,36.57,39.29,2.72,7.222
relaxed,013,0.5653,36.57,37.77,1.2,7.229
relaxed,014,0.6286,36.57,38.32,1.75,7.327
relaxed,015,0.7121,36.57,36.59,0.02,7.226
relaxed,016,0.6189,36.57,39.82,3.25,7.408
relaxed,017,0.4964,36.57,39.4,2.83,7.241
relaxed,018,0.7167,36.57,38.88,2.31,7.964
relaxed,019,0.5883,36.57,39.45,2.88,7.222
relaxed,020,0.6658,36.57,39.25,2.68,7.323
relaxed,021,0.7029,36.57,37.86,1.29,7.214
relaxed,022,0.6022,36.57,38.51,1.94,7.374
relaxed,023,0.7879,36.57,38.91,2.34,7.597
relaxed,024,0.683,36.57,38.78,2.21,7.368
relaxed,025,0.5959,36.57,37.13,0.56,7.523
relaxed,026,0.6408,36.57,39.11,2.54,7.234
relaxed,027,0.5738,36.57,36.99,0.42,7.504
relaxed,028,0.0752,36.57,36.85,0.28,7.147
relaxed,029,0.5176,36.57,37.18,0.61,7.219
relaxed,030,0.5967,36.57,38.69,2.13,7.213
relaxed,031,0.6555,36.57,38.55,1.98,7.297
relaxed,032,0.6094,36.57,38.63,2.06,7.22
relaxed,033,0.5604,36.57,38.62,2.05,7.23
relaxed,034,0.5836,36.57,38.65,2.08,7.408
relaxed,035,0.5637,36.57,38.29,1.72,7.282
relaxed,036,0.6109,36.57,39.5,2.93,7.23
relaxed,037,0.6463,36.57,39.08,2.51,7.245
relaxed,038,0.706,36.57,39.61,3.04,7.217
relaxed,039,0.693,36.57,39.76,3.19,7.251
relaxed,040,0.5019,36.57,38.61,2.04,7.212
relaxed,041,0.5993,36.57,37.84,1.28,7.259
relaxed,042,0.608,36.57,38.23,1.66,7.242
relaxed,043,0.6293,36.57,39.42,2.85,7.225
relaxed,044,0.723,36.57,40.43,3.86,7.24
relaxed,045,0.5204,36.57,38.49,1.92,7.275
relaxed,046,0.6907,36.57,39.63,3.06,7.263
relaxed,047,0.7071,36.57,37.9,1.33,7.336
relaxed,048,0.4518,36.57,38.13,1.56,7.232
relaxed,049,0.6847,36.57,40.9,4.34,7.3
relaxed,050,0.5921,36.57,37.77,1.2,7.227
relaxed,051,0.6379,36.57,37.41,0.84,7.198
relaxed,052,0.5477,36.57,38.06,1.49,7.228
relaxed,053,0.6513,36.57,39.49,2.92,7.225
relaxed,054,0.5747,36.57,37.11,0.54,7.307
relaxed,055,0.6508,36.57,38.84,2.27,7.268
relaxed,056,0.6201,36.57,39.08,2.51,7.299
relaxed,057,0.6465,36.57,39.22,2.65,7.26
relaxed,058,0.6188,36.57,38.44,1.88,7.231
relaxed,059,0.6254,36.57,37.83,1.26,7.306
relaxed,060,0.6575,36.57,38.78,2.21,7.33
relaxed,061,0.6682,36.57,35.36,-1.21,7.542
relaxed,062,0.6103,36.57,38.88,2.31,7.258
relaxed,063,0.746,36.57,38.48,1.91,7.377
relaxed,064,0.6674,36.57,39.01,2.44,7.297
relaxed,065,0.6186,36.57,38.75,2.18,7.297
relaxed,066,0.5258,36.57,37.02,0.45,7.264
relaxed,067,0.5811,36.57,39.17,2.6,7.251
relaxed,068,0.6425,36.57,37.94,1.37,7.346
relaxed,069,0.5341,36.57,37.44,0.87,7.264
relaxed,070,0.6234,36.57,38.39,1.82,7.272
relaxed,071,0.7258,36.57,40.01,3.44,7.276
relaxed,072,0.5909,36.57,38.48,1.91,7.325
relaxed,073,0.5849,36.57,37.1,0.53,7.327
relaxed,074,0.5784,36.57,40.63,4.06,7.392
relaxed,075,0.6282,36.57,38.97,2.39,7.269
relaxed,077,0.6129,36.57,39.11,2.54,7.225
relaxed,078,0.5296,36.57,38.67,2.1,7.306
relaxed,079,0.5863,36.57,39.75,3.18,7.225
relaxed,080,0.5145,36.57,38.12,1.55,7.25
relaxed,081,0.5566,36.57,38.2,1.63,7.216
relaxed,082,0.0404,36.57,36.79,0.22,7.131
relaxed,083,0.6017,36.57,38.12,1.55,7.227
relaxed,084,0.6407,36.57,39.37,2.8,7.219
relaxed,085,0.6269,36.57,38.55,1.98,7.293
relaxed,086,0.4558,36.57,38.44,1.87,7.237
relaxed,087,0.7177,36.57,40.58,4.01,7.261
relaxed,088,0.5794,36.57,38.49,1.92,7.252
relaxed,089,0.568,36.57,38.16,1.6,7.265
relaxed,090,0.6369,36.57,40.29,3.73,7.254
relaxed,091,0.7353,36.57,39.21,2.64,7.263
relaxed,092,0.6509,36.57,39.3,2.73,7.225
relaxed,094,0.5193,36.57,37.73,1.16,7.307
relaxed,095,0.7555,36.57,39.11,2.54,7.315
relaxed,096,0.6584,36.57,38.15,1.58,7.222
relaxed,097,0.6732,36.57,38.75,2.18,7.365
relaxed,098,0.5113,36.57,38.48,1.91,7.342
relaxed,099,0.6743,36.57,39.34,2.77,7.25
relaxed,100,0.6263,36.57,39.14,2.57,7.214
