metric,family,cond,mean,lo,hi,n
spearmanr,induced-fit (orig),frozen,-0.01707891512773806,-0.042668412553598156,0.00474810360216286,5
spearmanr,induced-fit (orig),relaxed,-0.0142504370896868,-0.03404862401111616,0.0006243546335979247,4
spearmanr,induced-fit (test),frozen,0.017557760407228677,-0.006558893782201476,0.044197145548800575,9
spearmanr,induced-fit (test),relaxed,0.014886437920404352,-0.01706687615311883,0.05298767259007702,10
spearmanr,rigid,frozen,-0.007433102387739756,-0.02253402632034507,0.007405928277118029,15
spearmanr,rigid,relaxed,-0.026844308076735372,-0.040331045927707414,-0.013011050950836827,15
pearsonr,induced-fit (orig),frozen,-0.011582890126624062,-0.0407321426106904,0.013504628789314143,5
pearsonr,induced-fit (orig),relaxed,-0.02707792272361049,-0.04609567536961543,-0.01661293456489462,4
pearsonr,induced-fit (test),frozen,0.009450723417257284,-0.012815686924423142,0.03155285036603085,9
pearsonr,induced-fit (test),relaxed,0.02350081266976396,-0.019720083962405675,0.08297629964056306,10
pearsonr,rigid,frozen,-0.007740502505771768,-0.02120290955682654,0.0060278961626101385,15
pearsonr,rigid,relaxed,-0.025813892629550066,-0.03711203544528543,-0.013471248337306011,15
