cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,002,0.6686,85.5,86.25,0.75,7.591
frozen,003,0.8183,85.5,85.98,0.48,7.58
frozen,004,1.4624,85.5,85.41,-0.08,8.328
frozen,005,1.1549,85.5,83.9,-1.6,7.66
frozen,006,0.6489,85.5,87.92,2.43,7.534
frozen,007,1.2428,85.5,88.91,3.41,7.908
frozen,008,0.924,85.5,84.44,-1.06,7.208
frozen,009,0.742,85.5,83.56,-1.94,8.031
frozen,010,1.2485,85.5,81.56,-3.94,7.926
frozen,011,0.6555,85.5,87.64,2.15,7.316
frozen,012,0.4536,85.5,86.63,1.13,7.135
frozen,015,1.5529,85.5,89.5,4.01,7.998
frozen,016,1.0839,85.5,88.45,2.96,7.805
frozen,017,0.8092,85.5,86.35,0.86,7.341
frozen,018,0.7388,85.5,83.76,-1.74,7.393
frozen,019,0.9581,85.5,87.36,1.86,7.585
frozen,020,0.4682,85.5,86.1,0.6,8.318
frozen,021,0.7301,85.5,86.8,1.3,7.746
frozen,022,0.8773,85.5,87.79,2.29,7.643
frozen,023,0.9007,85.5,86.87,1.38,7.499
frozen,024,0.8459,85.5,88.66,3.16,7.487
frozen,025,0.5101,85.5,86.0,0.5,7.209
frozen,026,0.9804,85.5,86.99,1.49,7.537
frozen,027,0.9068,85.5,86.61,1.11,7.518
frozen,028,0.4703,85.5,86.77,1.27,7.31
frozen,029,1.0639,85.5,84.17,-1.32,8.176
frozen,030,0.6889,85.5,85.03,-0.47,7.325
frozen,031,1.0127,85.5,85.19,-0.3,8.068
frozen,032,0.9316,85.5,85.63,0.13,8.174
frozen,033,0.9131,85.5,87.19,1.69,8.194
frozen,034,0.7408,85.5,88.65,3.15,7.57
frozen,035,0.8841,85.5,87.41,1.91,7.363
frozen,036,0.8079,85.5,86.49,1.0,7.66
frozen,037,0.5757,85.49,86.9,1.4,7.339
frozen,038,0.8509,85.5,82.55,-2.94,7.87
frozen,039,0.5722,85.5,87.11,1.62,7.205
frozen,040,0.9399,85.5,87.73,2.23,7.558
frozen,041,0.5274,85.5,87.99,2.49,7.213
frozen,042,0.9888,85.5,88.72,3.22,8.012
frozen,043,0.2736,85.5,86.33,0.84,7.186
frozen,044,1.3423,85.5,88.24,2.75,7.637
frozen,045,0.936,85.49,85.22,-0.28,8.722
frozen,046,0.8363,85.5,88.36,2.86,7.587
frozen,047,1.123,85.49,84.62,-0.88,7.99
frozen,048,0.8174,85.5,82.72,-2.78,7.618
frozen,049,0.4253,85.5,86.78,1.29,7.253
frozen,051,0.8411,85.5,82.3,-3.2,7.524
frozen,052,0.9097,85.5,83.46,-2.03,7.347
frozen,054,0.8671,85.5,86.32,0.82,7.143
frozen,055,0.6999,85.5,84.45,-1.05,7.748
frozen,056,0.3151,85.5,86.04,0.54,7.34
frozen,057,0.76,85.5,85.04,-0.46,8.075
frozen,058,1.1324,85.5,86.15,0.65,7.767
frozen,059,1.0211,85.5,88.18,2.68,7.726
frozen,061,0.7633,85.5,86.66,1.16,7.447
frozen,062,1.1219,85.5,84.37,-1.13,7.951
frozen,063,0.3619,85.5,86.75,1.26,7.299
frozen,064,1.238,85.5,85.25,-0.25,7.353
frozen,065,0.941,85.5,86.25,0.76,7.979
frozen,066,1.0895,85.5,85.82,0.33,8.118
frozen,067,0.3423,85.5,86.47,0.97,7.223
frozen,068,0.3514,85.5,86.18,0.69,7.145
