pilot,base_P,aug_P,dP,base_MAE,aug_MAE,dMAE,mgwfl_froz,mgwfl_relax,mgwfl_af3,ens_af3_gap
egr1,0.6408848805143047,0.6138786073302898,-0.02700627318401494,0.6007050223075426,0.6449404859390014,0.044235463631458805,0.29325,0.7171428571428572,0.19275,0.1005
engrailed,0.6216127633665577,0.6174967593980152,-0.004116003968542503,0.6186011691888175,0.6391764163684386,0.020575247179621114,0.28582352941176464,0.42264705882352943,0.20881249999999998,0.07701102941176466
ets1,0.6307860462594911,0.6319039637848547,0.0011179175253636098,0.6087546916344226,0.6201263463841035,0.011371654749680826,0.19680000000000003,0.4040909090909091,0.218,-0.02119999999999997
foxa,0.6295309775899145,0.6277477124479561,-0.0017832651419583678,0.6051003880607776,0.6198229311177365,0.014722543056958859,1.1376,1.3454000000000002,0.09866666666666665,1.0389333333333333
lef1,0.627554750307979,0.6189174036371353,-0.008637346670843704,0.6163631000427099,0.6171812605399353,0.0008181604972253842,1.52525,1.3592499999999998,0.15145454545454545,1.3737954545454545
tbp,0.6366405376876462,0.6214199527490142,-0.015220584938631987,0.6004144110358678,0.6254104299614063,0.024996018925538488,0.2121,0.39310000000000006,0.23844444444444443,-0.02634444444444442
csl,0.6229185559953512,0.5858673801455693,-0.0370511758497819,0.6185225147849475,0.6636417873012713,0.04511927251632386,0.782,1.0288181818181819,0.09266666666666666,0.6893333333333334
err,0.6389359028085967,0.6152845591759578,-0.023651343632638877,0.5984248084135545,0.6246586354688193,0.02623382705526478,1.4874285714285715,1.5253999999999999,0.155125,1.3323035714285716
nfat,0.6390537167075079,0.6083193162147611,-0.030734400492746783,0.6025152974976943,0.6360225097261942,0.03350721222849995,1.3008333333333333,1.4284999999999999,0.10550000000000001,1.1953333333333334
runx,0.6294089511664963,0.6297857714131588,0.00037682024666252367,0.6042371214391329,0.6085500600437322,0.004312938604599359,0.668923076923077,0.644,0.11781818181818182,0.5511048951048951
hsf,0.6304935149976582,0.633549597369454,0.0030560823717958874,0.6148367343040613,0.6030897057056427,-0.011747028598418585,0.21333333333333335,0.5968888888888889,0.149625,0.06370833333333334
irf,0.631862096657465,0.6188062352230579,-0.013055861434407068,0.6093514070831813,0.6216467516926618,0.012295344609480563,,,0.1535,
