cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,1.0076,32.3,31.19,-1.11,7.847
frozen,002,0.6439,32.3,33.21,0.91,7.128
frozen,004,0.9192,32.3,34.37,2.07,7.079
frozen,005,0.6767,32.31,33.31,1.0,7.132
frozen,006,0.7841,32.3,33.36,1.06,7.257
frozen,007,0.6309,32.3,32.02,-0.28,7.438
frozen,008,0.7068,32.3,34.64,2.33,7.277
frozen,009,0.715,32.3,34.54,2.24,7.132
frozen,010,0.6369,32.3,32.65,0.35,7.143
frozen,011,0.6603,32.3,33.63,1.32,7.125
frozen,012,0.6932,32.31,31.14,-1.17,7.135
frozen,013,0.7536,32.3,32.61,0.31,7.134
frozen,014,0.6559,32.31,33.1,0.79,7.195
frozen,015,0.8719,32.3,31.24,-1.06,7.223
frozen,016,0.5549,32.3,32.87,0.57,7.155
frozen,017,0.6976,32.31,31.98,-0.33,7.211
frozen,018,0.8599,32.3,30.43,-1.88,7.819
frozen,019,0.9563,32.3,33.97,1.66,7.95
frozen,020,0.5515,32.3,33.53,1.23,7.138
frozen,021,0.8266,32.3,31.45,-0.85,7.177
frozen,022,0.7409,32.3,29.72,-2.59,7.14
frozen,023,0.8652,32.31,33.25,0.94,7.488
frozen,024,0.7338,32.3,34.59,2.29,7.279
frozen,025,0.6852,32.3,31.99,-0.31,7.949
frozen,026,0.6233,32.3,33.88,1.58,7.131
frozen,027,0.752,32.3,32.12,-0.18,7.252
frozen,028,0.7389,32.3,34.88,2.57,7.156
frozen,029,0.7791,32.3,32.93,0.63,7.839
frozen,030,0.802,32.31,34.05,1.75,7.273
frozen,031,0.9497,32.3,31.82,-0.49,7.213
frozen,032,0.8179,32.3,33.09,0.79,7.586
frozen,033,0.6698,32.3,34.94,2.64,7.192
frozen,034,0.5866,32.31,32.72,0.41,7.781
frozen,035,0.8371,32.3,32.81,0.5,7.452
frozen,036,0.9074,32.3,31.02,-1.28,7.996
frozen,037,0.8307,32.3,33.38,1.07,7.24
frozen,038,0.6462,32.3,31.11,-1.19,7.136
frozen,039,0.6843,32.3,33.54,1.24,7.992
frozen,040,0.878,32.3,35.26,2.95,7.554
frozen,041,1.1181,32.3,34.95,2.64,8.235
frozen,042,0.7386,32.3,31.93,-0.38,7.585
frozen,043,0.8535,32.3,31.22,-1.08,7.175
frozen,044,1.1661,32.31,33.33,1.03,7.363
frozen,045,1.0128,32.3,31.89,-0.41,7.207
frozen,046,0.8897,32.3,29.18,-3.12,7.161
frozen,047,0.7844,32.3,30.5,-1.81,7.291
frozen,048,0.6156,32.3,32.26,-0.05,7.201
frozen,049,0.8783,32.31,31.73,-0.57,7.207
frozen,050,0.9587,32.3,30.62,-1.69,7.844
frozen,051,0.6786,32.3,30.05,-2.26,7.219
frozen,052,0.7296,32.3,30.97,-1.34,7.33
frozen,053,0.8207,32.3,31.5,-0.8,7.545
frozen,054,1.0981,32.3,31.7,-0.6,7.748
frozen,055,0.8663,32.3,30.51,-1.79,7.467
frozen,056,0.5996,32.3,29.36,-2.94,7.177
frozen,057,0.6702,32.3,33.53,1.22,7.175
frozen,058,0.6652,32.31,33.0,0.69,7.098
frozen,059,0.8188,32.3,33.26,0.95,7.135
frozen,060,0.9068,32.3,30.93,-1.37,8.168
frozen,061,0.6713,32.3,31.55,-0.75,7.991
frozen,062,0.6754,32.3,33.19,0.88,7.146
frozen,063,0.6876,32.3,33.66,1.36,7.127
frozen,064,0.8188,32.3,31.42,-0.88,7.109
frozen,065,0.7995,32.3,29.45,-2.85,7.161
frozen,066,0.8271,32.3,33.86,1.56,7.49
frozen,067,0.7822,32.3,32.32,0.02,7.379
frozen,068,0.867,32.3,33.3,1.0,7.292
frozen,069,0.7122,32.3,30.82,-1.48,7.287
frozen,070,0.9395,32.3,30.66,-1.65,7.635
frozen,071,0.799,32.3,33.46,1.16,7.191
frozen,072,0.8184,32.3,31.87,-0.44,7.555
frozen,073,0.6416,32.3,31.22,-1.08,7.171
frozen,074,0.6828,32.3,33.54,1.24,7.198
frozen,075,0.6676,32.3,31.45,-0.85,7.158
frozen,076,0.6731,32.3,31.0,-1.3,7.233
frozen,077,0.6087,32.3,31.43,-0.87,7.138
frozen,078,0.7179,32.3,33.26,0.96,7.135
frozen,079,0.7516,32.3,33.04,0.74,7.425
frozen,080,0.6861,32.3,32.07,-0.23,7.295
frozen,081,0.7423,32.3,29.26,-3.05,7.082
frozen,082,0.6648,32.31,32.53,0.22,7.983
frozen,083,0.6373,32.31,30.12,-2.18,7.145
frozen,085,1.1501,32.3,33.4,1.09,7.411
frozen,086,1.1261,32.3,34.7,2.4,7.711
frozen,087,0.7237,32.31,35.01,2.7,7.282
frozen,088,0.8081,32.31,28.93,-3.38,7.329
relaxed,001,1.6522,32.3,28.18,-4.12,8.024
relaxed,002,1.0901,32.3,35.05,2.74,7.212
relaxed,003,1.2664,32.3,35.01,2.71,8.154
relaxed,004,1.6661,32.3,35.22,2.92,7.292
relaxed,005,1.2619,32.31,34.36,2.05,7.173
relaxed,006,1.4557,32.3,36.43,4.13,7.322
relaxed,007,1.1324,32.3,34.96,2.66,7.833
relaxed,008,1.5886,32.3,39.09,6.79,8.468
relaxed,009,1.2488,32.3,37.81,5.5,7.381
relaxed,010,1.3537,32.3,32.27,-0.04,7.149
relaxed,011,1.4097,32.3,34.99,2.69,7.189
relaxed,012,1.2375,32.31,32.33,0.02,7.347
