tf,cond,n,bend_uu_med,bend_uu_q1,bend_uu_q3,bend_pp_med,minor_w_med,major_w_med,inclin_med,tip_med
csl,crystal,1,23.002,23.002,23.002,26.47,5.979,11.94,5.259,-0.228
csl,frozen,84,30.023,28.976,31.382,30.528,6.128,11.962,7.305,-1.281
csl,relaxed,89,31.089,29.041,33.313,30.413,6.244,12.062,7.355,-1.264
dux4,crystal,1,9.5,9.5,9.5,13.766,6.358,11.218,5.954,-0.909
dux4,frozen,92,28.578,18.399,44.253,31.861,6.53,11.808,7.571,0.614
dux4,relaxed,93,28.21,16.131,51.974,26.967,6.593,11.998,7.926,0.581
egr1,crystal,1,3.873,3.873,3.873,12.48,8.482,11.303,8.749,1.516
egr1,frozen,98,9.46,6.794,12.099,13.847,7.765,11.69,8.284,1.042
egr1,relaxed,96,9.501,6.946,14.367,14.445,7.315,11.952,7.531,0.838
engrailed,crystal,1,8.117,8.117,8.117,12.287,7.006,11.636,7.136,-0.532
engrailed,frozen,95,9.767,8.317,10.826,14.046,7.018,11.799,8.799,-0.275
engrailed,relaxed,96,7.088,5.341,9.263,11.281,6.827,12.047,8.385,-0.141
err,crystal,1,2.112,2.112,2.112,1.47,4.558,12.99,-4.539,0.611
err,frozen,90,4.667,2.565,10.532,5.122,4.762,12.776,-1.021,-0.362
err,relaxed,92,6.449,3.406,9.57,6.357,5.047,12.805,0.997,-0.152
ets1,crystal,1,19.216,19.216,19.216,18.235,7.134,11.291,11.761,1.41
ets1,frozen,100,19.288,17.499,20.457,20.56,7.096,11.426,11.45,1.237
ets1,relaxed,98,20.137,18.778,22.021,22.016,6.794,11.949,10.699,0.929
foxa,crystal,1,15.766,15.766,15.766,22.932,6.306,12.213,4.644,0.937
foxa,frozen,91,22.918,20.255,24.623,29.34,6.205,12.709,5.494,1.207
foxa,relaxed,90,23.758,20.142,26.836,30.994,6.06,12.973,5.776,1.255
hsf,crystal,1,1.413,1.413,1.413,11.147,6.598,12.794,0.588,-0.0
hsf,frozen,97,12.42,10.793,14.283,17.256,6.588,12.973,3.851,-0.791
hsf,relaxed,98,13.697,11.551,16.442,17.043,6.414,13.135,3.748,-0.802
irf,crystal,1,16.858,16.858,16.858,19.067,6.302,12.357,1.54,0.744
irf,frozen,91,170.735,165.933,174.629,171.377,,,,
irf,relaxed,93,168.856,166.35,173.27,171.392,,,,
lef1,crystal,1,67.871,67.871,67.871,67.931,8.337,9.585,11.652,-1.77
lef1,frozen,83,69.496,63.48,75.097,67.378,8.606,10.227,14.275,0.587
lef1,relaxed,85,70.136,65.514,74.378,66.492,8.895,10.531,15.672,0.549
nfat,crystal,1,10.92,10.92,10.92,14.841,5.447,11.433,-4.104,1.429
nfat,frozen,86,12.106,7.81,18.011,17.231,5.264,12.28,-3.095,-1.199
nfat,relaxed,88,9.396,5.247,15.849,13.69,4.896,13.062,-2.152,-0.952
runx,crystal,1,7.981,7.981,7.981,6.742,7.129,11.181,7.37,0.558
runx,frozen,97,7.293,6.728,8.013,5.502,6.987,11.577,7.724,-0.248
runx,relaxed,96,8.709,7.873,10.299,6.397,6.473,12.31,7.177,-0.08
tbp,crystal,1,79.661,79.661,79.661,72.192,11.509,12.409,39.836,-1.731
tbp,frozen,94,74.627,67.778,79.595,60.033,11.892,13.889,38.115,1.21
tbp,relaxed,96,72.307,68.774,77.411,60.391,11.858,14.057,38.064,1.376
