cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,0.3692,15.64,15.69,0.05,7.64
frozen,002,0.3477,15.64,15.32,-0.33,7.646
frozen,003,0.3655,15.64,16.14,0.5,7.636
frozen,004,0.3296,15.64,15.82,0.18,7.634
frozen,005,0.3502,15.64,15.66,0.01,7.64
frozen,006,0.5004,15.64,16.09,0.44,7.64
frozen,007,0.7004,15.64,17.26,1.61,7.881
frozen,008,0.3011,15.65,15.84,0.2,7.644
frozen,009,0.6566,15.64,15.23,-0.41,7.934
frozen,010,0.683,15.64,15.68,0.04,7.711
frozen,011,0.3104,15.64,15.66,0.01,7.645
frozen,012,0.313,15.64,15.38,-0.27,7.635
frozen,013,0.3586,15.64,15.93,0.28,7.636
frozen,014,0.3898,15.64,16.13,0.49,7.628
frozen,015,0.5117,15.64,15.49,-0.15,7.624
frozen,016,0.5102,15.64,15.76,0.12,7.655
frozen,017,0.6929,15.64,14.96,-0.69,7.826
frozen,018,0.318,15.65,15.0,-0.65,7.642
frozen,019,0.5656,15.64,16.44,0.8,7.632
frozen,020,0.3626,15.64,15.44,-0.21,7.643
frozen,021,0.6396,15.65,15.23,-0.41,7.656
frozen,022,0.7322,15.64,14.54,-1.1,7.597
frozen,023,0.3252,15.65,15.23,-0.42,7.65
frozen,024,0.4171,15.64,15.32,-0.32,7.659
frozen,025,0.4878,15.64,16.52,0.87,7.644
frozen,026,0.3072,15.64,15.31,-0.33,7.637
frozen,027,0.5507,15.64,16.37,0.73,7.652
frozen,028,0.3939,15.64,15.82,0.18,7.697
frozen,029,0.3275,15.64,15.35,-0.3,7.659
frozen,030,0.4825,15.65,15.55,-0.09,7.682
frozen,031,0.3919,15.64,16.48,0.83,7.657
frozen,032,0.4278,15.65,16.54,0.9,7.647
frozen,033,0.5495,15.64,15.18,-0.47,7.611
frozen,034,0.3072,15.64,15.72,0.08,7.642
frozen,035,0.4477,15.64,16.35,0.7,7.645
frozen,036,0.3616,15.64,15.65,0.01,7.646
frozen,037,0.3305,15.64,15.63,-0.01,7.673
frozen,038,0.4355,15.64,16.66,1.02,7.639
frozen,039,0.3271,15.64,15.54,-0.11,7.613
frozen,040,0.3451,15.64,16.04,0.4,7.632
frozen,041,0.3687,15.64,15.54,-0.11,7.664
frozen,042,0.4833,15.64,16.99,1.35,7.656
frozen,043,0.3306,15.64,16.13,0.48,7.643
frozen,044,0.5418,15.64,15.63,-0.02,7.677
frozen,045,0.1325,15.65,15.89,0.25,7.547
frozen,046,0.6202,15.64,17.35,1.71,7.629
frozen,047,0.3799,15.64,15.54,-0.1,7.644
frozen,048,0.421,15.64,15.5,-0.14,7.7
frozen,049,0.3273,15.64,15.43,-0.21,7.641
frozen,050,0.7691,15.64,16.8,1.16,7.99
frozen,051,0.3139,15.64,15.34,-0.3,7.648
frozen,052,0.3508,15.64,16.57,0.93,7.651
frozen,053,0.3887,15.64,15.43,-0.21,7.642
frozen,054,0.5675,15.64,15.77,0.12,7.649
frozen,055,0.3121,15.64,15.15,-0.49,7.642
frozen,056,0.3254,15.64,15.5,-0.14,7.646
frozen,057,0.3433,15.64,15.65,0.0,7.654
frozen,058,0.3597,15.64,15.6,-0.05,7.638
frozen,059,0.4132,15.64,15.9,0.26,7.625
frozen,060,0.3368,15.64,15.28,-0.36,7.661
frozen,061,0.5034,15.64,17.04,1.39,7.636
frozen,062,0.325,15.64,15.8,0.16,7.643
frozen,063,0.5794,15.64,15.48,-0.16,7.691
frozen,064,0.2979,15.64,15.75,0.11,7.637
frozen,065,0.3626,15.64,15.34,-0.3,7.632
frozen,066,0.3219,15.64,15.49,-0.15,7.638
frozen,067,0.5505,15.64,16.16,0.52,7.72
frozen,068,0.3765,15.64,15.63,-0.02,7.675
frozen,069,0.8167,15.64,15.78,0.14,7.666
frozen,070,0.9867,15.64,17.18,1.53,7.681
frozen,071,0.3367,15.64,16.21,0.56,7.648
frozen,072,0.591,15.64,15.86,0.21,7.626
frozen,073,0.5612,15.64,15.93,0.28,7.655
frozen,074,0.317,15.64,15.67,0.03,7.635
