tf,cond,seed,metric,delta,n,partition
tbp,frozen,1,spearmanr,0.07142857142857151,1,same-family
tbp,frozen,1,pearsonr,0.31977666874549215,1,same-family
tbp,frozen,1,mae,-0.3911362886428833,1,same-family
tbp,frozen,2,spearmanr,-0.3000000000000001,1,same-family
tbp,frozen,2,pearsonr,-0.4448330975303958,1,same-family
tbp,frozen,2,mae,0.6368671655654907,1,same-family
tbp,frozen,3,spearmanr,0.10000000000000003,1,same-family
tbp,frozen,3,pearsonr,0.11646936216350562,1,same-family
tbp,frozen,3,mae,-0.12528300285339355,1,same-family
tbp,frozen,4,spearmanr,-0.09999999999999998,1,same-family
tbp,frozen,4,pearsonr,0.10589347677471647,1,same-family
tbp,frozen,4,mae,-0.125005841255188,1,same-family
tbp,frozen,5,spearmanr,-0.32857142857142857,1,same-family
tbp,frozen,5,pearsonr,-0.3121278575355453,1,same-family
tbp,frozen,5,mae,0.26210540533065796,1,same-family
tbp,relaxed,1,spearmanr,0.04285714285714293,1,same-family
tbp,relaxed,1,pearsonr,0.09499427353564122,1,same-family
tbp,relaxed,1,mae,0.03897416591644287,1,same-family
tbp,relaxed,2,spearmanr,0.24285714285714288,1,same-family
tbp,relaxed,2,pearsonr,0.27026710446391783,1,same-family
tbp,relaxed,2,mae,-0.262286901473999,1,same-family
tbp,relaxed,4,spearmanr,0.07142857142857141,1,same-family
tbp,relaxed,4,pearsonr,0.08038486999326518,1,same-family
tbp,relaxed,4,mae,0.014760851860046387,1,same-family
tbp,relaxed,5,spearmanr,-0.41428571428571426,1,same-family
tbp,relaxed,5,pearsonr,-0.1212805558794311,1,same-family
tbp,relaxed,5,mae,0.15768861770629883,1,same-family
engrailed,frozen,1,spearmanr,-0.06712998595047377,8,same-family
engrailed,frozen,1,pearsonr,-0.0975590801026335,8,same-family
engrailed,frozen,1,mae,0.10728421807289124,8,same-family
engrailed,frozen,2,spearmanr,0.032383763389594464,8,same-family
engrailed,frozen,2,pearsonr,-0.0065964425324692155,8,same-family
engrailed,frozen,2,mae,-0.013736207038164139,8,same-family
engrailed,frozen,3,spearmanr,0.17685081398821562,8,same-family
engrailed,frozen,3,pearsonr,0.09623154670761475,8,same-family
engrailed,frozen,3,mae,0.03242408484220505,8,same-family
engrailed,frozen,4,spearmanr,-0.03662960474481933,8,same-family
engrailed,frozen,4,pearsonr,-0.008434219452217138,8,same-family
engrailed,frozen,4,mae,0.02612905576825142,8,same-family
engrailed,frozen,5,spearmanr,0.009702658311188432,8,same-family
engrailed,frozen,5,pearsonr,-0.0004310637131972883,8,same-family
engrailed,frozen,5,mae,0.010151281952857971,8,same-family
engrailed,relaxed,1,spearmanr,0.10497110345259261,8,same-family
engrailed,relaxed,1,pearsonr,0.11580238866029945,8,same-family
engrailed,relaxed,1,mae,-0.04806254059076309,8,same-family
engrailed,relaxed,2,spearmanr,0.0777714958387905,8,same-family
engrailed,relaxed,2,pearsonr,0.06618251828713254,8,same-family
engrailed,relaxed,2,mae,-0.08160944283008575,8,same-family
engrailed,relaxed,3,spearmanr,-0.0684030419705752,8,same-family
engrailed,relaxed,3,pearsonr,-0.10337598791067484,8,same-family
engrailed,relaxed,3,mae,0.08981847204267979,8,same-family
engrailed,relaxed,4,spearmanr,-0.06292601156045208,8,same-family
engrailed,relaxed,4,pearsonr,-0.07454786980488831,8,same-family
engrailed,relaxed,4,mae,0.040975939482450485,8,same-family
engrailed,relaxed,5,spearmanr,0.05024056195146552,8,same-family
engrailed,relaxed,5,pearsonr,0.015735486434233746,8,same-family
engrailed,relaxed,5,mae,0.009800165891647339,8,same-family
egr1,frozen,1,spearmanr,0.0002659068795592491,21,same-family
egr1,frozen,1,pearsonr,-0.018771860618691245,21,same-family
egr1,frozen,1,mae,0.051774470579056514,21,same-family
egr1,frozen,2,spearmanr,0.007075002343685165,21,same-family
egr1,frozen,2,pearsonr,0.08277793572020611,21,same-family
egr1,frozen,2,mae,-0.018835459436689104,21,same-family
egr1,frozen,3,spearmanr,-0.044383323535995854,21,same-family
egr1,frozen,3,pearsonr,-0.07404131826522484,21,same-family
egr1,frozen,3,mae,0.0685333510239919,21,same-family
egr1,frozen,4,spearmanr,-0.04795132780605274,21,same-family
egr1,frozen,4,pearsonr,-0.05131918424676109,21,same-family
egr1,frozen,4,mae,0.03122997142019726,21,same-family
egr1,frozen,5,spearmanr,0.02412384881813412,21,same-family
egr1,frozen,5,pearsonr,0.031012259348899566,21,same-family
egr1,frozen,5,mae,0.0053546371914091565,21,same-family
egr1,relaxed,1,spearmanr,-0.005489168608180007,21,same-family
egr1,relaxed,1,pearsonr,-0.005609395261600002,21,same-family
egr1,relaxed,1,mae,0.04686971789314633,21,same-family
egr1,relaxed,2,spearmanr,-0.0876310170444893,21,same-family
egr1,relaxed,2,pearsonr,-0.031034817024133566,21,same-family
egr1,relaxed,2,mae,0.08685796175684247,21,same-family
egr1,relaxed,3,spearmanr,0.06907328895071387,21,same-family
egr1,relaxed,3,pearsonr,0.002655828070094905,21,same-family
egr1,relaxed,3,mae,0.06265947222709656,21,same-family
egr1,relaxed,4,spearmanr,0.04606492015177266,21,same-family
egr1,relaxed,4,pearsonr,0.05165994693918722,21,same-family
egr1,relaxed,4,mae,-0.024238284145082747,21,same-family
egr1,relaxed,5,spearmanr,-0.04735975769176208,21,same-family
egr1,relaxed,5,pearsonr,-0.028649960801473844,21,same-family
egr1,relaxed,5,mae,0.05090368929363433,21,same-family
ets1,frozen,1,spearmanr,0.017505196000045565,14,same-family
ets1,frozen,1,pearsonr,-0.043794321229088114,14,same-family
ets1,frozen,1,mae,0.06414740426199776,14,same-family
ets1,frozen,2,spearmanr,0.09959778001503262,14,same-family
ets1,frozen,2,pearsonr,0.06614300636755228,14,same-family
ets1,frozen,2,mae,-0.08113255671092443,14,same-family
ets1,frozen,3,spearmanr,0.09022784232214055,14,same-family
ets1,frozen,3,pearsonr,0.1612091457604803,14,same-family
ets1,frozen,3,mae,-0.12038342016083854,14,same-family
ets1,frozen,4,spearmanr,0.04325625535658014,14,same-family
ets1,frozen,4,pearsonr,0.014428665568751359,14,same-family
ets1,frozen,4,mae,-0.035724216273852756,14,same-family
ets1,frozen,5,spearmanr,-0.004366377992945992,14,same-family
ets1,frozen,5,pearsonr,0.04426536364170612,14,same-family
ets1,frozen,5,mae,-0.05126595071383885,14,same-family
ets1,relaxed,1,spearmanr,0.035691295680247134,14,same-family
ets1,relaxed,1,pearsonr,0.1335905782258311,14,same-family
ets1,relaxed,1,mae,-0.16580278319971903,14,same-family
ets1,relaxed,2,spearmanr,0.02260772218243425,14,same-family
ets1,relaxed,2,pearsonr,0.01604855569053648,14,same-family
ets1,relaxed,2,mae,0.015507787466049194,14,same-family
ets1,relaxed,3,spearmanr,0.036977999036138194,14,same-family
ets1,relaxed,3,pearsonr,0.11897054729833187,14,same-family
ets1,relaxed,3,mae,-0.16785227400915964,14,same-family
