tf,cond,seed,metric,delta
tbp,frozen,1,spearmanr,-0.04834064834416381
tbp,frozen,1,pearsonr,-0.06049563386126868
tbp,frozen,2,spearmanr,-0.047895631715687156
tbp,frozen,2,pearsonr,-0.043906913431912685
tbp,frozen,3,spearmanr,0.09972943779014654
tbp,frozen,3,pearsonr,0.1366232773608903
tbp,frozen,4,spearmanr,-0.040214966043531274
tbp,frozen,4,pearsonr,-0.002970338538030348
tbp,frozen,5,spearmanr,-0.05191283058082251
tbp,frozen,5,pearsonr,0.0015473273932002708
tbp,relaxed,1,spearmanr,0.09605755221499772
tbp,relaxed,1,pearsonr,0.14627264652595232
tbp,relaxed,2,spearmanr,0.001977955524602415
tbp,relaxed,2,pearsonr,0.08064962873970623
tbp,relaxed,4,spearmanr,0.11203228549056025
tbp,relaxed,4,pearsonr,-0.004908220077890713
tbp,relaxed,5,spearmanr,-0.018110636285974424
tbp,relaxed,5,pearsonr,-0.10820401925749519
egr1,frozen,1,spearmanr,-0.008459786703810424
egr1,frozen,1,pearsonr,0.013126880263444019
egr1,frozen,2,spearmanr,0.007456247344760136
egr1,frozen,2,pearsonr,0.06546559454160161
egr1,frozen,3,spearmanr,0.046114708726695305
egr1,frozen,3,pearsonr,0.08371255774021846
egr1,frozen,4,spearmanr,0.04008002212834214
egr1,frozen,4,pearsonr,0.10453968475281723
egr1,frozen,5,spearmanr,0.15115988711716336
egr1,frozen,5,pearsonr,0.12089361989521423
egr1,relaxed,1,spearmanr,0.23224116251711183
egr1,relaxed,1,pearsonr,0.30153342514749965
egr1,relaxed,2,spearmanr,-0.059839561564107066
egr1,relaxed,2,pearsonr,-0.013594816452241499
egr1,relaxed,3,spearmanr,0.1302758606601115
egr1,relaxed,3,pearsonr,0.040599530541803694
egr1,relaxed,4,spearmanr,0.35870605214488294
egr1,relaxed,4,pearsonr,0.310419637503237
egr1,relaxed,5,spearmanr,0.045326255455111576
egr1,relaxed,5,pearsonr,0.26163200714509005
ets1,frozen,1,spearmanr,0.04251316701949485
ets1,frozen,1,pearsonr,-0.017064756072286434
ets1,frozen,2,spearmanr,0.06232455532033672
ets1,frozen,2,pearsonr,0.11450862711102675
ets1,frozen,3,spearmanr,0.1891622776601684
ets1,frozen,3,pearsonr,0.1444526572832183
ets1,frozen,4,spearmanr,0.11167544467966328
ets1,frozen,4,pearsonr,0.09894166478567058
ets1,frozen,5,spearmanr,0.09232455532033679
ets1,frozen,5,pearsonr,0.09863889303418545
ets1,relaxed,1,spearmanr,0.00948683298050521
ets1,relaxed,1,pearsonr,0.0753713178235557
ets1,relaxed,2,spearmanr,-0.08948683298050515
ets1,relaxed,2,pearsonr,-0.0633556933014188
ets1,relaxed,3,spearmanr,0.05646049894151543
ets1,relaxed,3,pearsonr,0.22228125234818435
ets1,relaxed,4,spearmanr,-0.01748683298050514
ets1,relaxed,4,pearsonr,0.13362986435327
ets1,relaxed,5,spearmanr,0.15051316701949488
ets1,relaxed,5,pearsonr,0.1691085891934199
