family,dna,n_seeds,n_pilots_x,n_entries_median,dP_mean,dP_lo,dP_hi,dP_p,dMAE_mean,dP_q,pilots,n_pilots_y,cry_bend,cry_minor_w,induced_fit_index,d_min,mgwfl_froz,iface_mgwfl_froz,bend_iqr
IRF,frozen,6,12,4,0.0103172061222115,-0.0188106660530957,0.0394450782975188,0.4043102960220684,-0.0091877027141927,0.5287134640288588,irf,1.0,16.8575,6.3015,-0.3793870024379382,4.1289,,,8.54325
ETS,frozen,6,12,10,0.007512074209724,-0.0134160269956299,0.0284401754150781,0.3985017149621272,0.0023553905764011,0.5645440961963469,ets1,1.0,19.2163,7.1339,-0.0561011041066434,0.8694,0.1968,0.1907142857142857,2.911625000000001
CSL/RBPJ,frozen,6,12,5,0.0059882881153195,-0.0136030641118622,0.0255796403425013,0.4676118869458965,0.0099907139590894,0.5678144341485886,csl,1.0,23.0019,5.9794,-0.3613153611610054,1.5836,0.782,0.6033333333333332,2.402350000000002
Runt,frozen,6,12,5,-0.0003551315174028,-0.0296544785623881,0.0289442155275824,0.976349395139427,-0.0026243446902795,0.976349395139427,runx,1.0,7.9806,7.1287,-0.2857602211972719,1.192,0.6689,0.577375,1.285099999999999
Forkhead,frozen,6,12,5,-0.0030631586529003,-0.0376623436386877,0.031536026332887,0.8289856366439425,0.0123348852405042,0.8807972389341889,foxa,1.0,15.7659,6.3057,-0.4001425377259581,1.785,1.1376,1.1395,4.065799999999999
HSF,frozen,6,12,3,-0.0062794837599219,-0.0175873377823238,0.0050283702624798,0.212791440740942,0.0123554812110835,0.3288594993269104,hsf,1.0,1.4134,6.5976,-0.5947246709477351,1.1174,0.2133,0.1535,3.4895
Rel/NF-κB (RHD),frozen,6,12,15,-0.0106089642445111,-0.0487956452203939,0.0275777167313717,0.5070746330286449,0.0159569843860989,0.5746845840991308,nfat,1.0,10.9202,5.4468,-0.6150859614107699,3.6938,1.3008,1.3008333333333333,9.9513
MADS-box,frozen,6,12,12,-0.0154965845269393,-0.033021426360643,0.0020282573067643,0.0721607613838147,0.0298812874937774,0.3066832358812129,,,,,,,,,
C2H2 zinc finger,frozen,6,12,24,-0.015505845578669,-0.0269073922731063,-0.0041042988842318,0.0173598091562178,0.0159865806180268,0.2951167556557039,egr1,1.0,3.8727,8.4822,0.0787626789190795,0.797,0.2933,0.29325,5.245999999999999
Nuclear receptor (Zn),frozen,6,12,10,-0.0165013444365899,-0.0333691622986398,0.00036647342546,0.0535176960871161,0.0212184698232496,0.454900416740487,err,1.0,2.1118,4.5581,-0.4997197777788834,2.0775,1.4874,1.357,7.927475
p53-like,frozen,6,12,5,-0.019101291545296,-0.0497104798849133,0.0115078967943213,0.1695882458194989,0.0252722108890913,0.2883000178931482,,,,,,,,,
TBP / β-saddle,frozen,6,12,6,-0.0194633625105556,-0.048223372757385,0.0092966477362738,0.1424103787529338,0.0274018175191299,0.3026220548499844,tbp,1.0,79.6608,11.5095,2.617978533569413,0.587,0.2121,0.20575,11.7761
Homeodomain,frozen,6,12,11,-0.0197591061384219,-0.0503638506337593,0.0108456383569154,0.1578845986440091,0.0277850606501841,0.2982264641053505,engrailed,1.0,8.1173,7.006,-0.3235872108746181,0.6896,0.2858,0.5458000000000001,2.4436
bZIP,frozen,6,12,8,-0.0283646186807068,-0.0593319559843363,0.0026027186229226,0.0651921455432874,0.0258465939831703,0.369422158078629,,,,,,,,,
bHLH,frozen,6,12,4,-0.0348450165325955,-0.0766632901778118,0.0069732571126207,0.0851088753200783,0.0664518430433941,0.2411418134068885,,,,,,,,,
Zn2Cys6 cluster,frozen,6,12,2,-0.0349393994535768,-0.0766763808416446,0.006797581934491,0.0840409305451809,0.0309845844791694,0.2857391638536152,,,,,,,,,
Homeodomain (POU),frozen,6,12,1,-0.0531502604002654,-0.1279432997818511,0.0216427789813202,0.1273011808302491,0.0749135201364153,0.3091600105877478,,,,,,,,,
