tf,n_seeds,selffam_dP,otherfam_dP,contrast,t,p,n_neg_seeds,q_bh
csl,6,0.10275906678175771,-0.04264358555504336,0.14540265233680108,4.2214910947963205,0.008315889289108,1,0.091474782180188
ets1,6,0.11085633745430845,-0.00802695080204848,0.11888328825635693,3.977640912557877,0.010555494638492095,0,0.05805522051170652
runx,6,0.08406587740701744,-0.0029707420397516726,0.08703661944676912,1.7119235590309168,0.14759064181038767,2,0.4058742649785661
nfat,5,0.015104074315557802,-0.03320462545069691,0.048308699766254716,1.3212669893682112,0.2569223913262066,2,0.5652292609176545
irf,5,0.03319295707042327,-0.014524077894877752,0.04771703496530102,1.267095656033779,0.27387100121917535,2,0.5020968355684882
hsf,5,0.03662900763059342,0.0022630211452100866,0.03436598648538334,0.8725355879268136,0.43216297865854036,2,0.594224095655493
egr1,6,-0.0025293934583481836,-0.03254820821624129,0.030018814757893104,2.5248291912814698,0.0528622560635571,1,0.1938282722330427
err,6,-0.0025314455682817947,-0.02541133513800194,0.022879889569720147,1.2014250275932952,0.28338512307491515,2,0.4453194791177238
foxa,6,-0.005552563743069561,-0.0016324931979140311,-0.0039200705451555296,-0.13394509648865624,0.8986704264366957,3,0.8986704264366957
engrailed,6,-0.015237467017145687,-0.0030879695690914457,-0.012149497448054242,-0.7110453733608293,0.5088408894830261,3,0.6219166427014763
tbp,6,-0.030912220067060663,-0.014461312271127347,-0.016450907795933317,-0.4359582558749237,0.6810470225330539,3,0.7491517247863594
