tf,dP_mean_frozen,dP_mean_relax,dP_p_frozen,dP_p_relax,n_neg_seeds_frozen,n_neg_seeds_relax,n_seeds_frozen,n_seeds_relax
ets1,0.11085633745430845,0.11035398735727939,0.013058711290877987,0.017392489493520184,0,0,6,5
csl,0.10275906678175771,0.15801965612676214,0.06540603931950831,0.0036910024981112234,2,0,6,5
runx,0.08406587740701744,0.09421143564337395,0.16135496056218893,0.02422751456687687,2,1,6,5
hsf,0.03662900763059342,0.050842789433081605,0.3306038914682202,0.2278328517952154,2,1,5,5
irf,0.03319295707042327,-0.05247233460162533,0.47087544787790897,0.37604103286294116,2,3,5,5
nfat,0.015104074315557802,-0.003817140692833609,0.4999624727834653,0.9145115313505947,2,3,5,5
egr1,-0.0025293934583481836,0.021861659130657674,0.9111052020727308,0.2913596744673514,4,1,6,5
err,-0.0025314455682817947,0.03591953967747477,0.9237599035776543,0.6292861890067469,3,2,6,4
foxa,-0.005552563743069561,0.03009547683478069,0.877417837763183,0.45308674541556443,3,2,6,5
engrailed,-0.015237467017145687,0.013495302034611379,0.6697948376875495,0.771040143386599,3,3,6,5
tbp,-0.030912220067060663,0.007879471810730076,0.5128585115594894,0.8883580433744283,3,2,6,5
