variant,pilot,state,point,label,sigma,clashes,pe,min_d
frozen,foxa,1,0,init,,73,,0.7
frozen,foxa,1,1,H-min,,73,,0.7
frozen,foxa,1,2,s0.1,0.1,71,-14900.0,0.7
frozen,foxa,1,3,s0.3,0.3,71,-14800.0,0.7
frozen,foxa,1,4,s0.5,0.5,71,79000.0,0.7
frozen,foxa,1,5,s0.7,0.7,23,-35400.0,1.56
frozen,foxa,1,6,s1.0,1.0,0,-35800.0,2.58
frozen,foxa,1,7,final,,0,-36000.0,2.57
frozen,foxa,2,0,init,,92,,0.47
frozen,foxa,2,1,H-min,,92,,0.47
frozen,foxa,2,2,s0.1,0.1,91,-9360.0,0.5
frozen,foxa,2,3,s0.3,0.3,90,-19300.0,0.77
frozen,foxa,2,4,s0.5,0.5,90,43400.0,0.77
frozen,foxa,2,5,s0.7,0.7,33,-32400.0,1.55
frozen,foxa,2,6,s1.0,1.0,11,-26400.0,2.15
frozen,foxa,2,7,final,,11,-26800.0,2.15
frozen,foxa,3,0,init,,44,,0.34
frozen,foxa,3,1,H-min,,44,,0.34
frozen,foxa,3,2,s0.1,0.1,44,-12800.0,0.37
frozen,foxa,3,3,s0.3,0.3,44,222000.0,0.37
frozen,foxa,3,4,s0.5,0.5,44,108000000.0,0.37
frozen,foxa,3,5,s0.7,0.7,23,-35300.0,1.55
frozen,foxa,3,6,s1.0,1.0,0,-36300.0,2.62
frozen,foxa,3,7,final,,0,-36600.0,2.61
frozen,foxa,4,0,init,,22,,1.04
frozen,foxa,4,1,H-min,,22,,1.04
frozen,foxa,4,2,s0.1,0.1,22,3750.0,1.05
frozen,foxa,4,3,s0.3,0.3,22,4520.0,1.05
frozen,foxa,4,4,s0.5,0.5,22,387000.0,1.05
frozen,foxa,4,5,s0.7,0.7,14,-34700.0,1.56
frozen,foxa,4,6,s1.0,1.0,0,-36800.0,2.58
frozen,foxa,4,7,final,,0,-37000.0,2.59
frozen,foxa,5,0,init,,247,,0.24
frozen,foxa,5,1,H-min,,247,,0.24
frozen,foxa,5,2,s0.1,0.1,247,20000.0,0.22
frozen,foxa,5,3,s0.3,0.3,250,-306000.0,0.8
frozen,foxa,5,4,s0.5,0.5,250,-581000.0,0.8
frozen,foxa,5,5,s0.7,0.7,94,-29400.0,1.53
frozen,foxa,5,6,s1.0,1.0,17,-18300.0,2.16
frozen,foxa,5,7,final,,17,-19300.0,2.16
frozen,foxa,6,0,init,,121,,0.59
frozen,foxa,6,1,H-min,,121,,0.59
frozen,foxa,6,2,s0.1,0.1,121,-13500.0,0.6
frozen,foxa,6,3,s0.3,0.3,115,-27600.0,0.78
frozen,foxa,6,4,s0.5,0.5,98,-49600.0,0.97
frozen,foxa,6,5,s0.7,0.7,98,-246000.0,0.96
frozen,foxa,6,6,s1.0,1.0,19,-25300.0,2.13
frozen,foxa,6,7,final,,20,-25500.0,2.13
frozen,foxa,7,0,init,,57,,0.58
frozen,foxa,7,1,H-min,,57,,0.58
frozen,foxa,7,2,s0.1,0.1,56,-2430.0,0.62
frozen,foxa,7,3,s0.3,0.3,56,-1570.0,0.62
frozen,foxa,7,4,s0.5,0.5,56,428000.0,0.62
frozen,foxa,7,5,s0.7,0.7,28,-34600.0,1.55
frozen,foxa,7,6,s1.0,1.0,0,-36600.0,2.56
frozen,foxa,7,7,final,,0,-36700.0,2.58
