pilot,mode,n,mean_dP,ci_lo,ci_hi,t,p_raw,p_holm,p_bh,bonferroni
err,frozen,6,-0.0237,-0.05,0.0027,-2.3083,0.0691,1.0,0.4143,1.0
egr1,frozen,6,-0.027,-0.065,0.011,-1.825,0.1276,1.0,0.6124,1.0
nfat,frozen,5,-0.0276,-0.076,0.0207,-1.5867,0.1878,1.0,0.6768,1.0
irf,frozen,5,-0.0131,-0.0386,0.0125,-1.4204,0.2285,1.0,0.6768,1.0
csl,frozen,6,-0.0371,-0.12,0.0459,-1.1488,0.3026,1.0,0.6768,1.0
tbp,frozen,6,-0.0152,-0.0502,0.0197,-1.1189,0.3141,1.0,0.6768,1.0
lef1,frozen,5,-0.0067,-0.0578,0.0444,-0.3634,0.7347,1.0,0.989,1.0
hsf,frozen,5,0.0031,-0.0268,0.033,0.2838,0.7907,1.0,0.989,1.0
engrailed,frozen,6,-0.0041,-0.065,0.0568,-0.1737,0.8689,1.0,0.989,1.0
foxa,frozen,6,-0.0018,-0.0322,0.0286,-0.1507,0.8861,1.0,0.989,1.0
ets1,frozen,6,0.0011,-0.0257,0.0279,0.1073,0.9187,1.0,0.989,1.0
runx,frozen,6,0.0004,-0.0124,0.0131,0.0758,0.9425,1.0,0.989,1.0
foxa,relaxed,5,-0.0364,-0.0458,-0.027,-10.7204,0.0004,0.0103,0.0103,0.0103
tbp,relaxed,5,-0.0392,-0.0788,0.0003,-2.755,0.0511,1.0,0.4143,1.0
egr1,relaxed,5,-0.0235,-0.0485,0.0015,-2.6112,0.0593,1.0,0.4143,1.0
hsf,relaxed,5,0.0207,-0.0181,0.0594,1.4794,0.2131,1.0,0.6768,1.0
runx,relaxed,5,0.0161,-0.0232,0.0553,1.1382,0.3186,1.0,0.6768,1.0
ets1,relaxed,5,-0.0176,-0.0625,0.0273,-1.0864,0.3384,1.0,0.6768,1.0
irf,relaxed,5,-0.0112,-0.0472,0.0249,-0.8606,0.438,1.0,0.8086,1.0
lef1,relaxed,5,0.0392,-0.1199,0.1984,0.6842,0.5314,1.0,0.911,1.0
engrailed,relaxed,5,0.0078,-0.0581,0.0737,0.3277,0.7596,1.0,0.989,1.0
err,relaxed,4,-0.0049,-0.0932,0.0834,-0.1778,0.8702,1.0,0.989,1.0
csl,relaxed,5,0.0006,-0.0467,0.048,0.0364,0.9727,1.0,0.989,1.0
nfat,relaxed,5,-0.0001,-0.0251,0.0248,-0.0147,0.989,1.0,0.989,1.0
