pilot,stage,state,ca_rmsd,nres
tbp,stage2,001,0.8095,180
tbp,stage2,002,1.0085,180
tbp,stage2,003,0.63,180
tbp,stage2,004,1.3969,180
tbp,stage2,005,1.7329,180
tbp,stage2,006,1.6169,180
tbp,stage2,007,1.2359,180
tbp,stage2,008,2.2431,180
tbp,stage2,009,0.6004,180
tbp,stage2,010,1.6867,180
tbp,stage2,011,1.5444,180
tbp,stage2,012,1.3267,180
tbp,stage2,013,1.2267,180
tbp,stage2,014,1.7351,180
tbp,stage2,015,1.6028,180
tbp,stage2,016,1.4313,180
tbp,stage2,017,0.6701,180
tbp,stage2,018,1.7122,180
tbp,stage2,019,1.9532,180
tbp,stage2,020,1.206,180
tbp,stage2,021,1.1612,180
tbp,stage2,022,1.7728,180
tbp,stage2,023,0.9093,180
tbp,stage2,024,1.0298,180
tbp,stage2,025,0.6696,180
tbp,stage2,026,1.3088,180
tbp,stage2,027,1.8007,180
tbp,stage2,028,0.7096,180
tbp,stage2,029,0.8122,180
tbp,stage2,030,1.5166,180
tbp,stage2,031,0.9292,180
tbp,stage2,032,1.1312,180
tbp,stage2,033,1.0514,180
tbp,stage2,034,0.8182,180
tbp,stage2,035,1.1533,180
tbp,stage2,036,1.1938,180
tbp,stage2,037,1.1757,180
tbp,stage2,038,1.648,180
tbp,stage2,039,0.9898,180
tbp,stage2,040,1.1697,180
tbp,stage2,041,0.9644,180
tbp,stage2,042,1.8078,180
tbp,stage2,043,1.422,180
tbp,stage2,044,1.7307,180
tbp,stage2,045,1.0749,180
tbp,stage2,046,0.815,180
tbp,stage2,047,1.1237,180
tbp,stage2,048,1.5146,180
tbp,stage2,049,1.5662,180
tbp,stage2,050,1.2261,180
tbp,stage2,051,0.7534,180
tbp,stage2,052,1.5336,180
tbp,stage2,053,1.23,180
tbp,stage2,054,0.8242,180
tbp,stage2,055,1.0348,180
tbp,stage2,056,1.4153,180
tbp,stage2,057,0.7967,180
tbp,stage2,058,1.3564,180
tbp,stage2,059,0.709,180
tbp,stage2,060,0.8413,180
tbp,stage2,061,1.5662,180
tbp,stage2,062,1.5253,180
tbp,stage2,063,1.6999,180
tbp,stage2,064,0.8835,180
tbp,stage2,065,1.9168,180
tbp,stage2,066,1.3695,180
tbp,stage2,067,1.3778,180
tbp,stage2,068,1.682,180
tbp,stage2,069,0.8113,180
tbp,stage2,070,0.9955,180
tbp,stage2,071,1.0023,180
tbp,stage2,072,1.424,180
tbp,stage2,073,1.3545,180
tbp,stage2,074,1.0645,180
tbp,stage2,075,1.3947,180
tbp,stage2,076,0.8454,180
tbp,stage2,077,0.9285,180
tbp,stage2,078,1.0735,180
tbp,stage2,079,2.0173,180
tbp,stage2,080,1.262,180
tbp,stage2,081,1.0567,180
tbp,stage2,082,2.48,180
tbp,stage2,083,1.1479,180
tbp,stage2,084,0.9068,180
tbp,stage2,085,1.0351,180
tbp,stage2,086,0.723,180
tbp,stage2,087,0.9857,180
tbp,stage2,088,1.3432,180
tbp,stage2,089,0.9467,180
tbp,stage2,090,1.3833,180
tbp,stage2,091,1.4721,180
tbp,stage2,092,2.1399,180
tbp,stage2,093,1.3438,180
tbp,stage2,094,1.1308,180
tbp,stage2,095,0.9405,180
tbp,stage2,096,1.2518,180
tbp,stage2,097,1.0439,180
tbp,stage3,001,0.7784,180
tbp,stage3,002,0.9921,180
tbp,stage3,003,0.6107,180
tbp,stage3,004,1.3788,180
tbp,stage3,005,1.7116,180
tbp,stage3,006,1.598,180
tbp,stage3,007,1.2096,180
tbp,stage3,008,2.2216,180
tbp,stage3,009,0.587,180
tbp,stage3,010,1.6672,180
tbp,stage3,011,1.519,180
tbp,stage3,012,1.3067,180
tbp,stage3,013,1.2111,180
tbp,stage3,014,1.7161,180
tbp,stage3,015,1.5521,180
tbp,stage3,016,1.4077,180
tbp,stage3,017,0.6437,180
tbp,stage3,018,1.6944,180
tbp,stage3,019,1.8942,180
tbp,stage3,020,1.1884,180
tbp,stage3,021,1.1294,180
tbp,stage3,022,1.7522,180
tbp,stage3,024,1.0119,180
tbp,stage3,025,0.6597,180
tbp,stage3,026,1.2923,180
tbp,stage3,028,0.6931,180
tbp,stage3,029,0.7977,180
tbp,stage3,030,1.488,180
