cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,0.3903,22.11,22.4,0.29,7.64
frozen,002,0.4821,22.11,22.53,0.42,7.72
frozen,003,0.6229,22.11,22.56,0.46,8.015
frozen,004,0.3402,22.11,21.66,-0.45,7.557
frozen,005,0.515,22.11,21.39,-0.72,7.381
frozen,006,0.3835,22.11,21.69,-0.42,7.665
frozen,007,0.3287,22.11,21.8,-0.31,7.61
frozen,008,0.3861,22.11,22.31,0.2,7.636
frozen,009,0.4572,22.11,22.49,0.38,7.594
frozen,010,0.4314,22.11,21.57,-0.54,7.557
frozen,011,0.3026,22.11,22.75,0.64,7.611
frozen,012,0.2896,22.11,21.73,-0.38,7.235
frozen,013,0.4769,22.11,21.18,-0.93,7.568
frozen,014,0.2624,22.11,21.55,-0.56,7.558
frozen,015,0.735,22.11,21.12,-0.99,7.204
frozen,016,0.3242,22.11,21.34,-0.77,7.647
frozen,017,0.4404,22.11,21.52,-0.59,7.337
frozen,018,0.3354,22.11,21.59,-0.52,7.097
frozen,020,0.29,22.11,21.91,-0.19,7.651
frozen,021,0.508,22.11,21.2,-0.91,7.237
frozen,022,0.5579,22.11,21.32,-0.79,7.627
frozen,023,0.2623,22.11,21.9,-0.21,7.626
frozen,024,0.3624,22.11,21.37,-0.73,7.356
frozen,025,0.3351,22.11,21.71,-0.39,7.536
frozen,026,0.2528,22.11,21.95,-0.16,7.69
frozen,027,0.4125,22.11,22.17,0.06,7.641
frozen,028,0.3213,22.11,21.99,-0.12,7.694
frozen,029,0.384,22.11,21.72,-0.39,7.845
frozen,030,0.4425,22.11,21.99,-0.12,7.463
frozen,031,0.2806,22.11,22.43,0.32,7.238
frozen,032,0.384,22.11,21.87,-0.24,7.252
frozen,033,0.373,22.11,20.65,-1.46,7.521
frozen,035,0.4229,22.11,21.48,-0.63,7.124
frozen,036,0.2794,22.11,21.88,-0.23,7.617
frozen,037,0.3424,22.11,21.5,-0.61,7.706
frozen,038,0.2691,22.11,22.64,0.53,7.565
frozen,039,0.37,22.11,21.8,-0.31,7.6
frozen,040,0.456,22.11,20.37,-1.74,7.727
frozen,041,0.4959,22.11,22.5,0.39,7.657
frozen,042,0.3171,22.11,22.02,-0.09,7.637
frozen,043,0.3842,22.11,22.47,0.36,7.653
frozen,044,0.3136,22.11,21.9,-0.21,7.666
frozen,045,0.2413,22.11,21.41,-0.7,7.605
frozen,046,0.3807,22.11,21.83,-0.28,7.625
frozen,047,0.4376,22.11,21.66,-0.45,7.418
frozen,049,0.2899,22.11,22.3,0.19,7.356
frozen,050,0.2791,22.11,22.45,0.34,7.598
frozen,051,0.313,22.11,22.28,0.17,7.603
frozen,054,0.3419,22.11,22.34,0.23,7.65
frozen,055,0.2616,22.11,22.28,0.17,7.559
frozen,056,0.3245,22.11,21.89,-0.22,7.678
frozen,057,0.408,22.11,21.67,-0.44,7.716
frozen,059,0.3959,22.11,22.18,0.07,7.666
frozen,060,0.3993,22.11,22.24,0.13,7.552
frozen,061,0.6298,22.11,22.51,0.4,7.243
frozen,062,0.3031,22.11,21.52,-0.59,7.725
frozen,063,0.3538,22.11,22.1,-0.01,7.567
frozen,064,0.6215,22.11,21.84,-0.27,7.694
frozen,065,0.3207,22.11,22.2,0.09,7.635
frozen,067,0.6074,22.11,23.32,1.21,7.867
frozen,068,0.3636,22.11,21.61,-0.5,7.372
frozen,069,0.3713,22.11,20.26,-1.84,7.4
frozen,070,0.2984,22.11,21.8,-0.31,7.663
frozen,071,0.3124,22.11,22.43,0.32,7.719
frozen,072,0.3758,22.11,22.17,0.06,7.664
frozen,073,0.5337,22.11,20.92,-1.19,7.394
frozen,074,0.2614,22.11,21.63,-0.48,7.615
frozen,075,0.3553,22.11,21.61,-0.5,7.695
frozen,076,0.3642,22.11,21.56,-0.55,7.328
frozen,077,0.4046,22.11,21.68,-0.43,7.508
frozen,078,0.3293,22.11,21.85,-0.26,7.74
frozen,079,0.3144,22.11,21.94,-0.17,7.632
frozen,080,0.4137,22.11,21.42,-0.69,7.468
frozen,081,0.291,22.11,21.56,-0.55,7.581
frozen,082,0.3584,22.11,21.28,-0.83,8.009
frozen,083,0.3794,22.11,22.55,0.44,7.581
frozen,084,0.4719,22.11,21.32,-0.78,7.539
frozen,085,0.2989,22.11,21.8,-0.31,7.253
frozen,086,0.3318,22.11,21.82,-0.29,7.613
frozen,087,0.3591,22.11,21.71,-0.4,7.577
frozen,089,0.343,22.11,21.45,-0.66,7.677
frozen,090,0.6101,22.11,22.3,0.19,7.64
frozen,091,0.482,22.11,22.5,0.39,7.677
frozen,092,0.3886,22.11,21.14,-0.96,7.449
relaxed,001,0.6815,22.11,22.06,-0.05,7.652
relaxed,003,0.9852,22.11,23.31,1.2,8.079
relaxed,005,0.8936,22.11,21.56,-0.55,7.424
relaxed,006,0.7267,22.11,20.38,-1.73,7.684
relaxed,009,0.7915,22.11,23.41,1.31,7.618
relaxed,010,0.8319,22.11,21.66,-0.45,7.688
relaxed,011,0.6604,22.11,22.16,0.05,7.708
relaxed,012,0.5542,22.11,20.82,-1.29,7.371
relaxed,013,0.8102,22.11,20.43,-1.68,7.241
relaxed,014,0.601,22.11,21.01,-1.09,7.373
relaxed,015,1.3772,22.11,21.51,-0.6,7.31
relaxed,016,0.4955,22.11,21.01,-1.1,7.674
relaxed,019,0.8297,22.11,22.14,0.03,7.798
relaxed,021,0.7503,22.11,20.73,-1.38,7.233
relaxed,023,0.5087,22.11,22.14,0.03,7.685
relaxed,025,0.4931,22.11,21.3,-0.8,7.511
relaxed,029,0.6905,22.11,21.25,-0.86,7.917
relaxed,031,0.5567,22.11,23.91,1.8,7.606
relaxed,032,0.7653,22.11,20.87,-1.24,7.244
relaxed,033,0.6955,22.11,18.11,-4.0,7.678
relaxed,035,0.8759,22.11,21.27,-0.84,7.425
