cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,0.2918,34.39,34.95,0.55,7.088
frozen,002,0.374,34.39,34.04,-0.35,7.071
frozen,003,0.8796,34.39,30.78,-3.61,7.246
frozen,004,0.5502,34.39,34.5,0.1,7.968
frozen,005,0.4051,34.4,34.65,0.25,7.049
frozen,006,0.4141,34.39,34.35,-0.04,7.38
frozen,007,0.386,34.39,34.72,0.33,7.083
frozen,008,0.2832,34.4,33.93,-0.46,7.004
frozen,009,0.2805,34.39,34.85,0.46,7.091
frozen,010,0.2658,34.39,34.11,-0.28,7.014
frozen,011,0.3791,34.39,33.82,-0.57,7.04
frozen,012,0.468,34.39,35.67,1.28,7.038
frozen,013,0.4801,34.39,35.16,0.76,7.058
frozen,014,0.3382,34.39,33.86,-0.53,7.05
frozen,015,0.2473,34.39,34.64,0.24,7.07
frozen,016,0.3712,34.4,34.51,0.11,7.07
frozen,017,0.4233,34.39,34.88,0.49,7.098
frozen,018,0.0259,34.39,34.23,-0.17,6.943
frozen,019,0.3008,34.39,34.57,0.17,7.048
frozen,020,0.2795,34.39,33.68,-0.72,7.01
frozen,021,0.303,34.39,33.61,-0.79,7.005
frozen,022,0.2966,34.39,33.96,-0.43,7.021
frozen,023,0.4176,34.39,34.37,-0.03,7.094
frozen,024,0.3306,34.39,35.12,0.72,7.032
frozen,025,0.2461,34.4,35.2,0.8,6.989
frozen,026,0.3267,34.39,34.12,-0.27,7.069
frozen,027,0.5971,34.39,36.08,1.69,7.194
frozen,028,0.3712,34.39,34.55,0.15,7.115
frozen,029,0.2759,34.39,35.06,0.67,7.056
frozen,030,0.3811,34.39,35.31,0.92,7.003
frozen,031,0.0468,34.39,34.27,-0.12,6.94
frozen,032,0.2462,34.39,34.92,0.53,7.044
frozen,033,0.2717,34.39,34.87,0.48,7.046
frozen,034,0.1131,34.39,34.43,0.04,7.152
frozen,035,0.2638,34.39,36.07,1.68,7.131
frozen,036,0.3209,34.39,34.66,0.26,6.986
frozen,037,0.0643,34.39,34.28,-0.11,6.913
frozen,038,0.365,34.39,35.37,0.98,7.099
frozen,039,0.3715,34.39,33.73,-0.67,7.024
frozen,040,0.2938,34.39,35.46,1.07,7.013
frozen,041,0.3859,34.39,33.58,-0.81,7.012
frozen,042,0.268,34.4,34.31,-0.08,7.037
frozen,043,0.2551,34.39,34.48,0.08,7.138
frozen,044,0.3713,34.39,34.76,0.37,7.115
frozen,045,0.5216,34.39,32.66,-1.73,7.029
frozen,046,0.252,34.39,34.31,-0.09,7.053
frozen,047,0.3251,34.39,34.59,0.19,7.129
frozen,048,0.4193,34.39,34.99,0.6,7.52
frozen,049,0.6068,34.39,34.81,0.41,7.061
frozen,050,0.3332,34.39,34.61,0.22,7.015
frozen,051,0.3461,34.39,34.64,0.25,7.013
frozen,052,0.4169,34.39,35.79,1.4,7.104
frozen,053,0.3833,34.4,35.59,1.2,7.016
frozen,054,0.289,34.39,33.74,-0.66,7.035
frozen,055,0.3379,34.39,34.29,-0.11,6.973
frozen,056,0.2828,34.4,35.02,0.63,7.236
frozen,057,0.4705,34.39,34.85,0.45,7.133
frozen,058,0.3108,34.39,34.69,0.3,7.096
frozen,059,0.3699,34.39,34.02,-0.37,7.145
frozen,060,0.548,34.4,33.94,-0.46,7.037
frozen,061,0.5414,34.39,35.7,1.3,7.103
frozen,062,0.1535,34.39,34.95,0.55,6.889
frozen,063,0.2508,34.39,34.72,0.32,7.086
frozen,064,0.2977,34.4,35.18,0.79,7.066
frozen,065,0.3778,34.39,34.26,-0.13,7.062
frozen,066,0.2461,34.4,34.08,-0.32,6.973
