cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,0.2548,3.28,3.25,-0.02,7.098
frozen,002,0.3513,3.28,3.88,0.6,7.213
frozen,003,0.3934,3.28,3.04,-0.23,7.506
frozen,004,0.2805,3.28,3.24,-0.03,7.204
frozen,005,0.4951,3.28,2.89,-0.38,7.041
frozen,006,0.3022,3.28,3.14,-0.14,7.208
frozen,007,0.2901,3.28,3.27,-0.01,7.153
frozen,008,0.4181,3.28,2.94,-0.34,7.08
frozen,009,0.3101,3.28,3.06,-0.22,7.308
frozen,010,0.3969,3.28,3.35,0.07,7.094
frozen,011,0.2643,3.28,3.11,-0.17,7.068
frozen,012,0.2809,3.28,3.34,0.07,7.081
frozen,013,0.255,3.28,3.12,-0.16,7.044
frozen,014,0.459,3.28,4.05,0.77,7.074
frozen,015,0.2555,3.28,3.12,-0.16,7.074
frozen,016,0.278,3.28,3.27,-0.0,7.163
frozen,017,0.3352,3.28,3.81,0.54,7.103
frozen,018,0.2704,3.28,3.0,-0.28,7.158
frozen,019,0.3739,3.28,3.14,-0.14,7.737
frozen,020,0.3426,3.27,3.14,-0.14,7.136
frozen,021,0.3105,3.28,3.67,0.39,7.003
frozen,022,0.3347,3.28,3.66,0.39,7.059
frozen,023,0.3136,3.27,3.03,-0.24,7.54
frozen,024,0.3319,3.28,3.23,-0.05,7.188
frozen,025,0.3364,3.28,3.3,0.02,7.415
frozen,026,0.2839,3.28,3.07,-0.21,7.115
frozen,027,0.3218,3.28,3.58,0.3,7.005
frozen,028,0.2984,3.28,3.21,-0.07,7.096
frozen,029,0.2892,3.28,3.08,-0.2,7.044
frozen,030,0.4339,3.28,3.55,0.27,7.785
frozen,031,0.3222,3.28,3.39,0.12,7.872
frozen,032,0.2597,3.28,3.0,-0.27,7.297
frozen,033,0.4149,3.27,4.08,0.81,7.113
frozen,034,0.3126,3.28,3.2,-0.08,7.062
frozen,035,0.2952,3.28,3.32,0.04,7.229
frozen,036,0.2736,3.28,3.32,0.04,7.063
frozen,037,0.2832,3.28,3.16,-0.12,7.048
frozen,038,0.2642,3.28,3.16,-0.12,7.067
frozen,039,0.2665,3.28,3.14,-0.14,7.157
frozen,040,0.347,3.28,3.26,-0.01,7.237
frozen,041,0.4612,3.28,4.46,1.18,7.064
frozen,042,0.3645,3.28,3.7,0.42,7.133
frozen,043,0.6303,3.28,3.34,0.07,7.962
frozen,044,0.3333,3.28,3.32,0.04,7.004
frozen,045,0.2635,3.27,3.21,-0.07,7.132
frozen,046,0.333,3.28,3.14,-0.14,7.458
frozen,047,0.3302,3.28,3.14,-0.13,7.198
frozen,048,0.2691,3.27,3.46,0.18,7.062
frozen,049,0.4815,3.28,3.48,0.2,7.246
frozen,050,0.2923,3.28,3.27,-0.01,7.01
frozen,051,0.4026,3.28,3.91,0.63,6.994
frozen,053,0.2574,3.28,3.03,-0.25,7.137
frozen,054,0.2511,3.28,3.23,-0.04,7.006
frozen,055,0.2716,3.28,2.92,-0.36,7.11
frozen,056,0.3456,3.28,3.24,-0.04,8.084
frozen,057,0.2883,3.28,3.31,0.03,7.028
frozen,058,0.2991,3.28,3.44,0.16,7.114
frozen,059,0.3237,3.28,3.0,-0.28,7.459
frozen,060,0.4206,3.28,4.12,0.84,7.163
frozen,062,0.2638,3.28,2.95,-0.33,7.089
frozen,063,0.2756,3.28,3.02,-0.25,7.306
frozen,064,0.3242,3.28,3.43,0.16,7.474
frozen,065,0.2912,3.28,3.48,0.2,7.011
frozen,066,0.4202,3.28,3.15,-0.13,7.669
frozen,067,0.3922,3.28,3.23,-0.05,7.405
frozen,068,0.2597,3.28,3.33,0.06,7.064
frozen,069,0.2501,3.28,3.24,-0.04,7.054
frozen,070,0.2796,3.28,3.28,0.01,7.096
frozen,071,0.3411,3.28,3.1,-0.18,7.064
frozen,072,0.3592,3.28,3.59,0.32,7.354
frozen,073,0.3048,3.27,3.16,-0.11,7.012
frozen,074,0.2531,3.28,3.38,0.11,7.081
frozen,075,0.3026,3.28,3.3,0.03,7.072
frozen,076,0.2569,3.28,2.99,-0.28,7.146
frozen,077,0.2696,3.28,3.39,0.11,7.189
frozen,078,0.3208,3.28,3.48,0.21,7.098
frozen,079,0.3207,3.28,3.05,-0.22,7.095
frozen,080,0.2719,3.28,3.34,0.07,7.054
frozen,081,0.2544,3.28,3.06,-0.22,7.091
frozen,082,0.3279,3.27,3.42,0.14,7.324
frozen,083,0.2744,3.28,3.04,-0.23,7.076
frozen,084,0.3726,3.28,3.89,0.61,7.056
frozen,085,0.2918,3.28,2.85,-0.43,7.143
frozen,086,0.2823,3.28,3.4,0.13,7.094
frozen,087,0.2724,3.28,3.49,0.21,7.035
frozen,088,0.3014,3.28,3.3,0.02,7.122
frozen,089,0.2841,3.27,3.38,0.11,7.032
frozen,090,0.2833,3.28,3.2,-0.07,7.085
frozen,091,0.3412,3.28,3.18,-0.1,7.061
frozen,092,0.2901,3.28,3.36,0.08,7.121
frozen,093,0.2846,3.28,3.22,-0.05,7.047
frozen,094,0.3555,3.28,2.99,-0.28,7.298
frozen,095,0.3051,3.28,3.08,-0.19,7.069
frozen,096,0.31,3.28,3.27,-0.01,7.314
frozen,097,0.2768,3.27,3.22,-0.06,7.044
relaxed,001,0.3923,3.28,3.28,0.01,7.127
relaxed,002,0.6439,3.28,4.27,0.99,7.354
relaxed,003,0.7772,3.28,2.99,-0.28,7.898
relaxed,004,0.5214,3.28,3.32,0.04,7.213
relaxed,005,0.856,3.28,2.41,-0.86,7.214
relaxed,006,0.5397,3.28,3.59,0.32,7.297
relaxed,007,0.6083,3.28,3.75,0.47,7.171
relaxed,008,0.6676,3.28,2.82,-0.46,7.144
relaxed,009,0.5928,3.28,3.03,-0.25,7.284
relaxed,010,0.78,3.28,3.58,0.31,7.272
relaxed,011,0.5147,3.28,3.07,-0.21,7.167
relaxed,012,0.5214,3.28,3.47,0.19,7.117
relaxed,013,0.4765,3.28,2.99,-0.29,7.068
relaxed,014,0.9866,3.28,6.89,3.61,7.254
relaxed,015,0.472,3.28,3.22,-0.06,7.14
relaxed,016,0.5797,3.28,3.7,0.43,7.286
relaxed,017,0.7026,3.28,4.93,1.65,7.328
relaxed,018,0.5305,3.28,2.82,-0.46,7.272
relaxed,019,0.707,3.28,5.11,1.83,7.388
relaxed,020,0.5735,3.27,3.08,-0.2,7.259
relaxed,021,0.612,3.28,4.67,1.39,7.104
relaxed,022,0.75,3.28,4.66,1.39,7.125
relaxed,023,0.4798,3.27,2.92,-0.36,7.745
relaxed,024,0.6785,3.28,3.51,0.23,7.236
relaxed,025,0.5805,3.28,3.5,0.23,7.379
relaxed,026,0.5588,3.28,2.86,-0.41,7.276
