cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,0.6635,40.07,41.86,1.79,7.581
frozen,002,0.4049,40.07,38.62,-1.45,8.306
frozen,003,0.3811,40.07,41.17,1.1,7.593
frozen,004,0.299,40.07,39.44,-0.63,7.653
frozen,005,0.9709,40.07,41.02,0.95,8.653
frozen,006,0.6676,40.07,39.55,-0.52,7.457
frozen,007,0.3937,40.07,38.8,-1.27,7.513
frozen,008,0.571,40.07,42.45,2.38,7.494
frozen,009,0.5692,40.07,42.44,2.37,7.855
frozen,010,1.4072,40.07,40.69,0.62,9.191
frozen,011,1.0778,40.07,36.87,-3.2,7.715
frozen,012,0.6132,40.07,38.95,-1.12,7.499
frozen,013,1.0147,40.07,40.27,0.19,7.514
frozen,014,0.7185,40.07,37.91,-2.16,7.844
frozen,015,0.436,40.07,39.52,-0.55,7.665
frozen,016,0.3146,40.07,40.32,0.25,7.434
frozen,017,0.4829,40.07,36.55,-3.53,7.376
frozen,018,0.9981,40.07,43.1,3.03,8.169
frozen,019,0.8313,40.07,38.19,-1.88,7.564
frozen,020,0.5619,40.07,41.58,1.5,7.418
frozen,021,0.48,40.07,39.78,-0.29,8.024
frozen,022,0.3716,40.07,40.02,-0.05,7.55
frozen,023,0.7053,40.07,39.41,-0.66,8.051
frozen,024,0.8795,40.07,36.69,-3.38,8.292
frozen,025,0.764,40.07,36.93,-3.14,8.431
frozen,026,0.979,40.07,44.86,4.79,7.582
frozen,027,0.7754,40.07,41.74,1.67,7.123
frozen,028,0.4643,40.07,42.27,2.2,7.647
frozen,029,0.399,40.07,40.5,0.42,7.576
frozen,030,0.3627,40.07,39.62,-0.46,7.616
frozen,031,0.374,40.07,38.42,-1.65,7.478
frozen,032,0.6753,40.07,38.94,-1.14,7.566
frozen,033,0.584,40.07,38.77,-1.3,7.803
frozen,034,0.3299,40.07,40.16,0.09,7.185
frozen,035,1.2374,40.07,44.31,4.24,7.738
frozen,036,0.9845,40.07,36.34,-3.73,7.697
frozen,037,0.5242,40.07,38.9,-1.17,7.494
frozen,038,0.6086,40.07,38.61,-1.46,7.579
frozen,039,0.5969,40.07,37.61,-2.46,7.715
frozen,040,0.3966,40.07,41.42,1.35,7.553
frozen,041,0.3814,40.07,40.83,0.76,7.621
frozen,042,0.7728,40.07,43.77,3.7,7.458
frozen,043,0.3923,40.07,39.35,-0.72,7.602
frozen,044,0.7046,40.07,38.49,-1.58,7.58
frozen,045,0.3837,40.07,40.39,0.32,7.478
frozen,046,0.751,40.07,39.12,-0.95,7.25
frozen,047,0.8321,40.07,38.14,-1.93,7.743
frozen,048,0.4195,40.07,40.7,0.63,7.506
frozen,049,0.6648,40.07,42.99,2.92,7.474
frozen,050,0.8729,40.07,40.84,0.77,7.997
frozen,051,0.3575,40.07,39.7,-0.37,7.51
frozen,052,0.5409,40.07,42.65,2.57,7.857
frozen,053,0.6106,40.07,39.18,-0.89,7.397
frozen,054,0.4314,40.07,41.22,1.15,7.552
frozen,055,0.4363,40.07,42.57,2.5,7.572
frozen,056,0.9516,40.07,37.12,-2.96,8.027
frozen,057,1.0669,40.07,40.2,0.13,8.202
frozen,058,0.6097,40.07,39.31,-0.76,7.75
frozen,059,0.4767,40.07,41.77,1.7,7.577
frozen,060,0.8927,40.07,43.19,3.11,8.218
frozen,061,0.5168,40.07,40.65,0.58,7.489
frozen,062,0.8307,40.07,38.38,-1.69,8.182
frozen,063,0.5348,40.07,41.0,0.93,7.207
frozen,064,0.5141,40.07,40.93,0.86,7.478
frozen,065,0.478,40.07,40.24,0.17,7.607
frozen,066,0.9162,40.07,42.24,2.17,7.571
frozen,067,0.3788,40.07,40.47,0.4,7.582
frozen,068,0.3673,40.07,40.84,0.77,7.536
frozen,069,0.303,40.07,40.24,0.17,7.554
frozen,070,1.0321,40.07,37.35,-2.72,8.605
frozen,071,0.3349,40.07,40.24,0.17,7.587
frozen,072,0.6351,40.07,41.9,1.83,7.658
frozen,073,0.4619,40.07,41.7,1.62,7.454
frozen,075,0.4295,40.07,40.47,0.4,7.565
frozen,076,0.5358,40.07,42.15,2.08,7.262
frozen,077,0.7359,40.07,37.95,-2.13,7.974
frozen,078,0.6448,40.07,37.94,-2.13,7.695
frozen,079,0.4585,40.07,40.21,0.14,7.888
frozen,080,0.358,40.07,40.1,0.03,7.571
frozen,081,0.3741,40.07,40.37,0.3,7.62
frozen,082,0.997,40.07,43.83,3.76,8.037
frozen,083,0.508,40.07,39.46,-0.61,7.621
frozen,084,0.4061,40.07,41.76,1.69,7.576
frozen,085,0.4142,40.07,40.63,0.56,7.582
frozen,086,1.2416,40.07,40.76,0.69,8.129
frozen,087,0.4262,40.07,40.31,0.24,7.575
frozen,088,0.0701,40.07,39.84,-0.23,7.234
frozen,089,0.5895,40.07,42.31,2.23,7.217
frozen,090,0.5602,40.07,42.63,2.56,7.598
frozen,091,0.9002,40.07,41.94,1.87,7.594
frozen,092,0.3995,40.07,40.73,0.66,7.605
relaxed,001,1.025,40.07,44.68,4.61,7.684
relaxed,002,1.0933,40.07,32.08,-7.99,8.035
relaxed,003,0.7421,40.07,42.4,2.32,7.721
relaxed,004,0.5064,40.07,39.15,-0.93,7.721
relaxed,005,1.7566,40.07,38.5,-1.57,8.954
relaxed,006,1.0673,40.07,39.25,-0.82,7.49
relaxed,007,0.7216,40.07,38.21,-1.86,7.614
relaxed,008,0.7921,40.07,43.19,3.12,7.572
relaxed,009,0.9655,40.07,45.21,5.13,7.682
relaxed,010,2.1202,40.07,39.85,-0.22,8.839
relaxed,011,1.7648,40.07,36.59,-3.48,7.806
relaxed,012,1.1704,40.07,36.94,-3.13,7.263
relaxed,013,1.7473,40.07,39.98,-0.09,7.45
relaxed,014,1.1254,40.07,35.42,-4.65,7.835
relaxed,015,0.7347,40.07,40.8,0.73,7.517
relaxed,017,0.9372,40.07,34.64,-5.43,7.488
