tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
csl,crystal,crystal,23.0019,26.4701,1.4122,5.9794,11.9404,5.2585,-0.2276,-0.55,-0.1234,5.9411,12.0544
csl,frozen,001,33.4887,38.0896,2.7997,6.2455,12.0085,6.9414,0.5186,-1.055,-0.1062,6.0333,12.0363
csl,frozen,002,35.5245,40.5489,3.6285,6.1963,12.5583,8.2385,-0.6778,-1.2147,-0.6218,6.5175,12.2825
csl,frozen,003,55.7648,50.8617,20.527,7.3685,12.6937,8.3997,0.4676,-0.888,-0.664,6.33,12.684
csl,frozen,004,25.543,25.0221,1.6418,6.0047,11.9412,7.6829,-4.9558,-0.7492,-0.0192,6.0367,11.995
csl,frozen,005,27.4893,26.347,2.3785,6.3656,11.9264,6.8585,0.0569,-0.9111,0.0812,6.25,11.99
csl,frozen,006,34.3264,32.1613,3.893,6.0319,11.7639,7.4818,-1.7611,-0.894,0.1406,6.4488,11.685
csl,frozen,007,35.8836,36.9903,3.8009,6.055,11.8912,6.7038,-0.5935,-0.9126,0.2605,6.0111,12.1211
csl,frozen,008,29.3839,26.9002,1.8661,6.13,12.248,7.3876,-4.1496,-0.882,-0.0555,6.2825,12.4167
csl,frozen,009,23.4373,23.8419,2.3791,6.175,12.3857,8.3791,0.2361,-1.0577,-0.5718,6.36,12.4233
csl,frozen,010,29.3249,30.6516,2.1095,5.9057,12.1619,6.8901,1.0559,-0.8576,-0.2147,5.86,12.1188
csl,frozen,011,29.5369,31.7519,1.8802,6.2471,11.6042,7.6934,-1.6683,-0.7412,-0.0873,6.1967,11.8322
csl,frozen,012,29.6652,31.0472,1.59,6.1066,11.9473,7.7335,-1.9999,-0.7585,-0.0136,6.1189,11.965
csl,frozen,013,27.5701,28.3014,1.5437,6.0594,12.1588,7.0016,-2.3574,-0.6279,-0.0798,5.9933,12.2767
csl,frozen,014,31.1918,32.3783,2.089,6.1556,11.9388,7.8436,-0.4783,-0.853,0.0572,6.0844,12.12
csl,frozen,015,14.129,68.8859,5.937,6.1081,11.3676,8.5082,2.8886,-0.5373,-0.8068,6.4037,11.3267
csl,frozen,016,29.4741,30.3181,1.8018,5.8462,12.1704,6.8882,-3.8589,-0.7957,-0.0419,5.8189,12.2789
csl,frozen,017,26.324,27.953,1.7145,6.1165,11.8274,7.8016,1.2282,-0.4615,-0.0591,6.04,11.9437
csl,frozen,018,31.1429,31.5343,1.796,6.1518,11.712,7.7412,0.8714,-0.8467,0.0112,6.0989,11.94
csl,frozen,020,28.5867,25.829,2.0537,6.1691,11.8044,6.8987,-1.4394,-0.8151,0.043,6.1378,11.7937
csl,frozen,021,26.9783,28.9149,2.0851,6.3845,12.2304,8.0853,0.6667,-0.7812,-0.4247,6.615,12.38
csl,frozen,022,29.9387,26.8544,13.886,5.4214,12.2953,3.1636,-3.774,0.0459,-0.9383,5.8371,12.3929
csl,frozen,023,36.7897,40.044,3.7054,6.2394,11.8631,6.5256,-0.0651,-1.0245,0.2187,6.0678,12.1267
csl,frozen,024,31.4538,34.5272,2.3871,6.1014,11.9885,7.4068,3.1757,-1.0566,-0.0971,5.8167,12.0275
csl,frozen,025,30.0684,31.773,1.8639,6.1267,11.855,7.4656,-3.1596,-0.7201,0.0158,6.0778,11.9475
csl,frozen,026,30.8628,30.5548,1.85,6.1412,11.8976,6.7683,-0.2635,-0.9319,0.0068,6.0922,12.0778
csl,frozen,027,30.6235,33.267,2.268,6.1445,11.5896,5.9836,-0.4792,-0.8567,-0.0249,6.3913,11.8138
csl,frozen,028,30.3982,34.2763,2.0722,6.1267,12.1135,7.4479,-0.2484,-0.7094,-0.1165,6.11,12.1633
csl,frozen,029,33.1146,33.8457,2.1647,6.2271,11.7116,6.8995,-1.0139,-0.6755,0.1706,6.1578,11.6487
csl,frozen,030,28.9756,26.2195,1.901,6.0245,12.0696,7.9587,2.9708,-0.8998,-0.1288,5.9989,12.0787
csl,frozen,031,30.4416,31.7503,1.9347,5.9852,11.9685,6.922,1.4143,-0.7315,-0.0047,5.9044,12.0288
csl,frozen,032,26.1177,25.2351,1.5939,5.9161,12.0323,6.4586,-1.9447,-0.7248,0.018,5.8533,12.0075
csl,frozen,033,28.2043,29.2116,1.6051,6.265,11.4093,6.9752,-0.0576,-0.8846,-0.0299,6.2522,11.8211
csl,frozen,035,33.6385,32.3794,2.2761,6.1203,12.2188,7.4755,-3.9882,-0.8118,-0.0701,6.08,12.2778
csl,frozen,036,31.2179,33.0103,2.1545,6.1315,12.0665,7.6957,-2.8544,-0.8314,-0.1788,6.1322,12.1878
csl,frozen,037,30.4041,29.0172,2.0764,6.1452,12.016,7.7896,-2.1814,-0.7524,0.0485,5.9767,11.89
csl,frozen,038,29.2423,27.5522,1.7807,6.2367,11.7538,7.558,-0.2572,-0.8274,-0.132,6.2089,11.9578
csl,frozen,039,29.6651,25.2957,1.8328,5.9352,12.1862,6.7965,-4.5254,-0.9759,0.0013,5.9878,12.3489
csl,frozen,040,29.9966,31.4908,2.5992,5.9594,11.714,7.9754,-1.0685,-0.8743,0.0776,5.9256,11.82
csl,frozen,041,27.7458,22.4209,1.8855,6.1216,12.184,6.4702,-3.695,-0.6785,-0.1489,5.9467,12.0925
csl,frozen,042,28.1661,29.4321,1.7211,5.9903,12.1263,6.6749,-2.5297,-0.5626,0.1075,6.0044,12.1478
csl,frozen,043,32.595,23.8488,2.2243,6.1113,11.8469,6.5685,-1.653,-0.7364,0.1399,6.1156,11.7075
csl,frozen,044,27.8266,28.6895,1.7989,6.1173,11.8948,8.2829,-0.0826,-0.719,-0.0112,6.3825,11.835
csl,frozen,045,29.4893,29.8654,1.7592,6.1491,11.9465,6.5679,-0.7011,-0.8916,0.0212,6.1189,12.1011
csl,frozen,046,29.8572,28.3976,2.1646,5.9976,11.9207,9.3452,-3.6424,-0.9618,0.0018,5.8256,11.6543
csl,frozen,047,30.2831,34.7891,1.7309,6.3432,11.4319,7.7987,-0.0595,-0.7021,-0.0436,6.2744,11.5175
csl,frozen,049,31.3088,30.497,2.1604,6.2568,11.9727,7.4266,-1.1476,-0.5963,0.0626,6.19,12.0911
csl,frozen,050,30.7069,28.7596,2.0163,6.1294,12.0312,7.387,0.0238,-0.8376,-0.0306,6.0611,11.9375
csl,frozen,051,30.0296,29.4618,2.126,6.1752,12.2464,6.5466,0.1894,-0.7943,-0.0428,6.0944,12.2756
csl,frozen,054,31.4314,32.0614,1.9397,6.0364,11.9281,7.7292,-1.1346,-0.8155,0.019,5.9211,11.9275
csl,frozen,055,31.1386,31.9081,2.1002,6.0991,12.048,7.9545,-2.9166,-0.8476,-0.0681,6.0178,12.09
csl,frozen,056,29.2913,29.1907,1.9645,6.097,12.0688,7.3643,-1.5182,-0.8393,-0.0186,6.03,12.0687
csl,frozen,057,26.0338,22.5961,1.9805,6.0294,12.4296,7.5305,-5.3785,-0.9856,-0.0877,5.9322,12.3475
csl,frozen,059,28.7306,23.9944,2.258,6.3176,11.798,5.6554,-2.1454,-0.7218,0.1222,6.0633,12.1156
csl,frozen,060,32.4376,27.7775,2.0352,6.3414,11.955,7.2451,-2.335,-0.8116,0.0535,6.2589,12.0213
