tf,cond,state,bend_uu,bend_pp,shortening,minor_w,major_w,inclin,tip,xdisp,ydisp,minor_w_cp,major_w_cp
dux4,crystal,crystal,9.4996,13.7655,2.0062,6.3576,11.2184,5.9535,-0.9093,-0.9226,-0.0314,6.3873,11.3185
dux4,frozen,001,71.4513,67.9264,49.0485,7.1096,12.0261,4.3509,28.639,-0.1502,0.1088,6.6747,10.8067
dux4,frozen,002,9.5872,15.6454,11.0732,5.76,12.0291,7.668,6.5544,-0.8689,-0.6837,5.9365,12.2525
dux4,frozen,003,35.855,41.5034,29.0267,7.4775,11.7525,11.5248,-3.4981,-1.3521,0.174,6.3218,11.8257
dux4,frozen,004,52.5046,94.9402,27.7291,7.6598,12.1983,4.5696,-6.2858,-0.6028,0.758,6.0938,11.8393
dux4,frozen,005,33.2194,33.8677,11.1456,6.3435,10.5896,2.7965,0.2595,0.2759,-0.2704,6.4533,10.8621
dux4,frozen,006,22.5039,22.5611,24.8611,6.2276,12.6641,7.3534,4.0684,-0.7841,-0.4345,6.0186,13.4521
dux4,frozen,007,15.2233,19.9666,33.1524,6.0148,13.5088,4.0776,-0.8511,-0.1087,0.7469,5.8268,13.0515
dux4,frozen,008,26.9184,34.5376,11.2932,6.6465,11.3823,-0.4048,-17.4518,0.1587,0.1708,6.7,11.0831
dux4,frozen,009,44.2533,48.2548,49.252,8.3218,12.3198,10.7127,4.4513,-0.8606,-0.543,6.1114,12.322
dux4,frozen,010,25.3534,28.5438,23.6654,7.0337,12.2405,6.7079,9.6756,-0.4856,-0.4817,6.3033,12.2906
dux4,frozen,011,10.5243,7.9634,33.8901,5.8008,12.5225,6.3291,0.4153,-0.6695,-0.6664,4.6405,12.5012
dux4,frozen,012,50.2824,55.3241,29.2997,7.3819,11.9989,6.3205,-6.901,-0.7215,0.3785,6.1183,11.7928
dux4,frozen,013,25.1946,31.1813,28.7198,5.9041,12.1674,13.4847,18.4669,-0.7157,-0.5128,5.9314,11.9475
dux4,frozen,014,10.1966,8.1997,1.6137,6.1271,11.6348,6.5841,-0.9656,-1.0118,-0.1315,6.1667,11.7446
dux4,frozen,015,20.1995,12.0449,23.8431,8.0173,12.038,4.6032,0.081,-0.175,0.4299,9.1089,10.8973
dux4,frozen,016,156.6162,104.6584,49.0082,5.8085,11.3509,9.5722,12.2001,-0.6572,0.1835,5.8389,11.8775
dux4,frozen,017,25.3196,35.6963,7.0218,6.0794,11.3093,11.2139,1.4223,-1.0774,-0.8117,6.06,11.25
dux4,frozen,018,34.8784,40.1715,18.0898,6.316,11.5456,4.8582,0.8625,-0.5576,-0.0187,6.1919,11.9779
