tf,cond,n,bend_uu_med,bend_uu_q1,bend_uu_q3,bend_pp_med,minor_w_med,major_w_med,inclin_med,tip_med
dux4,crystal,1,9.5,9.5,9.5,13.766,6.358,11.218,5.954,-0.909
dux4,frozen,92,28.578,18.399,44.253,31.861,6.53,11.808,7.571,0.614
dux4,relaxed,79,28.21,15.753,50.082,28.044,6.644,12.032,7.885,0.325
egr1,crystal,1,3.873,3.873,3.873,12.48,8.482,11.303,8.749,1.516
egr1,frozen,98,9.46,6.794,12.099,13.847,7.765,11.69,8.284,1.042
egr1,relaxed,90,9.494,6.876,13.427,14.445,7.343,11.944,7.562,0.897
engrailed,crystal,1,8.117,8.117,8.117,12.287,7.006,11.636,7.136,-0.532
engrailed,frozen,95,9.767,8.317,10.826,14.046,7.018,11.799,8.799,-0.275
engrailed,relaxed,96,7.088,5.341,9.263,11.281,6.827,12.047,8.385,-0.141
ets1,crystal,1,19.216,19.216,19.216,18.235,7.134,11.291,11.761,1.41
ets1,frozen,100,19.288,17.499,20.457,20.56,7.096,11.426,11.45,1.237
ets1,relaxed,98,20.137,18.778,22.021,22.016,6.794,11.949,10.699,0.929
foxa,crystal,1,15.766,15.766,15.766,22.932,6.306,12.213,4.644,0.937
foxa,frozen,91,22.918,20.255,24.623,29.34,6.205,12.709,5.494,1.207
foxa,relaxed,81,24.109,20.712,27.558,31.215,6.065,12.956,5.908,1.302
lef1,crystal,1,67.871,67.871,67.871,67.931,8.337,9.585,11.652,-1.77
lef1,frozen,83,69.496,63.48,75.097,67.378,8.606,10.227,14.275,0.587
lef1,relaxed,85,70.136,65.514,74.378,66.492,8.895,10.531,15.672,0.549
tbp,crystal,1,79.661,79.661,79.661,72.192,11.509,12.409,39.836,-1.731
tbp,frozen,94,74.627,67.778,79.595,60.033,11.892,13.889,38.115,1.21
tbp,relaxed,96,72.307,68.774,77.411,60.391,11.858,14.057,38.064,1.376
