cond,state,dna_bb_rmsd,bend_docked,bend,dbend,maxppgap
frozen,001,0.3655,110.1,109.39,-0.71,7.698
frozen,002,0.3888,110.1,109.44,-0.66,7.701
frozen,003,0.3726,110.1,109.36,-0.74,7.698
frozen,004,0.3882,110.1,110.33,0.22,7.644
frozen,005,0.5269,110.1,110.22,0.11,7.612
frozen,006,0.388,110.1,109.43,-0.68,7.661
frozen,007,0.4037,110.1,109.45,-0.66,7.691
frozen,008,0.5036,110.1,109.39,-0.71,7.689
frozen,009,0.3648,110.1,109.75,-0.36,7.676
frozen,010,0.4466,110.1,109.57,-0.53,7.683
frozen,011,0.4312,110.1,108.99,-1.11,7.686
frozen,012,0.3974,110.1,108.95,-1.15,7.705
frozen,013,0.4041,110.1,109.65,-0.46,7.681
frozen,014,0.4497,110.1,108.44,-1.66,7.673
frozen,015,0.6621,110.1,109.47,-0.63,7.551
frozen,016,0.4012,110.1,110.08,-0.02,7.609
frozen,017,0.4428,110.1,109.88,-0.22,7.675
frozen,018,0.447,110.1,109.26,-0.84,7.657
frozen,019,0.7858,110.1,109.12,-0.99,7.64
frozen,020,0.4239,110.1,108.91,-1.19,7.659
frozen,021,0.4433,110.1,108.6,-1.5,7.704
frozen,022,0.3957,110.1,109.21,-0.9,7.673
frozen,024,0.3561,110.1,109.66,-0.44,7.668
frozen,025,0.4417,110.1,109.0,-1.1,7.669
frozen,026,0.3951,110.1,109.48,-0.62,7.691
frozen,028,0.3801,110.1,109.28,-0.82,7.679
frozen,029,0.36,110.1,109.22,-0.89,7.706
frozen,030,0.3685,110.1,108.67,-1.44,7.685
frozen,031,0.4879,110.1,109.47,-0.63,7.741
frozen,032,0.4326,110.1,109.42,-0.69,7.657
frozen,033,0.5096,110.1,109.57,-0.54,7.651
frozen,034,0.4572,110.1,109.42,-0.69,7.669
frozen,035,0.4109,110.1,109.4,-0.7,7.675
frozen,036,0.4006,110.1,109.43,-0.67,7.685
frozen,037,0.409,110.1,108.73,-1.37,7.702
frozen,038,0.4068,110.1,108.76,-1.34,7.665
frozen,039,0.4632,110.1,108.81,-1.29,7.687
frozen,040,0.404,110.1,109.15,-0.96,7.687
frozen,041,0.403,110.1,109.29,-0.81,7.676
frozen,042,1.0084,110.1,109.29,-0.81,7.654
frozen,043,0.4263,110.1,109.46,-0.64,7.693
frozen,044,0.3834,110.1,109.87,-0.23,7.683
frozen,045,0.3479,110.1,109.24,-0.86,7.68
frozen,046,0.4203,110.1,109.38,-0.72,7.678
frozen,047,0.3969,110.1,108.84,-1.26,7.704
frozen,048,0.4054,110.1,109.14,-0.96,7.68
frozen,049,0.6401,110.1,110.84,0.73,7.064
frozen,050,0.5121,110.1,110.37,0.27,7.605
frozen,051,0.4075,110.1,109.41,-0.69,7.686
frozen,052,0.4155,110.1,109.97,-0.14,7.674
frozen,053,0.455,110.1,109.45,-0.65,7.653
frozen,054,0.4497,110.1,109.38,-0.73,7.675
frozen,055,0.377,110.1,109.33,-0.78,7.642
frozen,056,0.5129,110.1,109.89,-0.21,7.62
frozen,057,0.4168,110.1,110.07,-0.03,7.695
frozen,058,0.3691,110.1,109.34,-0.76,7.686
frozen,059,0.4131,110.1,109.38,-0.72,7.704
frozen,060,0.3716,110.1,109.42,-0.68,7.681
frozen,061,0.409,110.1,109.5,-0.6,7.675
frozen,062,0.5355,110.1,109.1,-1.0,7.68
frozen,063,0.4635,110.1,109.78,-0.32,7.695
frozen,064,0.4104,110.1,109.27,-0.83,7.688
frozen,065,0.4295,110.1,109.13,-0.97,7.707
frozen,066,0.4241,110.1,109.36,-0.74,7.673
frozen,067,0.6164,110.1,109.65,-0.46,7.626
frozen,068,0.3923,110.1,109.02,-1.09,7.678
frozen,069,0.409,110.1,109.75,-0.35,7.694
frozen,070,0.3683,110.1,110.14,0.04,7.618
frozen,071,0.5115,110.1,109.51,-0.6,7.687
frozen,072,0.4208,110.1,108.77,-1.33,7.687
frozen,073,0.4642,110.1,109.19,-0.92,7.674
frozen,074,0.4343,110.1,109.68,-0.42,7.698
frozen,075,0.4483,110.1,109.25,-0.86,7.699
frozen,076,0.3957,110.1,109.08,-1.03,7.675
frozen,077,0.3743,110.1,110.11,0.0,7.676
frozen,078,0.5865,110.1,109.95,-0.16,7.646
frozen,079,0.3622,110.1,109.09,-1.01,7.701
frozen,080,0.3881,110.1,109.35,-0.75,7.649
frozen,081,0.452,110.1,109.71,-0.4,7.641
frozen,082,0.4231,110.1,108.8,-1.3,7.7
frozen,083,0.4579,110.1,109.93,-0.18,7.649
frozen,084,0.4427,110.1,109.61,-0.49,7.644
frozen,086,0.4029,110.1,109.12,-0.98,7.651
frozen,087,0.4072,110.1,108.58,-1.53,7.713
frozen,088,0.3983,110.1,109.83,-0.27,7.659
frozen,089,0.4199,110.1,109.94,-0.16,7.682
