arm,tf,cond,seed,run,n_epochs,best_epoch,val_min_epoch,val_loss_min,val_loss_final,val_rise_after_min,final_train_val_gap,gap_at_best
baseline,foxa,relaxed,1,baseline_foxa_fold0_dnarelax_s1,50,37.0,37,0.632473959738519,0.6526115575432487,0.02013759780472968,0.2655645316989313,0.20584767117501007
augmented,egr1,frozen,4,augmented_egr1_fold0_s4,50,42.0,42,0.6831946678912152,0.7178659124225867,0.03467124453137149,0.2693162836969141,0.2068208515961638
baseline,nfat,frozen,0,baseline_nfat_fold0,50,42.0,42,0.6398896508459466,0.684853208094089,0.04496355724814238,0.2867511990665945,0.20403819614652874
baseline,ets1,frozen,5,baseline_ets1_fold0_s5,50,23.0,23,0.6569542301855235,0.7159872528608442,0.059033022675320734,0.3046545741101067,0.14390856333678936
baseline,ets1,relaxed,2,baseline_ets1_fold0_dnarelax_s2,50,33.0,33,0.5925095911458055,0.6165516815276058,0.024042090381800274,0.24266998474980106,0.17049289213506758
augmented,egr1,relaxed,5,augmented_egr1_fold0_dnarelax_s5,50,49.0,49,0.6922375220873125,0.726743685123234,0.03450616303592147,0.31426974704928057,0.2760943788370706
baseline,lef1,frozen,0,baseline_lef1_fold0,50,22.0,22,0.6656011594205268,0.6964742055025342,0.03087304608200747,0.3255899980280949,0.17618731781975266
baseline,egr1,frozen,2,baseline_egr1_fold0_s2,50,47.0,47,0.6455336466416864,0.6692142857522195,0.023680639110533086,0.247766755606239,0.22184856365214817
baseline,csl,frozen,0,baseline_csl_fold0,50,25.0,25,0.6255476268727753,0.6407476723053014,0.015200045432526066,0.2339803116873574,0.12801138088645114
baseline,engrailed,frozen,1,baseline_engrailed_fold0_s1,50,49.0,49,0.6400571874507477,0.6681595624647616,0.028102375014013914,0.17225635554387492,0.14587522658122581
augmented,tbp,frozen,3,augmented_tbp_fold0_s3,50,49.0,49,0.6288475579062831,0.6886567984708005,0.05980924056451742,0.3281302993576922,0.26430670812522994
baseline,tbp,frozen,2,baseline_tbp_fold0_s2,50,32.0,32,0.611458646514245,0.6602424781366572,0.04878383162241218,0.24448315321628622,0.12452707714760225
baseline,engrailed,frozen,4,baseline_engrailed_fold0_s4,50,18.0,18,0.6407634555707362,0.6927408110507278,0.051977355479991605,0.29617012250182617,0.13313384512075233
augmented,runx,frozen,0,augmented_runx_fold0,50,42.0,42,0.6428868231243176,0.6644318689960873,0.021545045871769752,0.2636695982029329,0.22096479060063334
augmented,foxa,frozen,2,augmented_foxa_fold0_s2,50,40.0,40,0.6870539284276723,0.7204007484229771,0.033346819995304755,0.3555084636168882,0.2987042487160737
augmented,egr1,frozen,2,augmented_egr1_fold0_s2,50,32.0,32,0.675173426319026,0.6986952488688258,0.023521822549799842,0.30774684322539575,0.23316934262845523
baseline,err,frozen,0,baseline_err_fold0,50,41.0,41,0.618980847959476,0.6212395088737434,0.0022586609142672964,0.21456837157725778,0.20039522243239377
augmented,tbp,relaxed,1,augmented_tbp_fold0_dnarelax_s1,50,29.0,29,0.7411287556813473,0.7549381728025537,0.013809417121206424,0.34320219494255133,0.27455949646064787
baseline,tbp,frozen,1,baseline_tbp_fold0_s1,50,28.0,28,0.5995297034575428,0.6418198562416298,0.0422901527840871,0.2444530222033745,0.1616867265272764
baseline,lef1,relaxed,4,baseline_lef1_fold0_dnarelax_s4,50,44.0,44,0.6288963027520299,0.6463498516498215,0.017453548897791604,0.24635649066235937,0.21895810823127138
baseline,engrailed,relaxed,2,baseline_engrailed_fold0_dnarelax_s2,50,20.0,20,0.6105848223749637,0.6243188866953848,0.013734064320421124,0.23047406975690765,0.10815656505448368
baseline,tbp,relaxed,5,baseline_tbp_fold0_dnarelax_s5,50,27.0,27,0.6201554952075693,0.6387453278878082,0.01858983268023895,0.2557271714067464,0.16958568830248483
baseline,nfat,frozen,1,baseline_nfat_fold0_s1,50,31.0,31,0.6406944533146962,0.6472709586734686,0.006576505358772411,0.2340714378384337,0.17168519751535027
baseline,lef1,relaxed,1,baseline_lef1_fold0_dnarelax_s1,50,42.0,42,0.6338702360908695,0.6599320707881514,0.02606183469728196,0.2500983067410374,0.2036584552432653
augmented,runx,frozen,1,augmented_runx_fold0_s1,50,21.0,21,0.623996530192835,0.6359047695208532,0.01190823932801821,0.21490348304207207,0.08443435247876119
baseline,lef1,relaxed,3,baseline_lef1_fold0_dnarelax_s3,50,48.0,48,0.9512133961760504,0.9864485524602782,0.0352351562842278,0.14311203919710447,0.07407183388830751
baseline,csl,frozen,3,baseline_csl_fold0_s3,50,29.0,29,0.6396965131889938,0.70344524141772,0.06374872822872624,0.28864305708907095,0.10856723088983411
augmented,runx,frozen,3,augmented_runx_fold0_s3,50,20.0,20,0.6481324331183971,0.684532682284984,0.03640024916658691,0.27624199016810735,0.14455094230593712
baseline,tbp,relaxed,4,baseline_tbp_fold0_dnarelax_s4,50,48.0,48,0.6266111863330509,0.6322847271883864,0.005673540855335446,0.20769802116257374,0.19120699945389924
baseline,foxa,frozen,2,baseline_foxa_fold0_s2,50,49.0,49,0.6266660887248681,0.6276068201460793,0.000940731421211205,0.21621533241707586,0.2127705334312442
baseline,foxa,frozen,3,baseline_foxa_fold0_s3,50,45.0,45,0.6570610371137184,0.6919643010128316,0.034903263899113135,0.2791993029889653,0.2603037193937713
augmented,engrailed,relaxed,4,augmented_engrailed_fold0_dnarelax_s4,50,47.0,47,0.6647605257519682,0.7075644102752154,0.04280388452324724,0.2913152923694505,0.22865517700938365
baseline,engrailed,frozen,3,baseline_engrailed_fold0_s3,50,39.0,39,0.6670874688667141,0.7126020248665369,0.04551455599982279,0.18906531211163824,0.17794458892549492
augmented,csl,frozen,2,augmented_csl_fold0_s2,50,25.0,25,0.6735529052790393,0.6989988766194815,0.02544597134044213,0.32009575519896516,0.18318056428066354
augmented,engrailed,frozen,3,augmented_engrailed_fold0_s3,50,47.0,47,0.6107347779037329,0.6242641880482714,0.013529410144538567,0.27208034377783774,0.23671672154119866
baseline,csl,frozen,2,baseline_csl_fold0_s2,50,29.0,29,0.6478915461277938,0.6695886152075298,0.02169706907973601,0.2825778053810117,0.190503629399965
baseline,lef1,frozen,3,baseline_lef1_fold0_s3,50,43.0,43,0.6100886052297382,0.6166208584424319,0.006532253212693684,0.2353087792800378,0.20845738229521693
augmented,engrailed,relaxed,2,augmented_engrailed_fold0_dnarelax_s2,50,32.0,32,0.6650701987168745,0.7139241799846281,0.04885398126775364,0.36079139207368893,0.2675088397082939
augmented,csl,frozen,4,augmented_csl_fold0_s4,50,17.0,17,0.6260977490350766,0.6571668998241939,0.031069150789117206,0.3122767169770174,0.15652983463159287
baseline,tbp,frozen,3,baseline_tbp_fold0_s3,50,37.0,37,0.6621903279383012,0.7001588808990626,0.037968552960761404,0.2769791139931266,0.1940988020053505
baseline,egr1,relaxed,4,baseline_egr1_fold0_dnarelax_s4,50,46.0,46,0.6823233721492004,0.7150040025563389,0.03268063040713853,0.26424246305489446,0.24115204820427916
augmented,ets1,relaxed,3,augmented_ets1_fold0_dnarelax_s3,50,41.0,41,0.6570801219173628,0.6595309814289572,0.0024508595115944054,0.30354721908109317,0.28178425076645314
baseline,lef1,frozen,5,baseline_lef1_fold0_s5,50,27.0,27,0.6561334679299081,0.6941725468619353,0.03803907893202718,0.2825636746505162,0.17291158787978417
augmented,egr1,relaxed,3,augmented_egr1_fold0_dnarelax_s3,50,33.0,33,0.7149609869199595,0.7236703869747749,0.008709400054815464,0.25323739682573476,0.18639319324130754
augmented,csl,frozen,1,augmented_csl_fold0_s1,50,42.0,42,0.9053613893719614,0.9147333437050827,0.009371954333121324,0.2356688938340592,0.19543090124992235
augmented,foxa,frozen,5,augmented_foxa_fold0_s5,50,31.0,31,0.6433695066493911,0.66831857961803,0.024949072968638908,0.27959321583592045,0.2135834465962489
augmented,egr1,frozen,3,augmented_egr1_fold0_s3,50,33.0,33,0.6547349761046463,0.6552935075358661,0.0005585314312198664,0.22132344635512635,0.15441063373443675
augmented,ets1,relaxed,2,augmented_ets1_fold0_dnarelax_s2,50,26.0,26,0.6464436768022569,0.6656829997421029,0.019239322939845982,0.22070109198414506,0.1261167425725731
augmented,nfat,frozen,3,augmented_nfat_fold0_s3,50,27.0,27,0.6314804677522858,0.6520655231702549,0.020585055417969067,0.270282161975182,0.1728914313009952
augmented,foxa,frozen,0,augmented_foxa_fold0,50,41.0,41,0.6349511235223816,0.6665065137691008,0.03155539024671916,0.2928899173420695,0.2513553063656639
augmented,egr1,frozen,5,augmented_egr1_fold0_s5,50,31.0,31,0.6295835197392639,0.6492797020644763,0.01969618232521242,0.29875914262552344,0.20663698838688682
augmented,csl,frozen,0,augmented_csl_fold0,50,24.0,24,0.6236130934065834,0.6735063725391152,0.04989327913253172,0.3338358442006611,0.20406391897367254
augmented,tbp,frozen,0,augmented_tbp_fold0,50,46.0,46,0.6746922064030578,0.7368657591104736,0.06217355270741576,0.35525052778773236,0.29155306933682
baseline,runx,frozen,4,baseline_runx_fold0_s4,50,39.0,39,0.621949788987717,0.670730011520579,0.04878022253286196,0.2620974688930077,0.1757951338915517
baseline,ets1,frozen,2,baseline_ets1_fold0_s2,50,33.0,33,0.6405389877955446,0.6751362923423406,0.03459730454679599,0.2704840154389336,0.1754442930165374
baseline,ets1,frozen,1,baseline_ets1_fold0_s1,50,37.0,37,0.6483828496872283,0.6708110745460809,0.022428224858852652,0.2892116863860743,0.22831928832609222
augmented,lef1,frozen,0,augmented_lef1_fold0,50,43.0,43,0.6336288244075061,0.6452334561874026,0.011604631779896457,0.21152371156666833,0.18399908927459935
augmented,lef1,frozen,4,augmented_lef1_fold0_s4,50,42.0,42,0.6309632867528421,0.6537068058242002,0.022743519071358076,0.15877384340286843,0.12773958960525833
augmented,engrailed,frozen,0,augmented_engrailed_fold0,50,48.0,48,0.7668499939968495,0.810562718378891,0.043712724382041546,0.26961164076030286,0.22089515743692667
baseline,err,frozen,4,baseline_err_fold0_s4,50,50.0,50,0.6080184250734376,0.6080184250734376,0.0,0.20953095229281676,0.20953095229281676
baseline,tbp,relaxed,1,baseline_tbp_fold0_dnarelax_s1,50,21.0,21,0.6269926814552015,0.6469320166069832,0.0199393351517817,0.214642318865172,0.10245480515390215
baseline,runx,frozen,2,baseline_runx_fold0_s2,50,25.0,25,0.6149064671166893,0.6265439169815948,0.011637449864905558,0.2374631220972166,0.16569665103709735
baseline,lef1,relaxed,5,baseline_lef1_fold0_dnarelax_s5,50,29.0,29,0.6268403999127058,0.6381362906949429,0.011295890782237139,0.26097278463254453,0.19012240115444462
augmented,ets1,frozen,5,augmented_ets1_fold0_s5,50,39.0,39,0.6634970802720129,0.6814247281940519,0.017927647922038936,0.31562118395309785,0.27286881447674566
baseline,foxa,relaxed,2,baseline_foxa_fold0_dnarelax_s2,50,43.0,43,0.6511603744290296,0.6713646040591541,0.02020422963012447,0.2521203640979652,0.22753698524159732
baseline,tbp,frozen,0,baseline_tbp_fold0,50,45.0,45,0.6307751018688648,0.6701705238360876,0.03939542196722279,0.27243440868759433,0.22774692174736527
augmented,err,frozen,5,augmented_err_fold0_s5,50,24.0,24,0.6676626195327594,0.7095282355529272,0.041865616020167806,0.3021141089756986,0.17198552143194135
baseline,engrailed,relaxed,5,baseline_engrailed_fold0_dnarelax_s5,50,33.0,33,0.6490772410097656,0.6609522434442172,0.01187500243445161,0.2603852730727407,0.1970324404052567
augmented,engrailed,relaxed,5,augmented_engrailed_fold0_dnarelax_s5,50,41.0,41,0.6560888271357923,0.6664320704405422,0.010343243304749894,0.29600127662640024,0.25442392764555927
baseline,tbp,frozen,4,baseline_tbp_fold0_s4,50,25.0,25,0.6278942798518334,0.6609834181032411,0.03308913825140769,0.22082134485632932,0.12126485734008796
augmented,tbp,relaxed,3,augmented_tbp_fold0_dnarelax_s3,50,17.0,17,0.6785687842363631,0.6881075137106937,0.009538729474330543,0.3393204877427592,0.21969097249119768
augmented,egr1,frozen,1,augmented_egr1_fold0_s1,50,35.0,35,0.6889006916271052,0.7017677897804644,0.01286709815335918,0.31288716484433177,0.2588285376224159
baseline,runx,frozen,5,baseline_runx_fold0_s5,50,44.0,44,0.6315956190433861,0.6570679257479395,0.02547230670455336,0.23982448864905637,0.19162088080776912
baseline,engrailed,frozen,2,baseline_engrailed_fold0_s2,50,37.0,37,0.6546388005808192,0.6782823853785597,0.023643584797740425,0.24559062166103057,0.19059259698205278
augmented,foxa,relaxed,2,augmented_foxa_fold0_dnarelax_s2,50,29.0,29,0.6392655528789744,0.6580310414334392,0.018765488554464804,0.2474151657507061,0.18003012602098944
baseline,ets1,relaxed,1,baseline_ets1_fold0_dnarelax_s1,50,44.0,44,0.6298118791529196,0.6468222775890445,0.01701039843612495,0.2218318955153073,0.19109165416920176
augmented,foxa,frozen,1,augmented_foxa_fold0_s1,50,43.0,43,0.6353800875068343,0.6368113964857829,0.0014313089789486089,0.2568951101462237,0.2499747631419244
augmented,engrailed,frozen,2,augmented_engrailed_fold0_s2,50,25.0,25,0.6354426239490615,0.6566612149262254,0.021218590977163942,0.30004931263119594,0.23318121021037014
baseline,egr1,relaxed,2,baseline_egr1_fold0_dnarelax_s2,50,30.0,30,0.6094729619515656,0.6539723685622463,0.044499406610680636,0.26979070775801367,0.16377775829508778
