family,dna,n_seeds,n_pilots,n_entries_median,dP_mean,dP_lo,dP_hi,dP_p,dMAE_mean,dP_q
IRF,frozen,6,12,4,0.01031720612221155,-0.018810666053095768,0.03944507829751887,0.4043102960220684,-0.009187702714192746,0.5287134640288588
ETS,frozen,6,12,10,0.0075120742097240815,-0.013416026995629937,0.028440175415078102,0.3985017149621272,0.002355390576401139,0.5645440961963469
CSL/RBPJ,frozen,6,12,5,0.005988288115319581,-0.013603064111862209,0.02557964034250137,0.4676118869458965,0.009990713959089428,0.5678144341485886
Runt,frozen,6,12,5,-0.00035513151740287674,-0.02965447856238819,0.02894421552758244,0.976349395139427,-0.0026243446902795265,0.976349395139427
Forkhead,frozen,6,12,5,-0.0030631586529003643,-0.03766234363868774,0.03153602633288702,0.8289856366439425,0.012334885240504233,0.8807972389341889
HSF,frozen,6,12,3,-0.006279483759921999,-0.017587337782323874,0.005028370262479874,0.21279144074094203,0.012355481211083505,0.32885949932691044
Rel/NF-κB (RHD),frozen,6,12,15,-0.010608964244511118,-0.048795645220393966,0.02757771673137173,0.5070746330286449,0.015956984386098914,0.5746845840991308
MADS-box,frozen,6,12,12,-0.015496584526939331,-0.03302142636064304,0.002028257306764378,0.07216076138381479,0.029881287493777487,0.3066832358812129
C2H2 zinc finger,frozen,6,12,24,-0.015505845578669068,-0.026907392273106304,-0.004104298884231833,0.01735980915621788,0.015986580618026883,0.29511675565570394
Nuclear receptor (Zn),frozen,6,12,10,-0.016501344436589908,-0.03336916229863984,0.0003664734254600274,0.05351769608711612,0.021218469823249663,0.45490041674048703
p53-like,frozen,6,12,5,-0.019101291545296033,-0.04971047988491338,0.01150789679432131,0.16958824581949897,0.025272210889091384,0.28830001789314824
TBP / β-saddle,frozen,6,12,6,-0.019463362510555606,-0.04822337275738506,0.009296647736273842,0.14241037875293386,0.027401817519129918,0.30262205484998445
Homeodomain,frozen,6,12,11,-0.019759106138421918,-0.05036385063375931,0.010845638356915474,0.1578845986440091,0.02778506065018413,0.29822646410535053
bZIP,frozen,6,12,8,-0.028364618680706822,-0.05933195598433634,0.002602718622922693,0.06519214554328746,0.025846593983170355,0.369422158078629
bHLH,frozen,6,12,4,-0.03484501653259557,-0.07666329017781187,0.006973257112620722,0.0851088753200783,0.06645184304339416,0.24114181340688853
Zn2Cys6 cluster,frozen,6,12,2,-0.0349393994535768,-0.0766763808416446,0.006797581934491002,0.08404093054518094,0.03098458447916942,0.2857391638536152
Homeodomain (POU),frozen,6,12,1,-0.053150260400265444,-0.12794329978185112,0.021642778981320242,0.1273011808302491,0.07491352013641538,0.30916001058774784
TBP / β-saddle,relax,5,12,6,0.02453701857572445,0.012293099845906789,0.03678093730554211,0.005109883987779807,-0.012102010910107625,0.08686802779225672
CSL/RBPJ,relax,5,12,5,0.010672101966335248,-0.025263949808108258,0.04660815374077876,0.45596478894431824,-0.009239300593282236,1.0
Forkhead,relax,5,12,5,0.00913052640422819,-0.029802329511401084,0.04806338231985747,0.5504751327964938,0.000948917667071025,1.0
ETS,relax,5,12,10,0.007024538708208036,-0.04190046754667499,0.05594954496309106,0.7105253344957307,-0.002892261775154057,0.929148514340571
Runt,relax,5,12,5,0.002452584661644063,-0.0310325141187526,0.03593768344204072,0.8487813308985335,0.0041353744629657714,0.8487813308985335
HSF,relax,5,12,3,0.00214510752316772,-0.009974732349488494,0.014264947395823933,0.6488823520791398,-0.009783705715278177,1.0
Nuclear receptor (Zn),relax,5,12,10,-0.003564727547914945,-0.027775584469748364,0.020646129373918472,0.7036299918651805,0.005858089853868344,0.9968091551423391
bZIP,relax,5,12,8,-0.003602996699182437,-0.03345682664121559,0.026250833242850716,0.7543979154483373,0.016010202281177045,0.8549843041747823
IRF,relax,5,12,4,-0.003812218615350047,-0.030800437812728836,0.02317600058202874,0.7149199809557591,-0.009362462106527705,0.8681171197319932
MADS-box,relax,5,12,12,-0.00507474544860284,-0.02241381544997867,0.012264324552772987,0.4620412602333232,0.003997260847627507,0.9818376779958118
C2H2 zinc finger,relax,5,12,24,-0.006762480991529024,-0.02099407404178067,0.007469112058722621,0.25752139930682416,0.016635826884797127,0.7296439647026686
Zn2Cys6 cluster,relax,5,12,2,-0.006901753305965849,-0.07928504128889666,0.06548153467696496,0.804295939550438,-0.0007430451160127499,0.8545644357723403
Homeodomain (POU),relax,5,12,1,-0.014387075469152698,-0.08427699860135075,0.05550284766304535,0.5982161208698095,0.033016822374228275,1.0
Homeodomain,relax,5,12,11,-0.014405283720767922,-0.033422878669699965,0.004612311228164117,0.10329385932395654,0.014915279126610639,0.8779978042536306
Rel/NF-κB (RHD),relax,5,12,15,-0.01531769006062116,-0.0431938138010947,0.01255843367985238,0.20179655698152543,0.02164948950361724,0.6861082937371865
p53-like,relax,5,12,5,-0.015703759536543606,-0.041226674417188094,0.009819155344100886,0.16276575831163925,0.023628122364029742,0.9223392970992891
bHLH,relax,5,12,4,-0.023969173152799606,-0.0646367825129394,0.016698436207340187,0.1770936206379788,0.029318816959857934,0.7526478877114099
