pilot,config: base pilot files,stage7: standard eval JSON,stage7: dnarelax eval JSON,reachability.csv (protein axis),perseed_summary frozen,perseed_summary relaxed,perseed_perentry: has own-family entries,pycurves: crystal DNA geometry,pycurves: frozen ensemble,mgw_fl_summary (whole molecule),iface_mgwfl (interface restricted),mechanism_table: all rows,mechanism_table: has dPearson,own-family effect (frozen)
csl,True,True,True,True,True,False,True,True,True,True,True,True,True,True
dux4,True,False,False,True,False,False,False,True,True,True,False,True,False,False
egr1,True,True,True,True,True,False,True,True,True,True,True,True,True,True
engrailed,True,True,True,True,True,False,True,True,True,True,True,True,True,True
err,True,True,True,True,True,False,True,True,True,True,True,True,True,True
ets1,True,True,True,True,True,False,True,True,True,True,True,True,True,True
foxa,True,True,True,True,True,False,True,True,True,True,True,True,True,True
hsf,True,True,True,True,True,False,True,True,True,True,True,True,True,True
irf,True,True,True,True,True,False,True,True,True,False,True,True,True,True
lef1,True,True,True,True,True,False,False,True,True,True,True,True,True,False
nfat,True,True,True,True,True,False,True,True,True,True,True,True,True,True
runx,True,True,True,True,True,False,True,True,True,True,True,True,True,True
tbp,True,True,True,True,True,False,True,True,True,True,True,True,True,True
