tf,dna,n_seeds,n_entries,own_dP,own_lo,own_hi,own_p,own_n_neg,other_dP,contrast,contrast_lo,contrast_hi,contrast_p,own_q,contrast_q
csl,frozen,6,5,0.10275906678175771,-0.009554903669768411,0.21507303723328383,0.06540603931950831,2,-0.04264358555504336,0.14540265233680108,0.0568629850587971,0.23394231961480505,0.008315889289108,0.3597332162572957,0.091474782180188
csl,relax,5,5,0.15801965612676214,0.0858987542875593,0.23014055796596497,0.0036910024981112234,0,-0.005675846716660238,0.16369550284342238,0.10469092309233288,0.22270008259451188,0.0015286279410365428,0.04060102747922346,0.01681490735140197
egr1,frozen,6,24,-0.0025293934583481836,-0.05790777565481846,0.05284898873812209,0.9111052020727308,4,-0.03254820821624129,0.030018814757893104,-0.0005439734934602689,0.060581603009246476,0.0528622560635571,1.0,0.1938282722330427
egr1,relax,5,24,0.021861659130657674,-0.028117045701438668,0.07184036396275402,0.2913596744673514,1,-0.03376391709713711,0.05562557622779478,0.01447968819999191,0.09677146425559766,0.019886495944242116,0.640991283828173,0.07291715179555443
engrailed,frozen,6,11,-0.015237467017145687,-0.10177911002831738,0.071304175994026,0.6697948376875495,3,-0.0030879695690914457,-0.012149497448054242,-0.05607254177426951,0.03177354687816103,0.5088408894830261,0.9209679018203807,0.6219166427014763
engrailed,relax,5,11,0.013495302034611379,-0.10682291587453215,0.1338135199437549,0.771040143386599,3,0.0072510999149626885,0.006244202119648689,-0.07454609885811833,0.0870345030974157,0.8405840266656435,0.9423823974725098,0.9246424293322079
err,frozen,6,10,-0.0025314455682817947,-0.06720135329260649,0.0621384621560429,0.9237599035776543,3,-0.02541133513800194,0.022879889569720147,-0.026074166803739418,0.07183394594317971,0.28338512307491515,0.9237599035776541,0.4453194791177238
err,relax,4,10,0.03591953967747477,-0.17743648352504945,0.249275562879999,0.6292861890067469,2,-0.008337710180118002,0.04425724985759277,-0.09131216846162718,0.17982666817681273,0.37521842786620785,0.8652685098842771,0.6879004510880478
ets1,frozen,6,10,0.11085633745430845,0.03521514774771631,0.1864975271609006,0.013058711290877987,0,-0.00802695080204848,0.11888328825635693,0.04205402486365231,0.19571255164906154,0.010555494638492095,0.14364582419965785,0.05805522051170652
ets1,relax,5,10,0.11035398735727939,0.031994749278013865,0.1887132254365449,0.017392489493520184,0,-0.028230323899111176,0.13858431125639056,0.08455932386858452,0.19260929864419662,0.0020544236399631754,0.095658692214361,0.011299330019797466
foxa,frozen,6,5,-0.005552563743069561,-0.0934916058439202,0.08238647835778108,0.877417837763183,3,-0.0016324931979140311,-0.0039200705451555296,-0.07915135860237198,0.07131121751206092,0.8986704264366957,1.0,0.8986704264366957
foxa,relax,5,5,0.03009547683478069,-0.07054944097180187,0.13074039464136325,0.45308674541556443,2,-0.03903600897773711,0.0691314858125178,-0.03181430027563982,0.1700772719006754,0.13002655247309958,0.7119934570816013,0.28605841544081906
hsf,frozen,5,3,0.03662900763059342,-0.05528736738847636,0.1285453826496632,0.3306038914682202,2,0.0022630211452100866,0.03436598648538334,-0.07498803446561025,0.14372000743637692,0.43216297865854036,0.9091607015376056,0.594224095655493
hsf,relax,5,3,0.050842789433081605,-0.04836080695954447,0.15004638582570767,0.2278328517952154,1,0.019951278417765828,0.030891511015315776,-0.07970797157427259,0.14149099360490414,0.481346166686493,0.6265403424368423,0.5883119815057136
irf,frozen,5,4,0.03319295707042327,-0.08266093516807718,0.14904684930892373,0.47087544787790897,2,-0.014524077894877752,0.04771703496530102,-0.056839971076893474,0.1522740410074955,0.27387100121917535,1.0,0.5020968355684882
irf,relax,5,4,-0.05247233460162533,-0.19888691613969367,0.09394224693644303,0.37604103286294116,3,-0.009859918649320055,-0.04261241595230527,-0.17516505726712253,0.08994022536251198,0.4225373357493846,0.6894085602487254,0.5809888366554039
nfat,frozen,5,15,0.015104074315557802,-0.041507093634723685,0.0717152422658393,0.4999624727834653,2,-0.03320462545069691,0.048308699766254716,-0.05320481270606025,0.14982221223856967,0.2569223913262066,0.9165978667696862,0.5652292609176545
nfat,relax,5,15,-0.003817140692833609,-0.09654313207217746,0.08890885068651025,0.9145115313505947,3,0.00034890735040671306,-0.004166048043240322,-0.08531000807453525,0.0769779119880546,0.8935401503604397,0.9145115313505947,0.8935401503604397
runx,frozen,6,5,0.08406587740701744,-0.04748008423571108,0.21561183904974596,0.16135496056218893,2,-0.0029707420397516726,0.08703661944676912,-0.0436554034562316,0.21772864234976985,0.14759064181038767,0.5916348553946927,0.4058742649785661
runx,relax,5,5,0.09421143564337395,0.02011440269307553,0.16830846859367238,0.02422751456687687,1,0.012959241955419688,0.08125219368795426,0.01488389689924173,0.1476204904766668,0.027300037364360357,0.08883422007854852,0.07507510275199099
tbp,frozen,6,6,-0.030912220067060663,-0.14378498416491864,0.0819605440307973,0.5128585115594894,3,-0.014461312271127347,-0.016450907795933317,-0.113451949042613,0.08055013345074637,0.6810470225330539,0.805920518164912,0.7491517247863594
tbp,relax,5,6,0.007879471810730076,-0.13840682072859473,0.15416576435005486,0.8883580433744283,2,-0.0415125586276611,0.049392030438391174,-0.10108886149382722,0.19987292237060955,0.41368581832805956,0.9771938477118711,0.6500777145155221
