tf,dna,selffam,n_seeds,n_entries,dP_mean,dP_lo,dP_hi,dP_p,dMAE_mean,n_neg_seeds
csl,frozen,False,6,125,-0.04264358555504336,-0.12598510690742332,0.0406979357973366,0.2454953586974959,0.050449879964192736,4
csl,frozen,True,6,5,0.10275906678175771,-0.009554903669768411,0.21507303723328383,0.06540603931950831,-0.08814591368039452,2
csl,relax,False,5,125,-0.005675846716660238,-0.053186448332479735,0.04183475489915926,0.7567761038901527,0.006246425700187697,3
csl,relax,True,5,5,0.15801965612676214,0.0858987542875593,0.23014055796596497,0.0036910024981112234,-0.17570353031158453,0
egr1,frozen,False,6,106,-0.03254820821624129,-0.06794068134708083,0.0028442649145982435,0.06443034741849497,0.050432876502193004,5
egr1,frozen,True,6,24,-0.0025293934583481836,-0.05790777565481846,0.05284898873812209,0.9111052020727308,0.016863556785715956,4
egr1,relax,False,5,106,-0.03376391709713711,-0.05639995288602355,-0.01112788130825067,0.014360806338020969,0.04669152692241487,5
egr1,relax,True,5,24,0.021861659130657674,-0.028117045701438668,0.07184036396275402,0.2913596744673514,0.01679231971502302,1
engrailed,frozen,False,6,119,-0.0030879695690914457,-0.06245687416053213,0.056280935022349245,0.8988512836420166,0.02054366207465071,2
engrailed,frozen,True,6,11,-0.015237467017145687,-0.10177911002831738,0.071304175994026,0.6697948376875495,0.02091694058793962,3
engrailed,relax,False,5,119,0.0072510999149626885,-0.055685235656349516,0.07018743548627489,0.7650682362340039,0.006298830003297629,2
engrailed,relax,True,5,11,0.013495302034611379,-0.10682291587453215,0.1338135199437549,0.771040143386599,-0.03267787125977602,3
err,frozen,False,6,120,-0.02541133513800194,-0.04964654436152259,-0.001176125914481286,0.043023481326244804,0.028668188986678906,5
err,frozen,True,6,10,-0.0025314455682817947,-0.06720135329260649,0.0621384621560429,0.9237599035776543,-0.0029785161217053915,3
err,relax,False,4,120,-0.008337710180118002,-0.08623367867185164,0.06955825831161563,0.7558353426291738,0.010574247594922787,2
err,relax,True,4,10,0.03591953967747477,-0.17743648352504945,0.249275562879999,0.6292861890067469,-0.045784850791096676,2
ets1,frozen,False,6,120,-0.00802695080204848,-0.03549470303875767,0.019440801434660718,0.48635971616578605,0.022868342180218954,3
ets1,frozen,True,6,10,0.11085633745430845,0.03521514774771631,0.1864975271609006,0.013058711290877987,-0.1265885944167773,0
ets1,relax,False,5,120,-0.028230323899111176,-0.07178547107670014,0.01532482327847779,0.14631388332096174,0.045715561136603335,4
ets1,relax,True,5,10,0.11035398735727939,0.031994749278013865,0.1887132254365449,0.017392489493520184,-0.12129283845424652,0
foxa,frozen,False,6,125,-0.0016324931979140311,-0.031145526302706915,0.027880539906878853,0.8924818791603835,0.012155123849709812,3
foxa,frozen,True,6,5,-0.005552563743069561,-0.0934916058439202,0.08238647835778108,0.877417837763183,0.07890802323818207,3
foxa,relax,False,5,125,-0.03903600897773711,-0.04792752645153919,-0.030144491503935028,0.0002600143049527806,0.0420691386222839,5
foxa,relax,True,5,5,0.03009547683478069,-0.07054944097180187,0.13074039464136325,0.45308674541556443,-0.011081566810607912,2
hsf,frozen,False,5,127,0.0022630211452100866,-0.029226743744982703,0.033752786035402875,0.8515808458397851,-0.010557407938589303,2
