variant,pilot,point,label,n,clash_q25,clash_med,clash_q75,pe_med,md_med
frozen,foxa,0,init,90,45.0,77.0,176.5,,0.54
frozen,foxa,1,H-min,90,45.0,77.0,176.5,,0.54
frozen,foxa,2,s0.05,96,47.5,80.5,184.5,-10850.0,0.515
frozen,foxa,3,s0.1,90,46.75,78.5,181.75,3100.0,0.565
frozen,foxa,4,s0.2,85,50,82,182,255000.0,0.6
frozen,foxa,5,s0.4,81,25,43,87,-33900.0,1.55
frozen,foxa,6,s0.7,81,0,0,12,-35100.0,2.54
frozen,foxa,7,s1.0,81,0,0,10,-35600.0,2.56
frozen,foxa,14,final,1,0,0,0,-35800.0,2.69
frozen,foxa,35,final,1,12,12,12,-27000.0,2.27
frozen,egr1,0,init,98,26.25,44.5,59.0,,0.705
frozen,egr1,1,H-min,98,26.25,44.5,59.0,,0.705
frozen,egr1,2,s0.05,100,29.5,45.5,62.0,-26800.0,0.74
frozen,egr1,3,s0.1,97,30,45,61,-23700.0,0.76
frozen,egr1,4,s0.2,92,24.0,43.5,57.0,-20750.0,0.935
frozen,egr1,5,s0.4,88,18.5,24.0,39.0,-38550.0,1.54
frozen,egr1,6,s0.7,88,0.0,0.0,0.0,-39300.0,2.585
frozen,egr1,7,s1.0,87,0.0,0,0.0,-39400.0,2.59
frozen,egr1,11,final,1,0,0,0,-39200.0,2.68
frozen,egr1,14,final,1,0,0,0,-38400.0,2.61
frozen,tbp,0,init,94,20.0,25.0,35.75,,0.84
frozen,tbp,1,H-min,94,20.0,25.0,35.75,,0.84
frozen,tbp,2,s0.05,103,19.5,26,38.5,-22200.0,0.83
frozen,tbp,3,s0.1,99,19.5,26,37.0,-21300.0,0.87
frozen,tbp,4,s0.2,98,17.0,25.0,35.75,-18350.0,0.93
frozen,tbp,5,s0.4,96,11.0,14.5,19.25,-42950.0,1.55
frozen,tbp,6,s0.7,94,0.0,0.0,0.0,-46000.0,2.58
frozen,tbp,7,s1.0,94,0.0,0.0,0.0,-46100.0,2.58
frozen,tbp,55,final,1,0,0,0,-46400.0,2.58
frozen,lef1,0,init,87,136.5,216,288.5,,0.35
frozen,lef1,1,H-min,87,136.5,216,288.5,,0.35
frozen,lef1,2,s0.05,100,139.25,219.5,286.0,-17250.0,0.305
frozen,lef1,3,s0.1,98,136.75,211.5,283.25,151500.0,0.355
frozen,lef1,4,s0.2,89,132,211,285,1280000.0,0.55
frozen,lef1,5,s0.4,84,64.0,106.0,156.0,-37900.0,1.59
frozen,lef1,6,s0.7,83,0.0,10,21.0,-37000.0,2.27
frozen,lef1,7,s1.0,83,0.0,6,12.0,-35000.0,2.29
frozen,lef1,68,final,1,0,0,0,-41800.0,2.59
frozen,ets1,0,init,98,45.0,49.0,58.0,,0.675
frozen,ets1,1,H-min,98,45.0,49.0,58.0,,0.675
frozen,ets1,2,s0.05,114,45.0,49.0,58.0,-23650.0,0.685
frozen,ets1,3,s0.1,112,45.0,49.0,58.0,-21800.0,0.72
frozen,ets1,4,s0.2,109,44,48,57,-4610.0,0.78
frozen,ets1,5,s0.4,101,25,31,38,-41100.0,1.55
frozen,ets1,6,s0.7,100,0.0,0.0,0.0,-42700.0,2.55
frozen,ets1,7,s1.0,100,0.0,0.0,0.0,-42900.0,2.56
frozen,ets1,8,final,1,0,0,0,-43100.0,2.61
frozen,ets1,95,final,1,0,0,0,-42700.0,2.58
frozen,engrailed,0,init,93,13,24,40,,0.78
frozen,engrailed,1,H-min,93,13,24,40,,0.78
frozen,engrailed,2,s0.05,106,15.0,27.0,41.75,-35750.0,0.71
frozen,engrailed,3,s0.1,103,16.5,28,41.0,-38900.0,0.77
frozen,engrailed,4,s0.2,97,14,25,39,53000.0,0.95
frozen,engrailed,5,s0.4,95,10.0,15,23.5,-46800.0,1.79
frozen,engrailed,6,s0.7,95,0.0,0,0.0,-47000.0,2.7
frozen,engrailed,7,s1.0,95,0.0,0,0.0,-47100.0,2.71
frozen,engrailed,82,final,1,0,0,0,-46900.0,2.77
frozen,dux4,0,init,92,404.5,473.0,514.0,,0.3
frozen,dux4,1,H-min,92,404.5,473.0,514.0,,0.3
frozen,dux4,2,s0.05,114,411.25,473.5,513.75,-12250.0,0.225
frozen,dux4,3,s0.1,110,410.25,467.5,515.25,211500.0,0.33
frozen,dux4,4,s0.2,100,394.5,453.0,500.75,915000.0,0.46
frozen,dux4,5,s0.4,94,169.0,222.0,317.75,-55200.0,1.6
frozen,dux4,6,s0.7,92,12.0,23.0,49.0,-46350.0,2.16
frozen,dux4,7,s1.0,92,11.0,22.0,34.0,-43000.0,2.19
frozen,dux4,37,final,1,34,34,34,-32200.0,2.07
frozen,dux4,91,final,1,31,31,31,-27800.0,2.06
dnarelax,tbp,0,init,97,19,25,36,,0.84
dnarelax,tbp,1,H-min,97,19,25,36,,0.84
dnarelax,tbp,2,s0.05,98,19.0,26.0,38.75,-23300.0,0.85
dnarelax,tbp,3,s0.1,98,19.25,25.5,38.75,-21450.0,0.89
dnarelax,tbp,4,s0.2,97,17,25,35,-19700.0,0.94
dnarelax,tbp,5,s0.4,96,10.0,13.0,21.0,-43000.0,1.55
dnarelax,tbp,6,s0.7,96,0.0,0.0,0.0,-46200.0,2.58
dnarelax,tbp,7,s1.0,96,0.0,0.0,0.0,-46400.0,2.59
dnarelax,tbp,8,final,9,0,0,0,-46400.0,2.58
dnarelax,tbp,14,final,1,0,0,0,-46000.0,2.67
frozen,runx,0,init,97,29,46,85,,0.61
frozen,runx,1,H-min,97,29,46,85,,0.61
frozen,runx,2,s0.05,107,28.5,47,82.5,-27500.0,0.55
frozen,runx,3,s0.1,107,27.0,46,82.0,-26400.0,0.69
frozen,runx,4,s0.2,99,26.5,46,76.5,2710.0,0.75
frozen,runx,5,s0.4,98,16.0,26.0,40.75,-45650.0,1.645
frozen,runx,6,s0.7,97,0,0,10,-46800.0,2.62
frozen,runx,7,s1.0,97,0,0,0,-47000.0,2.68
frozen,runx,68,final,1,0,0,0,-47300.0,2.73
frozen,err,0,init,91,106.5,143,178.0,,0.44
frozen,err,1,H-min,91,106.5,143,178.0,,0.44
frozen,err,2,s0.05,102,109.0,145.0,182.5,-17800.0,0.325
frozen,err,3,s0.1,98,111.0,147.0,187.0,-9710.0,0.425
frozen,err,4,s0.2,92,102.75,141.5,177.25,660500.0,0.645
frozen,err,5,s0.4,90,53.0,68.5,100.0,-36350.0,1.67
frozen,err,6,s0.7,90,0.0,10.0,18.0,-35150.0,2.24
frozen,err,7,s1.0,90,0.0,5.0,11.75,-31250.0,2.35
frozen,err,67,final,1,0,0,0,-35800.0,2.51
frozen,nfat,0,init,85,129,154,187,,0.42
frozen,nfat,1,H-min,85,129,154,187,,0.42
frozen,nfat,2,s0.05,94,129.0,154.0,185.75,-5825.0,0.405
frozen,nfat,3,s0.1,91,128.5,152,185.5,92400.0,0.44
frozen,nfat,4,s0.2,87,125.5,149,184.0,1060000.0,0.48
frozen,nfat,5,s0.4,86,53.0,72.0,109.75,-43650.0,1.58
frozen,nfat,6,s0.7,86,0.0,4.0,12.0,-44800.0,2.405
frozen,nfat,7,s1.0,86,0.0,0.0,12.0,-45600.0,2.535
frozen,nfat,55,final,1,20,20,20,-28100.0,2.09
frozen,csl,0,init,84,40.5,55.5,72.25,,0.565
frozen,csl,1,H-min,84,40.5,55.5,72.25,,0.565
frozen,csl,2,s0.05,90,39.5,56.5,72.75,-19950.0,0.59
frozen,csl,3,s0.1,89,39,56,70,-19900.0,0.6
frozen,csl,4,s0.2,87,39.0,55,70.5,-3160.0,0.65
frozen,csl,5,s0.4,84,23.75,34.0,58.5,-70300.0,1.38
frozen,csl,6,s0.7,84,0.0,10.5,26.0,-80400.0,2.275
frozen,csl,7,s1.0,84,0.0,0.0,0.0,-83000.0,2.6
frozen,csl,8,final,32,0.0,0.0,0.0,-83000.0,2.59
frozen,csl,41,final,1,0,0,0,-83600.0,2.59
dnarelax,dux4,0,init,93,405,474,514,,0.3
