TF,bend_IQR_deg,MGW_FL_frozen_A,crystal_bend_deg,induced_fit_index,ownfam_dPearson_frozen,ownfam_dPearson_relaxed,mechanism_regime,augmentation_outcome_relaxed
RUNX,1.29,0.669,8.0,-0.286,0.084,0.094,conformational-selection (low bend-IQR),helped
CSL,2.4,0.782,23.0,-0.361,0.103,0.158,conformational-selection (low bend-IQR),helped
engrailed,2.44,0.286,8.1,-0.324,-0.015,0.013,conformational-selection (low bend-IQR),neutral
ETS1,2.91,0.197,19.2,-0.056,0.111,0.11,conformational-selection (low bend-IQR),helped
HSF,3.49,0.213,1.4,-0.595,0.037,0.051,conformational-selection (low bend-IQR),helped
FOXA,4.07,1.138,15.8,-0.4,-0.006,0.03,induced-fit-leaning (high bend-IQR),neutral
EGR1,5.25,0.293,3.9,0.079,-0.003,0.022,induced-fit-leaning (high bend-IQR),neutral
ERR,7.93,1.487,2.1,-0.5,-0.003,0.036,induced-fit-leaning (high bend-IQR),helped
IRF,8.54,,16.9,-0.379,0.033,-0.052,induced-fit-leaning (high bend-IQR),hurt
NFAT,9.95,1.301,10.9,-0.615,0.015,-0.004,induced-fit-leaning (high bend-IQR),hurt
TBP,11.78,0.212,79.7,2.618,-0.031,0.008,induced-fit-leaning (high bend-IQR),neutral
