tf,d_min,spread,rmsf_mean,cry_bend_uu,cry_minor_w,cry_shortening,bend_dev,groove_dev,induced_fit_index,conf_selection_index,mgwfl_froz,mgwfl_relax,iface_mgwfl_froz,iface_mgwfl_relax,froz_bend_iqr,froz_dP_mean,selffam_dP_mean,selffam_dP_lo,selffam_dP_hi,selffam_dP_p,selffam_n_seeds,selffam_n_entries,selffam_n_neg_seeds
csl,1.5836,2.7922,1.8207,23.0019,5.9794,1.4122,23.0019,0.2793999999999998,-0.3613153611610054,0.3128433341865526,0.782,1.0288,0.6033333333333332,0.596,2.402350000000002,-0.0498383248390749,0.10275906678175771,-0.009554903669768411,0.21507303723328383,0.06540603931950831,6,5,2
egr1,0.797,2.8895,2.6307,3.8727,8.4822,1.1434,3.8727,2.7822000000000005,0.0787626789190795,0.6085719030673439,0.2933,0.7171,0.29325,0.7171428571428572,5.245999999999999,-0.0167795350628523,-0.0025293934583481836,-0.05790777565481846,0.05284898873812209,0.9111052020727308,6,24,4
engrailed,0.6896,2.8123,1.567,8.1173,7.006,1.1733,8.1173,1.306,-0.3235872108746181,0.6489497930975969,0.2858,0.4226,0.5458000000000001,0.6214000000000001,2.4436,0.0160273167923587,-0.015237467017145687,-0.10177911002831738,0.071304175994026,0.6697948376875495,6,11,3
err,2.0775,5.6539,3.7285,2.1118,4.5581,0.3675,2.1118,1.1419000000000006,-0.4997197777788834,0.1271576741684711,1.4874,1.5254,1.357,1.4224285714285716,7.927475,-0.0231652550389185,-0.0025314455682817947,-0.06720135329260649,0.0621384621560429,0.9237599035776543,6,10,3
ets1,0.8694,1.7115,1.0521,19.2163,7.1339,1.6474,19.2163,1.4338999999999995,-0.0561011041066434,0.5813525433076576,0.1968,0.4041,0.1907142857142857,0.3477142857142857,2.911625000000001,-0.0023718781795771,0.11085633745430845,0.03521514774771631,0.1864975271609006,0.013058711290877987,6,10,0
foxa,1.785,5.9115,3.6301,15.7659,6.3057,2.073,15.7659,0.6056999999999997,-0.4001425377259581,0.237125391429635,1.1376,1.3454,1.1395,1.43975,4.065799999999999,-0.0040700942748855,-0.005552563743069561,-0.0934916058439202,0.08238647835778108,0.877417837763183,6,5,3
hsf,1.1174,1.9776,1.1353,1.4134,6.5976,0.8086,1.4134,0.8975999999999997,-0.5947246709477351,0.4881149573904998,0.2133,0.5969,0.1535,0.641,3.4895,0.0030560823717958,0.03662900763059342,-0.05528736738847636,0.1285453826496632,0.3306038914682202,5,3,2
irf,4.1289,3.0418,1.9423,16.8575,6.3015,2.5861,16.8575,0.6014999999999997,-0.3793870024379382,-0.6440825828898245,,,,,8.54325,-0.0130558614344069,0.03319295707042327,-0.08266093516807718,0.14904684930892373,0.47087544787790897,5,4,2
nfat,3.6938,4.4299,2.393,10.9202,5.4468,0.612,10.9202,0.2532000000000005,-0.6150859614107699,-0.480503253726295,1.3008,1.4285,1.3008333333333333,1.3763999999999998,9.9513,-0.0382996485656534,0.015104074315557802,-0.041507093634723685,0.0717152422658393,0.4999624727834653,5,15,2
runx,1.192,3.1278,1.5054,7.9806,7.1287,1.0208,7.9806,1.4287,-0.2857602211972719,0.4600684900138064,0.6689,0.644,0.577375,0.6162500000000001,1.285099999999999,0.000491152561813,0.08406587740701744,-0.04748008423571108,0.21561183904974596,0.16135496056218893,6,5,2
tbp,0.587,1.5243,1.0435,79.6608,11.5095,13.0499,79.6608,5.809499999999999,2.617978533569413,0.6875230846907436,0.2121,0.3931,0.20575,0.386875,11.7761,-0.0115828901266239,-0.030912220067060663,-0.14378498416491864,0.0819605440307973,0.5128585115594894,6,6,3
