pilot,condition,pdb,family,pwm,n_frames,stage2_docked,stage3_pass,stage4_npz,n_seeds,base_pearson,aug_pearson,dPearson,dAUROC,dMAE
tbp,dnarelax,1tgh,TBP / β-saddle,MA0343.1,99,,96,96,5.0,0.6338,0.6,-0.0338,-0.0179,0.0432
csl,standard,3brg,CSL / Rel-like,SUH_MOUSE.H11MO.0.A,100,92.0,57,57,1.0,0.6181,0.645,0.0269,0.0068,-0.0317
dux4,standard,5z6z,Homeodomain (double),DUX4_HUMAN.H11MO.0.A,98,94.0,0,0,,,,,,
egr1,standard,1aay,C2H2 zinc finger,EGR1_MOUSE.H11MO.0.A,98,107.0,89,90,6.0,0.6409,0.6139,-0.027,-0.0078,0.0442
engrailed,standard,3hdd,Homeodomain,MA0220.1,100,97.0,86,85,6.0,0.6216,0.6175,-0.0041,-0.0081,0.0206
err,standard,1lo1,Nuclear receptor,MA0141.3,100,92.0,46,41,1.0,0.6608,0.6348,-0.026,0.002,0.0248
ets1,standard,1k79,ETS,MA0098.2,100,100.0,100,99,6.0,0.6308,0.6319,0.0011,-0.0035,0.0114
foxa,standard,1vtn,Forkhead,MA1683.1,100,111.0,68,73,6.0,0.6296,0.6278,-0.0018,-0.0062,0.0147
lef1,standard,2lef,HMG-box,LEF1_MOUSE.H11MO.0.B,100,89.0,16,13,6.0,0.6275,0.6189,-0.0086,-0.007,0.0008
nfat,standard,1a66,Rel/NFAT,NFAC1_HUMAN.H11MO.0.B,100,88.0,26,19,1.0,0.6468,0.6618,0.015,0.0032,-0.0121
runx,standard,1hjc,Runt,RUNX1_MOUSE.H11MO.0.A,100,97.0,36,35,1.0,0.6281,0.6279,-0.0002,0.0052,0.0178
tbp,standard,1tgh,TBP / β-saddle,MA0343.1,99,97.0,94,94,6.0,0.6366,0.6214,-0.0152,-0.0085,0.025
