tf,arm,dna,seed,entry,family,motif,tf_name,m_pearsonr,m_spearmanr,m_auroc,m_ic_weighted_pcc,m_mae,entry_key,selffam
ets1,baseline,frozen,0,2evi_A_MA0343.1.jaspar,TBP / β-saddle,MA0343.1,NDT80 protein,0.729754394912743,0.6217615691736825,0.9039351851851852,0.580118075720098,0.5142221450805664,2evi_A_MA0343.1.jaspar.npz,False
ets1,baseline,frozen,0,2evf_A_MA0343.1.jaspar,TBP / β-saddle,MA0343.1,NDT80 protein,0.7840084943862167,0.6517615691736826,0.9450231481481483,0.6080833681180109,0.4531633257865906,2evf_A_MA0343.1.jaspar.npz,False
ets1,baseline,frozen,0,2evj_A_MA0343.1.jaspar,TBP / β-saddle,MA0343.1,NDT80 protein,0.9100735220563365,0.6586165492107888,0.984375,0.7007492911021309,0.29237526655197144,2evj_A_MA0343.1.jaspar.npz,False
ets1,baseline,frozen,0,2etw_A_MA0343.1.jaspar,TBP / β-saddle,MA0343.1,NDT80 protein,0.759168301243335,0.5955002009698229,0.9282407407407408,0.697965344199882,0.41243743896484375,2etw_A_MA0343.1.jaspar.npz,False
ets1,baseline,frozen,0,2euz_A_MA0343.1.jaspar,TBP / β-saddle,MA0343.1,NDT80 protein,0.7061302463291212,0.5643274042711568,0.8327546296296297,0.5240219339195791,0.5557454824447632,2euz_A_MA0343.1.jaspar.npz,False
ets1,baseline,frozen,0,7dcj_B_MA0486.2.jaspar,HSF,MA0486.2,Heat shock factor protein 1,0.8828115706564859,0.821495408167814,0.9791666666666666,0.867350652749638,0.26426777243614197,7dcj_B_MA0486.2.jaspar.npz,False
ets1,baseline,frozen,0,7dcj_A_HSF1_HUMAN.H11MO.0.A,HSF,HSF1,Heat shock factor protein 1,0.6523896380094811,0.4842927061281571,0.953125,0.6473101873378285,0.4406256377696991,7dcj_A_HSF1_HUMAN.H11MO.0.A.npz,False
ets1,baseline,frozen,0,5hdn_A_HSF1_HUMAN.H11MO.0.A,HSF,HSF1,Heat shock factor protein 1,0.5730358502361923,0.4548683298050514,0.9496527777777778,0.4428821261782182,0.6544946432113647,5hdn_A_HSF1_HUMAN.H11MO.0.A.npz,False
ets1,baseline,frozen,0,3wtw_C_ETS1_HUMAN.H11MO.0.A,ETS,ETS1,Runt-related transcription factor 1,0.6855030140839518,0.6100000000000001,0.9066666666666667,0.5185119429037922,0.5849077701568604,3wtw_C_ETS1_HUMAN.H11MO.0.A.npz,True
ets1,baseline,frozen,0,4l0z_B_MA0098.3.jaspar,ETS,MA0098.3,RUNX1,0.627320025084191,0.4881393850300416,0.9230324074074076,0.5176328437368027,0.6625827550888062,4l0z_B_MA0098.3.jaspar.npz,True
