pilot,entry,pdb,motif,motif_src,tf_name,pfam,family,in_subset,family_src
tbp,4l0z_B_MA0098.3.jaspar.npz,4l0z,MA0098.3,JASPAR,RUNX1,PF00853,ETS,0,curated
tbp,5z2t_D_DUX4_HUMAN.H11MO.0.A.npz,5z2t,DUX4,HOCOMOCO,DUX4,PF00046,Homeodomain,0,curated
tbp,4xrm_B_MEIS2_HUMAN.H11MO.0.B.npz,4xrm,MEIS2,HOCOMOCO,Homeobox protein Meis2,PF05920,Homeodomain,0,curated
tbp,2wty_A_MA0117.2.jaspar.npz,2wty,MA0117.2,JASPAR,TRANSCRIPTION FACTOR MAFB,PF03131,bZIP,0,intersection
tbp,1le8_B_MA0328.2.jaspar.npz,1le8,MA0328.2,JASPAR,HAP1,PF00172,Homeodomain,0,curated
tbp,2euz_A_MA0343.1.jaspar.npz,2euz,MA0343.1,JASPAR,NDT80 protein,PF05224,TBP / β-saddle,1,curated
tbp,1a1j_A_MA0162.1.jaspar.npz,1a1j,MA0162.1,JASPAR,PROTEIN (RADR ZIF268 ZINC FINGER PEPTIDE),PF00096,C2H2 zinc finger,0,curated
tbp,6byy_A_MEF2A_HUMAN.H11MO.0.A.npz,6byy,MEF2A,HOCOMOCO,MEF2 CHIMERA,PF00319,MADS-box,0,curated
tbp,4xrm_A_MEIS2_HUMAN.H11MO.0.B.npz,4xrm,MEIS2,HOCOMOCO,Homeobox protein Meis2,PF05920,Homeodomain,0,curated
tbp,3iag_C_SUH_MOUSE.H11MO.0.A.npz,3iag,SUH,HOCOMOCO,Recombining binding protein suppressor of hairless,PF09271;PF20144;PF09270,CSL/RBPJ,0,curated
tbp,1vkx_A_TF65_MOUSE.H11MO.0.A.npz,1vkx,TF65,HOCOMOCO,PROTEIN (NF-KAPPA B P65 SUBUNIT),PF16179;PF00554,Rel/NF-κB (RHD),0,curated
tbp,3wtu_A_RUNX1_MOUSE.H11MO.0.A.npz,3wtu,RUNX1,HOCOMOCO,Runt-related transcription factor 1,PF00853,Runt,0,curated
tbp,1srs_A_SRF_HUMAN.H11MO.0.A.npz,1srs,SRF,HOCOMOCO,PROTEIN (SERUM RESPONSE FACTOR (SRF)),PF00319,MADS-box,0,curated
tbp,5ke8_A_MA0039.2.jaspar.npz,5ke8,MA0039.2,JASPAR,Krueppel-like factor 4,PF00096,C2H2 zinc finger,0,curated
tbp,3kov_I_MA0052.4.jaspar.npz,3kov,MA0052.4,JASPAR,Myocyte-specific enhancer factor 2A,PF00319,MADS-box,0,curated
tbp,1c7u_A_MEF2A_HUMAN.H11MO.0.A.npz,1c7u,MEF2A,HOCOMOCO,"MYOCYTE-SPECIFIC ENHANCER FACTOR 2A, C4 FORM",PF00319,MADS-box,0,curated
tbp,6vge_A_ERG_HUMAN.H11MO.0.A.npz,6vge,ERG,HOCOMOCO,Transcriptional regulator ERG,PF00178,ETS,0,curated
tbp,2wbu_A_KLF4_MOUSE.H11MO.0.A.npz,2wbu,KLF4,HOCOMOCO,KRUEPPEL-LIKE FACTOR 4,PF00096,C2H2 zinc finger,0,curated
tbp,2evj_A_MA0343.1.jaspar.npz,2evj,MA0343.1,JASPAR,NDT80 protein,PF05224,TBP / β-saddle,1,curated
tbp,6vgg_A_ERG_HUMAN.H11MO.0.A.npz,6vgg,ERG,HOCOMOCO,Transcriptional regulator ERG,PF00178,ETS,0,curated
tbp,2wty_B_MA0117.2.jaspar.npz,2wty,MA0117.2,JASPAR,TRANSCRIPTION FACTOR MAFB,PF03131,bZIP,0,intersection
tbp,2erg_A_MA0324.1.jaspar.npz,2erg,MA0324.1,JASPAR,Regulatory protein LEU3,PF00172,Zn2Cys6 cluster,0,intersection
tbp,6b0q_A_WT1_HUMAN.H11MO.0.C.npz,6b0q,WT1,HOCOMOCO,Wilms tumor protein,PF00096,C2H2 zinc finger,0,curated
tbp,4r2d_A_MA0162.4.jaspar.npz,4r2d,MA0162.4,JASPAR,Early growth response protein 1,PF00096,C2H2 zinc finger,0,curated
tbp,6u81_A_DUX4_HUMAN.H11MO.0.A.npz,6u81,DUX4,HOCOMOCO,Double homeobox protein 4,PF00046,Homeodomain,0,curated
tbp,1a1i_A_MA0162.1.jaspar.npz,1a1i,MA0162.1,JASPAR,RADR ZIF268 ZINC FINGER PEPTIDE,PF00096,C2H2 zinc finger,0,curated
tbp,6lbi_K_FOXO1_HUMAN.H11MO.0.A.npz,6lbi,FOXO1,HOCOMOCO,Forkhead box protein O1,PF00250,Forkhead,0,curated
tbp,6vg2_D_FLI1_HUMAN.H11MO.0.A.npz,6vg2,FLI1,HOCOMOCO,Friend leukemia integration 1 transcription factor,PF00178,ETS,0,curated
tbp,6byy_A_MA0660.1.jaspar.npz,6byy,MA0660.1,JASPAR,MEF2 CHIMERA,PF00319,MADS-box,0,curated
