tf,pdb_id,state,stage,variant,comparison,rmsd_backbone_A,rmsd_sidechain_A,rmsd_total_A,rmsd_interface_A,n_backbone_atoms,n_sidechain_atoms,n_total_atoms,n_interface_atoms
egr1,1aay,1,0,shared,vs_reference,1.1206719014387927,1.1392817674237907,1.1256196115840706,0.838757322114744,340,82,422,160
egr1,1aay,1,1,shared,vs_reference,1.1206719014387927,2.1353538342623253,1.7302758402932719,1.7160434251203665,340,372,712,292
egr1,1aay,1,2,shared,vs_reference,1.1206721130378008,2.135354309545621,1.730276344152066,1.7160436492317188,340,372,712,292
egr1,1aay,1,3,metal_cage,vs_reference,1.0675098010064312,2.000468052077159,1.6286385561304562,1.5324142033480448,340,372,712,292
egr1,1aay,1,3,legacy,vs_reference,1.0704997237636986,2.0110541391386656,1.6357228955759946,1.5362477586362575,340,372,712,292
egr1,1aay,1,1,shared,delta_stage0_to_stage1,3.7855645316740894e-07,0.012222074908775976,0.005467063567319259,0.005695410871624471,340,82,422,160
egr1,1aay,1,2,shared,delta_stage1_to_stage2,1.362726675165575e-06,1.368569697263009e-06,2.026718339560279e-06,8.99020675911181e-07,340,372,712,292
egr1,1aay,1,3,metal_cage,delta_stage2_to_stage3,0.22259300399679574,0.7628235964821716,0.5744621126464698,0.7797870281156172,340,372,712,292
egr1,1aay,1,3,legacy,delta_stage2_to_stage3,0.21968116846037566,0.7520250674011157,0.5660072907266704,0.7540709743474396,340,372,712,292
egr1,1aay,2,0,shared,vs_reference,2.18426383516254,2.4113275427245924,2.2309116456878444,1.8986342879706564,340,82,422,160
egr1,1aay,2,1,shared,vs_reference,2.18426383516254,3.3289795237556516,2.8462656259607106,2.900199142038336,340,372,712,292
egr1,1aay,2,2,shared,vs_reference,2.1842638937894767,3.3289794190168767,2.846265542443695,2.900198977009355,340,372,712,292
egr1,1aay,2,3,metal_cage,vs_reference,2.167820295031601,3.3010961547855615,2.8251513097274557,2.813305162800035,340,372,712,292
egr1,1aay,2,3,legacy,vs_reference,2.178428138167649,3.3044319563378104,2.832483304086205,2.8240843793368935,340,372,712,292
egr1,1aay,2,1,shared,delta_stage0_to_stage1,4.08291368637108e-07,0.012522361133878654,0.0055272027074952865,0.0049825949026786245,340,82,422,160
egr1,1aay,2,2,shared,delta_stage1_to_stage2,1.0442849463687318e-06,1.0959698144667051e-06,8.292010345775625e-07,1.208100469686769e-06,340,372,712,292
egr1,1aay,2,3,metal_cage,delta_stage2_to_stage3,0.2478407736774677,0.612957230262432,0.47603865213428487,0.6008659637944413,340,372,712,292
egr1,1aay,2,3,legacy,delta_stage2_to_stage3,0.25336287284021924,0.9046966456296451,0.6797754915956782,0.9156575796729596,340,372,712,292
egr1,1aay,3,0,shared,vs_reference,1.1080848827000143,1.3824087146887503,1.1675509788334442,1.0660401867422262,340,82,422,160
egr1,1aay,3,1,shared,vs_reference,1.1080848827000143,2.576999663883586,2.020822388021823,2.4351889830509026,340,372,712,292
egr1,1aay,3,2,shared,vs_reference,1.1080850631177426,2.5769996982367878,2.020822509745212,2.435188856333413,340,372,712,292
egr1,1aay,3,3,metal_cage,vs_reference,1.0892969638152066,2.5962716946650395,2.0301293508807747,2.4517006326614204,340,372,712,292
egr1,1aay,3,3,legacy,vs_reference,1.0962569744002044,2.6043879078324177,2.036755092674451,2.45732864171671,340,372,712,292
egr1,1aay,3,1,shared,delta_stage0_to_stage1,6.227161675790538e-07,0.013098230925715292,0.005795674493795389,0.005778252471648459,340,82,422,160
egr1,1aay,3,2,shared,delta_stage1_to_stage2,1.0544565391290967e-06,1.066475623536707e-06,1.1104898487662142e-06,1.448807854345979e-06,340,372,712,292
egr1,1aay,3,3,metal_cage,delta_stage2_to_stage3,0.23225477319524204,0.8888580578870444,0.6653039863592576,0.8702230107573086,340,372,712,292
egr1,1aay,3,3,legacy,delta_stage2_to_stage3,0.2288831232755015,0.8684341540038437,0.6498927663760317,0.8424822525654516,340,372,712,292
egr1,1aay,4,0,shared,vs_reference,1.5095377880754204,1.6438885237252256,1.5371434813909615,1.1986844419872855,340,82,422,160
egr1,1aay,4,1,shared,vs_reference,1.5095377880754204,2.7687601472456,2.269142720635053,1.7947158460833261,340,372,712,292
egr1,1aay,4,2,shared,vs_reference,1.5095377925914775,2.768760134929801,2.2691425944872075,1.7947157137686904,340,372,712,292
egr1,1aay,4,3,metal_cage,vs_reference,1.5164711956910506,2.7541760684409686,2.262019472631719,1.7446285745474532,340,372,712,292
egr1,1aay,4,3,legacy,vs_reference,1.520416768870768,2.7230380133303282,2.2441329933454797,1.6910869108763524,340,372,712,292
egr1,1aay,4,1,shared,delta_stage0_to_stage1,7.824798553226935e-07,0.012563490228664043,0.005565158466853516,0.004845236154334563,340,82,422,160
egr1,1aay,4,2,shared,delta_stage1_to_stage2,1.2376780550620995e-06,1.1733938035202368e-06,1.0997698055903719e-06,1.089706993130787e-06,340,372,712,292
egr1,1aay,4,3,metal_cage,delta_stage2_to_stage3,0.21322685152006263,0.5504336562208683,0.4252058354684499,0.5177948934399191,340,372,712,292
egr1,1aay,4,3,legacy,delta_stage2_to_stage3,0.21254812851436597,0.7558490829329834,0.5673359470762882,0.6994767433772444,340,372,712,292
egr1,1aay,5,0,shared,vs_reference,1.3460998688341812,1.3796583316386641,1.3534948968591247,1.0401681678358803,340,82,422,160
egr1,1aay,5,1,shared,vs_reference,1.3460998688341812,2.1730831679039224,1.8300138397976504,1.6308583895630422,340,372,712,292
egr1,1aay,5,2,shared,vs_reference,1.3460998744585495,2.1730832402144165,1.8300138294226147,1.6308584827901509,340,372,712,292
egr1,1aay,5,3,metal_cage,vs_reference,1.3266795636821551,2.136965079748638,1.801254326865146,1.5782852642540424,340,372,712,292
egr1,1aay,5,3,legacy,vs_reference,1.3316779056993489,2.099501650908735,1.7807833897487335,1.5087664689162628,340,372,712,292
egr1,1aay,5,1,shared,delta_stage0_to_stage1,7.182290969033602e-07,0.013476832587952809,0.00598969101946647,0.005607987236510626,340,82,422,160
egr1,1aay,5,2,shared,delta_stage1_to_stage2,1.5662486161926433e-06,1.5801779384084714e-06,1.797212158796496e-06,1.2898339390714505e-06,340,372,712,292
egr1,1aay,5,3,metal_cage,delta_stage2_to_stage3,0.21992959044675908,0.529335042069234,0.41250059865809824,0.5225242759675583,340,372,712,292
egr1,1aay,5,3,legacy,delta_stage2_to_stage3,0.2243435178694535,0.6843096975447831,0.5197981020863456,0.6298210929066161,340,372,712,292
egr1,1aay,6,0,shared,vs_reference,2.581262958127542,2.7055862734155864,2.6063485354194866,2.5661259143230004,340,82,422,160
egr1,1aay,6,1,shared,vs_reference,2.581262958127542,3.827155152852631,3.2974329317702122,3.3289567396571798,340,372,712,292
egr1,1aay,6,2,shared,vs_reference,2.5812623620034456,3.8271550751600043,3.297432628414423,3.328956298777343,340,372,712,292
egr1,1aay,6,3,metal_cage,vs_reference,2.5724463155865323,3.7858719205312164,3.271130864720107,3.2696997604605254,340,372,712,292
egr1,1aay,6,3,legacy,vs_reference,2.5826604077994046,3.7848729961376995,3.2740094384121123,3.2736474660233488,340,372,712,292
egr1,1aay,6,1,shared,delta_stage0_to_stage1,6.007032603211344e-07,0.013289667846348309,0.005893649804837014,0.006287336333219309,340,82,422,160
egr1,1aay,6,2,shared,delta_stage1_to_stage2,1.4062725761867068e-06,1.6751632213725263e-06,1.7918545968115065e-06,1.301497871541902e-06,340,372,712,292
egr1,1aay,6,3,metal_cage,delta_stage2_to_stage3,0.21918998047185637,0.7094074702402746,0.5373422960508152,0.6386353251297262,340,372,712,292
