complex_idx,baseline_imp,augmented_frozen_imp,augmented_relax_imp,frozen_shift,relax_shift
0,0.0016250436,0.0061753625,0.0017024118,0.004550319,7.7368226e-05
1,5.362269e-08,1.2513266e-07,2.9602235e-08,7.150997e-08,-2.4020453e-08
2,3.2229806e-11,1.4583529e-07,2.7079425e-08,1.4580306e-07,2.7047195e-08
3,1.0057635e-08,4.2920625e-08,1.9749572e-11,3.2862992e-08,-1.0037885e-08
4,5.373015e-10,9.1363034e-08,8.95841e-09,9.0825736e-08,8.421108e-09
5,7.459535e-09,5.0269364e-08,4.387188e-09,4.280983e-08,-3.0723473e-09
6,0.0,9.0863665e-08,8.188375e-07,9.0863665e-08,8.188375e-07
7,0.0,2.7891694e-08,8.628021e-15,2.7891694e-08,8.628021e-15
8,0.0041447235,0.0035490326,0.00040845093,-0.0005956909,-0.0037362727
9,4.758836e-10,2.5304615e-08,7.2044614e-08,2.4828731e-08,7.156873e-08
10,4.006254e-09,1.488738e-08,1.7303048e-08,1.0881126e-08,1.3296794e-08
11,0.0018404009,0.000106507876,0.00022724939,-0.001733893,-0.0016131515
12,1.8235628e-08,5.3335548e-08,4.1745476e-08,3.509992e-08,2.3509848e-08
13,5.7621046e-09,4.5000547e-08,9.6382444e-11,3.9238444e-08,-5.665722e-09
14,5.100936e-09,1.1157383e-07,3.1416957e-23,1.06472896e-07,-5.100936e-09
15,0.0,4.9624532e-08,5.539372e-08,4.9624532e-08,5.539372e-08
16,1.0128133e-08,1.681035e-08,9.5923324e-14,6.6822174e-09,-1.0128037e-08
17,9.222693e-08,2.9781067e-08,3.219215e-08,-6.2445864e-08,-6.003478e-08
18,1.2672639e-08,6.552439e-08,4.0472822e-10,5.285175e-08,-1.2267911e-08
19,2.4613525e-09,4.8321716e-08,3.3714297e-08,4.5860364e-08,3.1252945e-08
20,1.11073646e-07,7.859932e-08,2.0093946e-08,-3.2474325e-08,-9.09797e-08
21,0.0,8.632648e-08,9.390939e-11,8.632648e-08,9.390939e-11
22,0.005260289,0.047388233,0.0014519093,0.042127945,-0.0038083799
23,2.3169972e-28,9.635576e-08,2.491975e-13,9.635576e-08,2.491975e-13
24,8.58563e-10,6.849688e-08,1.2366853e-08,6.763832e-08,1.150829e-08
25,3.2972058e-09,8.332225e-08,1.1373841e-14,8.0025046e-08,-3.2971945e-09
26,1.4787769e-07,2.1999244e-07,9.802849e-09,7.211476e-08,-1.3807484e-07
27,2.7128927e-10,7.1717615e-08,0.0,7.144632e-08,-2.7128927e-10
28,6.1803207e-09,6.81234e-08,4.148951e-11,6.1943076e-08,-6.138831e-09
29,2.8835387e-09,1.15573044e-08,1.518173e-11,8.673766e-09,-2.868357e-09
30,1.1225764e-09,4.596326e-08,9.485311e-10,4.4840686e-08,-1.7404522e-10
31,5.0121276e-08,5.959513e-08,2.4250877e-08,9.473855e-09,-2.58704e-08
32,2.7378388e-09,1.5739002e-07,8.724626e-12,1.5465218e-07,-2.7291143e-09
33,3.3631715e-09,6.405082e-09,4.8204864e-08,3.0419103e-09,4.484169e-08
34,6.0120198e-09,7.8791396e-07,7.764754e-09,7.819019e-07,1.7527344e-09
35,5.5879354e-09,1.6954601e-07,1.3002203e-09,1.6395808e-07,-4.287715e-09
36,1.9253303e-10,6.248944e-08,1.33196725e-08,6.2296905e-08,1.3127139e-08
37,6.940144e-11,2.1941819e-08,4.5346113e-07,2.1872417e-08,4.5339172e-07
38,7.437299e-08,1.708581e-07,1.6525457e-08,9.648511e-08,-5.7847537e-08
39,2.78981e-07,9.75501e-08,5.089515e-09,-1.8143089e-07,-2.738915e-07
40,3.6853766e-08,2.2488439e-07,0.0,1.8803063e-07,-3.6853766e-08
41,4.3994596e-08,5.186692e-08,4.6591078e-09,7.872323e-09,-3.933549e-08
42,0.0074162306,0.0029056717,0.0022753438,-0.004510559,-0.0051408866
43,1.0926929e-08,1.08857e-07,0.0,9.793007e-08,-1.0926929e-08
44,4.109357e-08,8.6052935e-08,4.0413672e-09,4.4959364e-08,-3.7052203e-08
45,1.0685264e-09,1.6552632e-07,2.436148e-13,1.6445779e-07,-1.0682828e-09
46,1.4621556e-08,1.2808707e-08,2.2902821e-08,-1.8128494e-09,8.281265e-09
47,8.21066e-09,6.3927445e-08,2.4377416e-13,5.5716786e-08,-8.210416e-09
48,1.0903638e-07,8.803218e-08,2.4240132e-09,-2.1004197e-08,-1.0661236e-07
49,6.287122e-08,7.557243e-08,6.937891e-09,1.2701207e-08,-5.593333e-08
50,0.0,3.2574224e-08,3.7463833e-16,3.2574224e-08,3.7463833e-16
51,2.1424897e-08,1.6429465e-07,0.0,1.4286975e-07,-2.1424897e-08
52,7.8180165e-08,5.3748607e-08,1.0735105e-08,-2.4431557e-08,-6.744506e-08
53,3.1879888e-09,3.159435e-08,1.2073542e-10,2.8406362e-08,-3.0672533e-09
54,8.676076e-08,7.091763e-14,5.199539e-10,-8.6760686e-08,-8.62408e-08
55,2.7914732e-08,8.949412e-08,1.5339776e-08,6.157939e-08,-1.2574956e-08
56,1.1815375e-08,1.3147289e-07,1.0975283e-08,1.1965751e-07,-8.4009244e-10
57,0.0,1.03167686e-07,1.6813619e-06,1.03167686e-07,1.6813619e-06
58,5.524011e-09,2.7628783e-08,6.427271e-09,2.2104771e-08,9.0326013e-10
59,5.103564e-10,7.419191e-08,3.104885e-09,7.3681555e-08,2.5945286e-09
60,2.2451527e-10,1.5702554e-07,7.89988e-11,1.5680102e-07,-1.4551646e-10
61,6.8668406e-08,1.3649105e-07,9.8515045e-09,6.782265e-08,-5.88169e-08
62,3.7647885e-09,1.0231425e-07,4.5859878e-08,9.8549464e-08,4.209509e-08
63,9.7289945e-09,2.3686978e-08,3.140497e-09,1.3957983e-08,-6.5884977e-09
64,0.003726516,0.0069410866,0.00050497387,0.0032145707,-0.003221542
65,1.08018725e-07,1.2268518e-07,1.5520934e-08,1.4666455e-08,-9.249779e-08
66,4.158314e-08,2.1029213e-07,1.2300087e-08,1.68709e-07,-2.928305e-08
67,2.8857567e-09,4.8006534e-08,9.2442534e-08,4.512078e-08,8.955678e-08
68,4.612957e-09,3.4859167e-09,6.011082e-11,-1.1270405e-09,-4.552846e-09
69,6.258785e-10,1.2864204e-07,0.0,1.2801617e-07,-6.258785e-10
70,2.692355e-21,6.234824e-08,2.0641105e-08,6.234824e-08,2.0641105e-08
71,1.0402664e-08,1.3238741e-07,5.7657967e-08,1.2198475e-07,4.7255305e-08
72,0.0,2.684384e-07,3.829849e-09,2.684384e-07,3.829849e-09
73,6.3196886e-08,5.1882402e-08,5.4228003e-08,-1.1314484e-08,-8.9688825e-09
74,2.4114602e-10,7.265219e-08,6.393638e-09,7.241105e-08,6.152492e-09
75,5.3218434e-09,1.038905e-07,2.1240025e-10,9.8568655e-08,-5.109443e-09
76,5.801225e-08,1.683577e-08,8.5526233e-07,-4.117648e-08,7.972501e-07
77,2.5939828e-08,8.605024e-08,7.219883e-08,6.0110416e-08,4.6259004e-08
78,2.5901046e-09,4.6472156e-08,5.983537e-08,4.388205e-08,5.7245266e-08
79,1.6650466e-10,7.4215095e-08,9.826526e-08,7.404859e-08,9.809876e-08
80,2.0597197e-08,6.5641686e-08,1.5690503e-08,4.5044487e-08,-4.9066937e-09
81,1.2942889e-08,3.0536164e-08,0.0,1.7593274e-08,-1.2942889e-08
82,5.2349478e-08,3.9604846e-08,1.1990137e-08,-1.2744632e-08,-4.035934e-08
83,5.8879785e-09,1.1211908e-07,3.102677e-16,1.06231106e-07,-5.887978e-09
84,0.0,1.252761e-07,1.0328187e-09,1.252761e-07,1.0328187e-09
