PDB_ID,Chain,PWM_ID,UniProt_ID,TF_Class,TF_Family,Pfam_ID,Pfam_Name
7eg8,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7egj,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7egd,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7eg9,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7egh,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7ena,DA,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7egc,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
5fur,G,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7enc,DA,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
7egb,A,TAF1_HUMAN.H11MO.0.A,TAF1_HUMAN,Unknown,Unknown,PF00439|PF12157|PF09247|PF15288,Bromodomain|DUF3591|TBP-binding|zf-CCHC_6
