tf,n_states_reach,d_min,d_med,spread,reach_ratio,rmsf_mean,cry_bend_uu,cry_bend_pp,cry_minor_w,cry_major_w,cry_shortening,froz_bend_med,froz_bend_iqr,froz_minor_med,n_froz,rel_bend_med,rel_minor_med,n_rel,mgwfl_froz,mgwfl_relax,iface_mgwfl_af3,iface_mgwfl_froz,iface_mgwfl_relax,n_iface,froz_dP_mean,froz_dP_lo,froz_dP_hi,froz_dP_p,froz_n_seeds,froz_n_neg_seeds,froz_dMAE_mean,rel_dP_mean,rel_dP_lo,rel_dP_hi,rel_dP_p,rel_n_seeds,rel_n_neg_seeds,rel_dMAE_mean,bend_dev,groove_dev,z_bend_dev,z_groove_dev,induced_fit_index,z_reach,conf_selection_index,mechanism_score
csl,77,1.5836,2.5737,2.7922,0.567158,1.8207,23.0019,26.4701,5.9794,11.9404,1.4122,30.0225,2.402350000000002,6.12805,84,31.0886,6.2439,89,0.782,1.0288,0.0899999999999999,0.6033333333333332,0.596,10.0,-0.04983832483907491,-0.15052502446077543,0.050848374782625605,0.24132244779053466,5.0,4.0,0.060487424822954036,0.0006201341619329837,-0.04672687496265512,0.04796714328652108,0.9727338488853055,5.0,1.0,-0.0007516495310343485,23.0019,0.27939999999999987,0.10217150352988502,-0.8248022258518958,-0.3613153611610054,0.31284333418655264,0.31284333418655264,0.674158695347558
dux4,90,10.4536,15.9215,5.3955,1.93748,3.9996,9.4996,13.7655,6.3576,11.2184,2.0062,28.5779,25.81275,6.52965,92,28.21,6.5925,93,1.6446,2.0054,,,,,,,,,,,,,,,,,,,9.4996,0.6575999999999995,-0.4456704379855836,-0.5745169209820353,-0.5100936794838095,-3.0219041943827576,-3.0219041943827576,-2.511810514898948
egr1,98,0.797,1.519,2.8895,0.275814,2.6307,3.8727,12.48,8.4822,11.3033,1.1434,9.46,5.245999999999999,7.76455,98,9.5014,7.3146,96,0.2933,0.7171,0.19275,0.29325,0.7171428571428572,10.0,-0.01677953506285239,-0.053147456038887736,0.019588385913182956,0.2694192043300343,5.0,3.0,0.034957937873326794,-0.023494579947390327,-0.04847639767839376,0.0014872377836131073,0.05934788946686974,5.0,5.0,0.041171673284127144,3.8727,2.7822000000000005,-0.6739761207739522,0.8315014786121112,0.07876267891907951,0.6085719030673439,0.6085719030673439,0.5298092241482644
engrailed,93,0.6896,1.9527,2.8123,0.245218,1.567,8.1173,12.2866,7.006,11.636,1.1733,9.7672,2.4436,7.0182,95,7.088150000000001,6.82685,96,0.2858,0.4226,0.2104,0.5458000000000001,0.6214000000000001,5.0,0.016027316792358783,-0.026417624963509863,0.05847225854822743,0.3536240902817154,5.0,1.0,-0.008208556736891115,0.007779455478932817,-0.05813864670765212,0.07369755766551775,0.7595955912415682,5.0,2.0,0.0030008014348837262,8.1173,1.306,-0.5017558394176975,-0.14541858233153881,-0.32358721087461817,0.6489497930975969,0.6489497930975969,0.9725370039722151
err,88,2.0775,4.0419,5.6539,0.367442,3.7285,2.1118,1.4696,4.5581,12.99,0.3675,4.66665,7.927475,4.76225,90,6.4491,5.0465,92,1.4874,1.5254,0.1531428571428571,1.357,1.4224285714285716,7.0,-0.023165255038918576,-0.05796707568772476,0.01163656560988761,0.13829449834589466,5.0,4.0,0.026511517006617337,-0.004933306344918342,-0.09323736267621485,0.08337074998637817,0.8702117664819788,4.0,2.0,0.0062389323344597125,2.1118,1.1419000000000006,-0.745422827987878,-0.2540167275698889,-0.49971977777888343,0.1271576741684711,0.1271576741684711,0.6268774519473546
ets1,100,0.8694,1.264,1.7115,0.507978,1.0521,19.2163,18.2353,7.1339,11.2909,1.6474,19.28785,2.911625000000001,7.0962,100,20.13695,6.79405,98,0.1968,0.4041,0.2492857142857142,0.1907142857142857,0.3477142857142857,8.0,-0.002371878179577136,-0.03575745147394997,0.031013695114795698,0.8532476535401723,5.0,2.0,0.014569670328727136,-0.017569992264004373,-0.06247210494850697,0.02733212042049822,0.3383856270457132,5.0,3.0,0.032868761168076466,19.2163,1.4338999999999995,-0.051425324699450534,-0.06077688351383641,-0.05610110410664347,0.5813525433076576,0.5813525433076576,0.6374536474143011
foxa,90,1.785,4.0298,5.9115,0.301946,3.6301,15.7659,22.9323,6.3057,12.2126,2.073,22.9177,4.065799999999999,6.2046,91,23.75795,6.06015,90,1.1376,1.3454,0.096625,1.1395,1.43975,8.0,-0.00407009427488556,-0.043557894103223284,0.03541770555345216,0.7889541902109021,5.0,3.0,0.01632875270568408,-0.036377105677255404,-0.04579833761635748,-0.02695587373815333,0.0004290730790752195,5.0,5.0,0.04002488072101884,15.7659,0.6056999999999997,-0.19142175752978113,-0.6088633179221351,-0.4001425377259581,0.237125391429635,0.237125391429635,0.6372679291555932
hsf,95,1.1174,1.5865,1.9776,0.565055,1.1353,1.4134,11.1466,6.5976,12.7943,0.8086,12.4204,3.4894999999999996,6.5883,97,13.6973,6.41435,98,0.2133,0.5969,0.1966666666666666,0.1535,0.641,5.0,0.0030560823717958206,-0.026845385166825976,0.03295754991041762,0.7906712986843142,5.0,2.0,-0.011747028598418585,0.020664159441196282,-0.01811659042459423,0.059444909306986794,0.21312136007702684,5.0,1.0,-0.0027519260690762604,1.4134,0.8975999999999997,-0.773759690000602,-0.41568965189486823,-0.5947246709477351,0.48811495739049987,0.48811495739049987,1.0828396283382349
irf,87,4.1289,4.5653,3.0418,1.357414,1.9423,16.8575,19.067,6.3015,12.3568,2.5861,170.7355,8.54325,,91,168.8555,,93,,,0.0941666666666666,,,6.0,-0.01305586143440698,-0.0385764946913926,0.012464771822578642,0.2285286479284335,5.0,3.0,0.012295344609480674,-0.01117106990939094,-0.04721168911036924,0.024869549291587367,0.43799489081223175,5.0,3.0,0.007803675257242637,16.8575,0.6014999999999997,-0.1471312097447159,-0.6116427951311605,-0.3793870024379382,-0.6440825828898245,-0.6440825828898245,-0.26469558045188624
lef1,77,2.4296,5.0086,6.3956,0.379887,4.1594,67.8707,67.931,8.3374,9.5847,11.1024,69.4964,10.991849999999985,8.60585,83,70.1364,8.8948,85,1.5252,1.3593,0.1514545454545454,1.22,1.274,11.0,0.0012299816983798173,-0.06699586399227439,0.06945582738903402,0.9578553149501451,4.0,2.0,-0.007273956445547236,0.039222169860595,-0.11993060476658081,0.19837494448777082,0.5314104611969844,5.0,4.0,-0.050260773599147844,67.8707,2.6374000000000004,1.9226769363427583,0.7356756929295204,1.3291763146361393,-0.005217140353429064,-0.005217140353429064,-1.3343934549895684
nfat,84,3.6938,5.2594,4.4299,0.833848,2.393,10.9202,14.8412,5.4468,11.4332,0.612,12.106300000000001,9.9513,5.26355,86,9.3964,4.8963,88,1.3008,1.4285,0.1031666666666666,1.3008333333333333,1.3763999999999998,9.0,-0.038299648565653405,-0.09484490022046399,0.018245603089157174,0.12007703939954059,4.0,4.0,0.040318735115803195,-0.00013179050073650612,-0.025100734305722884,0.02483715330424987,0.9890095655420146,5.0,2.0,-0.0007929814091095722,10.9202,0.25320000000000054,-0.38803105342762867,-0.8421408693939111,-0.6150859614107699,-0.48050325372629504,-0.48050325372629504,0.13458270768447483
runx,97,1.192,2.5684,3.1278,0.381111,1.5054,7.9806,6.7416,7.1287,11.1813,1.0208,7.2925,1.285099999999999,6.9867,97,8.70895,6.473000000000001,96,0.6689,0.644,0.0989999999999999,0.577375,0.6162500000000001,8.0,0.000491152561813002,-0.016400477342653274,0.017382782466279275,0.9395347092057195,5.0,3.0,0.0016193640002837516,0.01608432632803325,-0.023151678749004194,0.05532033140507069,0.31859368684374734,5.0,2.0,-0.017458927998175965,7.9806,1.4287,-0.5073023013838193,-0.06421814101072465,-0.28576022119727196,0.46006849001380645,0.46006849001380645,0.7458287112110784
tbp,91,0.587,1.2083,1.5243,0.385076,1.0435,79.6608,72.1919,11.5095,12.4091,13.0499,74.62700000000001,11.7761,11.892,94,72.30695,11.8584,96,0.2121,0.3931,0.20225,0.20575,0.386875,8.0,-0.011582890126623991,-0.0561569238687076,0.032991143615459614,0.5105337744351269,5.0,3.0,0.020421441999765543,-0.03923292645358158,-0.0787711575483475,0.0003053046411843341,0.05111092705873785,5.0,5.0,0.04717641394871934,79.6608,5.809499999999999,2.401048123078464,2.834908944060363,2.6179785335694135,0.6875230846907436,0.6875230846907436,-1.9304554488786698
