bp_Bres,cond,mean_c1c1,sd_c1c1,n
11,frozen,12.2312,0.0528,97
12,frozen,12.276,0.0401,97
13,frozen,13.1778,0.097,97
14,frozen,13.062,0.0778,97
15,frozen,12.5178,0.2028,97
16,frozen,12.3418,0.267,97
17,frozen,11.8414,0.4348,97
18,frozen,12.6907,0.4435,97
19,frozen,13.1896,0.4033,97
20,frozen,12.8562,0.4377,97
21,frozen,13.0973,0.3933,97
22,frozen,12.8109,0.4384,97
23,frozen,11.0706,0.2895,97
24,frozen,12.0363,0.2097,97
25,frozen,12.2444,0.0741,97
26,frozen,12.7883,0.046,97
11,relaxed,12.0605,0.1204,96
12,relaxed,12.3177,0.0678,96
13,relaxed,13.2974,0.1036,96
14,relaxed,13.325,0.0955,96
15,relaxed,12.6443,0.2499,96
16,relaxed,12.5666,0.3269,96
17,relaxed,12.097,0.6611,96
18,relaxed,12.8152,0.6852,96
19,relaxed,13.4645,0.6031,96
20,relaxed,12.9631,0.6544,96
21,relaxed,13.1871,0.5303,96
22,relaxed,12.8523,0.5307,96
23,relaxed,11.4132,0.4089,96
24,relaxed,12.1884,0.266,96
25,relaxed,12.4363,0.1154,96
26,relaxed,12.7363,0.0925,96
