tf,arm,dna,entry,family,motif,tf_name,n_seeds,mean_pearsonr,mean_spearmanr,mean_auroc,mean_ic_weighted_pcc,mean_mae
ets1,baseline,frozen,2evi_A_MA0343.1.jaspar.npz,TBP / β-saddle,MA0343.1,NDT80 protein,5,0.8085943269170821,0.6413565872609667,0.9275462962962964,0.5767524171553334,0.5044868767261506
ets1,baseline,frozen,2evf_A_MA0343.1.jaspar.npz,TBP / β-saddle,MA0343.1,NDT80 protein,5,0.7983706910171895,0.6170320319406297,0.922800925925926,0.5602746543318381,0.47487841844558715
ets1,baseline,frozen,2evj_A_MA0343.1.jaspar.npz,TBP / β-saddle,MA0343.1,NDT80 protein,5,0.8795797732454957,0.5961512473537885,0.9739583333333334,0.6587968087010185,0.3741528630256653
ets1,baseline,frozen,2etw_A_MA0343.1.jaspar.npz,TBP / β-saddle,MA0343.1,NDT80 protein,5,0.8339788252164404,0.5955310437636003,0.9009259259259259,0.6216380543559985,0.42739740014076233
ets1,baseline,frozen,2euz_A_MA0343.1.jaspar.npz,TBP / β-saddle,MA0343.1,NDT80 protein,5,0.7460965218226192,0.5490847000186092,0.882986111111111,0.5058739252585978,0.5573247492313385
ets1,baseline,frozen,7dcj_B_MA0486.2.jaspar.npz,HSF,MA0486.2,Heat shock factor protein 1,5,0.9091372347262222,0.6647027020396568,0.9927083333333334,0.9023957872259369,0.23326721489429475
ets1,baseline,frozen,7dcj_A_HSF1_HUMAN.H11MO.0.A.npz,HSF,HSF1,Heat shock factor protein 1,5,0.7154555509361671,0.45446263565463046,0.9541666666666666,0.6877359649064456,0.36585533618927
ets1,baseline,frozen,5hdn_A_HSF1_HUMAN.H11MO.0.A.npz,HSF,HSF1,Heat shock factor protein 1,5,0.5663978147390298,0.45524555320336757,0.8851851851851851,0.38436507720642743,0.7513546705245971
ets1,baseline,frozen,3wtw_C_ETS1_HUMAN.H11MO.0.A.npz,ETS,ETS1,Runt-related transcription factor 1,5,0.6863013511404279,0.5260000000000001,0.9046666666666667,0.5358342705097577,0.5331224918365478
ets1,baseline,frozen,4l0z_B_MA0098.3.jaspar.npz,ETS,MA0098.3,RUNX1,5,0.7350984524653541,0.5722753286512204,0.9358796296296298,0.57014951124511,0.5774409055709839
ets1,baseline,frozen,3wtu_C_ETS1_HUMAN.H11MO.0.A.npz,ETS,ETS1,Runt-related transcription factor 1,5,0.6397014119196683,0.46799999999999997,0.9033333333333333,0.5385894894325359,0.5692759990692139
ets1,baseline,frozen,3wts_C_ETS1_HUMAN.H11MO.0.A.npz,ETS,ETS1,Runt-related transcription factor 1,5,0.6922130770186776,0.516,0.9193333333333333,0.5484430014437376,0.518868750333786
ets1,baseline,frozen,3wtw_H_MA0098.3.jaspar.npz,ETS,MA0098.3,Runt-related transcription factor 1,5,0.6018914029215011,0.45330166269021,0.8936342592592593,0.516963163193052,0.6810598254203797
ets1,baseline,frozen,1n6j_A_MA0660.1.jaspar.npz,MADS-box,MA0660.1,Myocyte-specific enhancer factor 2B,5,0.7409161387922358,0.6957401010189657,0.9463541666666668,0.6520428480211573,0.5334252119064331
ets1,baseline,frozen,6byy_A_MA0660.1.jaspar.npz,MADS-box,MA0660.1,MEF2 CHIMERA,5,0.7807698223739863,0.7336147422649563,0.9635416666666666,0.6678555469258196,0.5262253999710083
ets1,baseline,frozen,6byy_D_MA0660.1.jaspar.npz,MADS-box,MA0660.1,MEF2 CHIMERA,5,0.7850253066901738,0.6145436558261305,0.7739583333333334,0.6674897709458502,0.5242291986942291
ets1,baseline,frozen,1n6j_B_MEF2B_HUMAN.H11MO.0.A.npz,MADS-box,MEF2B,Myocyte-specific enhancer factor 2B,5,0.5943289957474189,0.6565437744847146,0.7972789115646259,0.3869426635185472,0.6581330299377441
ets1,baseline,frozen,6byy_B_MA0660.1.jaspar.npz,MADS-box,MA0660.1,MEF2 CHIMERA,5,0.7807698485338026,0.7336147422649563,0.9635416666666666,0.6678555767928225,0.5262253761291504
ets1,baseline,frozen,1c7u_B_MEF2A_HUMAN.H11MO.0.A.npz,MADS-box,MEF2A,"MYOCYTE-SPECIFIC ENHANCER FACTOR 2A, C4 FORM",5,0.2960585795245909,0.23833333333333329,0.6129629629629629,0.20405140196988975,0.9673935174942017
ets1,baseline,frozen,1c7u_A_MEF2A_HUMAN.H11MO.0.A.npz,MADS-box,MEF2A,"MYOCYTE-SPECIFIC ENHANCER FACTOR 2A, C4 FORM",5,0.29605857192946133,0.23833333333333329,0.6129629629629629,0.20405139815301454,0.9673935651779175
ets1,baseline,frozen,3kov_B_MEF2A_HUMAN.H11MO.0.A.npz,MADS-box,MEF2A,Myocyte-specific enhancer factor 2A,5,0.5327394694025214,0.5844444444444445,0.884375,0.3572781762740823,0.7651543974876404
ets1,baseline,frozen,3kov_I_MA0052.4.jaspar.npz,MADS-box,MA0052.4,Myocyte-specific enhancer factor 2A,5,0.6671820156974718,0.6977777777777778,0.9080729166666666,0.4737666315263379,0.5710946798324585
ets1,baseline,frozen,6byy_A_MEF2A_HUMAN.H11MO.0.A.npz,MADS-box,MEF2A,MEF2 CHIMERA,5,0.6939870494262625,0.7333333333333333,0.9291666666666666,0.4865197973201602,0.6106792449951172
ets1,baseline,frozen,3iag_C_SUH_MOUSE.H11MO.0.A.npz,CSL/RBPJ,SUH,Recombining binding protein suppressor of hairless,5,0.7374643862771336,0.4774999999999999,0.946875,0.6167759214415667,0.35670470595359804
ets1,baseline,frozen,6wqu_C_SUH_MOUSE.H11MO.0.A.npz,CSL/RBPJ,SUH,Recombining binding protein suppressor of hairless,5,0.8039023787423503,0.5475,0.9604166666666666,0.6171085658346953,0.3444912314414978
ets1,baseline,frozen,6dks_G_SUH_MOUSE.H11MO.0.A.npz,CSL/RBPJ,SUH,Recombining binding protein suppressor of hairless,5,0.6674763115763198,0.4375,0.9333333333333333,0.4889436662537626,0.5231011986732483
ets1,baseline,frozen,6dks_C_SUH_MOUSE.H11MO.0.A.npz,CSL/RBPJ,SUH,Recombining binding protein suppressor of hairless,5,0.6584901837079087,0.425,0.928125,0.49974712581592123,0.5125438928604126
ets1,baseline,frozen,3v79_C_MA1116.1.jaspar.npz,CSL/RBPJ,MA1116.1,Neurogenic locus notch homolog protein 1,5,0.7021360825543524,0.5126387925719987,0.9395833333333334,0.7340864882784237,0.4926471173763275
ets1,baseline,frozen,1srs_B_SRF_HUMAN.H11MO.0.A.npz,MADS-box,SRF,PROTEIN (SERUM RESPONSE FACTOR (SRF)),5,0.7462942425108684,0.5813316112434049,0.8814814814814815,0.5642656843502775,0.5170147776603699
ets1,baseline,frozen,1srs_A_SRF_HUMAN.H11MO.0.A.npz,MADS-box,SRF,PROTEIN (SERUM RESPONSE FACTOR (SRF)),5,0.7462942484533415,0.5813316112434049,0.8814814814814815,0.5642656876363421,0.5170147716999054
ets1,baseline,frozen,1ram_A_TF65_MOUSE.H11MO.0.A.npz,Rel/NF-κB (RHD),TF65,PROTEIN (TRANSCRIPTION FACTOR NF-KB P65),5,0.431920493696689,0.476,0.8186666666666668,0.3095246778092572,0.9216041207313538
ets1,baseline,frozen,1vkx_A_TF65_MOUSE.H11MO.0.A.npz,Rel/NF-κB (RHD),TF65,PROTEIN (NF-KAPPA B P65 SUBUNIT),5,0.712274346735212,0.5119999999999999,0.9360000000000002,0.5994311542432118,0.4988071024417877
ets1,baseline,frozen,2i9t_A_TF65_MOUSE.H11MO.0.A.npz,Rel/NF-κB (RHD),TF65,Transcription factor p65,5,0.8253278949816012,0.5760000000000001,0.9813333333333333,0.614402991953021,0.4524251401424408
ets1,baseline,frozen,3gut_E_MA0107.1.jaspar.npz,Rel/NF-κB (RHD),MA0107.1,Transcription factor p65,5,0.7593980273394845,0.5926322688109055,0.952,0.7384207598963869,0.44126224517822266
ets1,baseline,frozen,1ram_B_TF65_MOUSE.H11MO.0.A.npz,Rel/NF-κB (RHD),TF65,PROTEIN (TRANSCRIPTION FACTOR NF-KB P65),5,0.4319204909539439,0.476,0.8186666666666668,0.3095246733840029,0.9216041088104248
ets1,baseline,frozen,7jm4_H_MA1419.1.jaspar.npz,IRF,MA1419.1,Interferon regulatory factor 4,5,0.7410347617324441,0.5780000000000001,0.9380787037037038,0.7084094512232382,0.564657324552536
ets1,baseline,frozen,7jm4_A_MA1419.1.jaspar.npz,IRF,MA1419.1,Interferon regulatory factor 4,5,0.7545047811872791,0.5860000000000001,0.9483796296296296,0.7503522747245208,0.5390855312347412
ets1,baseline,frozen,7jm4_G_MA1419.1.jaspar.npz,IRF,MA1419.1,Interferon regulatory factor 4,5,0.7410347647964954,0.5780000000000001,0.9380787037037038,0.7084094716779852,0.5646573364734649
