pilot,af3_n,af3_mean_rmsd,af3_std_rmsd,bioemu_n,bioemu_mean_rmsd,bioemu_std_rmsd
csl,10,1.1542,0.0719,92,2.623,0.5948
dux4,10,7.8066,6.1504,94,15.8695,1.662
egr1,10,0.3735,0.0369,98,2.1506,1.9418
engrailed,10,0.3876,0.0177,97,2.1307,0.7572
err,10,0.9755,0.1444,92,4.6518,2.2829
ets1,10,0.4761,0.0206,100,1.4222,0.4556
foxa,10,1.158,0.0577,92,4.5034,2.0275
hsf,10,0.8886,0.0802,99,1.7852,0.3937
irf,10,3.985,0.0167,95,4.6778,0.4374
lef1,10,1.1103,0.12,89,5.2615,2.0903
nfat,10,4.7852,0.0789,88,5.3283,0.8279
runx,10,0.3221,0.0104,97,2.6843,0.8104
tbp,10,0.5529,0.0468,97,1.2806,0.3768
