pilot,source,n,n_pairs,median_pairwise,mean_pairwise,p90_pairwise,max_pairwise,std_pairwise
ets1,bioemu,100,4950,1.619,1.7512,2.4,4.9321,0.5525
ets1,af3,10,45,0.1195,0.123,0.1618,0.2066,0.0326
tbp,bioemu,97,4656,1.501,1.5705,2.2412,3.8421,0.4955
tbp,af3,10,45,0.1502,0.1591,0.2314,0.3212,0.0491
egr1,bioemu,98,4753,1.9333,2.8954,6.7226,15.3596,2.6326
egr1,af3,10,45,0.1743,0.1785,0.2183,0.2387,0.0316
engrailed,bioemu,97,4656,2.7082,2.8375,4.0843,7.5942,0.9458
engrailed,af3,10,45,0.1273,0.1283,0.1602,0.1755,0.022
foxa,bioemu,92,4186,5.6207,5.923,8.6194,16.4096,2.1517
foxa,af3,10,45,0.4041,0.4366,0.6588,0.7048,0.1456
lef1,bioemu,89,3916,5.9497,6.3595,9.26,20.5028,2.7485
lef1,af3,10,45,0.9336,0.9576,1.2328,1.5081,0.2188
