pilot,af3,frozen,relaxed,ens_mean,frozen_over_af3,relaxed_over_af3
ets1,0.218,0.1968,0.4041,0.3004,0.9,1.85
tbp,0.2384,0.2121,0.3931,0.3026,0.89,1.65
engrailed,0.2088,0.2858,0.4226,0.3542,1.37,2.02
hsf,0.1496,0.2133,0.5969,0.4051,1.43,3.99
egr1,0.1928,0.2932,0.7171,0.5052,1.52,3.72
runx,0.1178,0.6689,0.644,0.6565,5.68,5.47
csl,0.0927,0.782,1.0288,0.9054,8.44,11.1
foxa,0.0987,1.1376,1.3454,1.2415,11.53,13.64
nfat,0.1055,1.3008,1.4285,1.3647,12.33,13.54
lef1,0.1515,1.5252,1.3592,1.4422,10.07,8.97
err,0.1551,1.4874,1.5254,1.5064,9.59,9.83
dux4,0.4671,1.6446,2.0054,1.825,3.52,4.29
