pilot,stage,pdb_id,state,n_iface_res,n_segments,seq_ident,iRMSD_global,iRMSD_seg_max,iRMSD_seg_mean,fnat
csl,stage3,3brg,1,21,6,1.0,2.377,1.333,0.615,0.674
csl,stage3,3brg,2,21,6,1.0,3.084,1.781,0.74,0.535
csl,stage3,3brg,3,21,6,1.0,3.955,2.684,1.094,0.395
csl,stage3,3brg,4,21,6,1.0,2.742,1.846,0.611,0.558
csl,stage3,3brg,5,21,6,1.0,3.769,2.045,0.864,0.419
csl,stage3,3brg,6,21,6,1.0,2.724,1.64,0.666,0.535
csl,stage3,3brg,7,21,6,1.0,3.215,2.475,0.712,0.698
csl,stage3,3brg,8,21,6,1.0,2.786,2.347,0.758,0.512
csl,stage3,3brg,9,21,6,1.0,2.989,1.647,0.653,0.535
csl,stage3,3brg,10,21,6,1.0,3.025,2.512,0.696,0.465
csl,stage3,3brg,11,21,6,1.0,2.633,2.32,0.584,0.558
csl,stage3,3brg,12,21,6,1.0,3.171,2.032,0.619,0.442
csl,stage3,3brg,13,21,6,1.0,2.79,1.526,0.609,0.465
csl,stage3,3brg,14,21,6,1.0,2.968,2.271,0.746,0.558
csl,stage3,3brg,15,21,6,1.0,4.697,2.621,1.005,0.372
csl,stage3,3brg,16,21,6,1.0,3.999,1.137,0.512,0.395
csl,stage3,3brg,17,21,6,1.0,3.224,2.388,0.728,0.558
csl,stage3,3brg,18,21,6,1.0,3.001,2.425,0.668,0.651
csl,stage3,3brg,20,21,6,1.0,2.353,1.869,0.671,0.698
csl,stage3,3brg,21,21,6,1.0,3.249,2.182,0.654,0.605
csl,stage3,3brg,22,21,6,1.0,3.18,2.341,0.755,0.419
csl,stage3,3brg,23,21,6,1.0,2.49,1.955,0.633,0.674
csl,stage3,3brg,24,21,6,1.0,2.384,1.406,0.61,0.558
csl,stage3,3brg,25,21,6,1.0,3.191,2.131,0.899,0.581
csl,stage3,3brg,26,21,6,1.0,2.396,2.24,0.649,0.628
csl,stage3,3brg,27,21,6,1.0,3.476,2.542,0.841,0.395
csl,stage3,3brg,28,21,6,1.0,2.701,2.198,0.856,0.465
csl,stage3,3brg,29,21,6,1.0,3.165,2.275,0.717,0.442
csl,stage3,3brg,30,21,6,1.0,3.074,1.945,0.586,0.581
csl,stage3,3brg,31,21,6,1.0,2.263,1.189,0.607,0.581
csl,stage3,3brg,32,21,6,1.0,2.879,1.573,0.605,0.512
csl,stage3,3brg,33,21,6,1.0,3.164,1.868,0.691,0.512
csl,stage3,3brg,35,21,6,1.0,2.851,1.694,0.694,0.512
csl,stage3,3brg,36,21,6,1.0,2.658,2.474,0.777,0.488
csl,stage3,3brg,37,21,6,1.0,2.236,2.092,0.567,0.744
csl,stage3,3brg,38,21,6,1.0,1.61,1.238,0.443,0.674
csl,stage3,3brg,39,21,6,1.0,2.444,1.692,0.753,0.651
csl,stage3,3brg,40,21,6,1.0,2.883,2.458,0.63,0.651
csl,stage3,3brg,41,21,6,1.0,2.878,1.597,0.703,0.488
csl,stage3,3brg,42,21,6,1.0,2.185,2.326,0.7,0.535
csl,stage3,3brg,43,21,6,1.0,2.34,2.412,0.698,0.605
csl,stage3,3brg,44,21,6,1.0,2.732,2.248,0.684,0.628
csl,stage3,3brg,45,21,6,1.0,2.351,1.748,0.606,0.558
csl,stage3,3brg,46,21,6,1.0,2.721,2.386,0.701,0.628
csl,stage3,3brg,47,21,6,1.0,3.27,2.311,0.645,0.488
csl,stage3,3brg,49,21,6,1.0,2.67,1.759,0.711,0.721
csl,stage3,3brg,50,21,6,1.0,2.066,1.542,0.581,0.488
csl,stage3,3brg,51,21,6,1.0,2.15,1.277,0.593,0.488
csl,stage3,3brg,54,21,6,1.0,3.034,2.781,0.693,0.326
csl,stage3,3brg,55,21,6,1.0,2.548,2.188,0.648,0.488
csl,stage3,3brg,56,21,6,1.0,2.28,1.867,0.599,0.698
csl,stage3,3brg,57,21,6,1.0,2.727,2.317,0.625,0.651
