pilot,n,d_min,d_med,spread,reach_ratio,rmsf_mean
csl,77,1.5836,2.5737,2.7922,0.567158,1.8207
dux4,90,10.4536,15.9215,5.3955,1.93748,3.9996
egr1,98,0.797,1.519,2.8895,0.275814,2.6307
engrailed,93,0.6896,1.9527,2.8123,0.245218,1.567
err,88,2.0775,4.0419,5.6539,0.367442,3.7285
ets1,100,0.8694,1.264,1.7115,0.507978,1.0521
foxa,90,1.785,4.0298,5.9115,0.301946,3.6301
hsf,95,1.1174,1.5865,1.9776,0.565055,1.1353
irf,87,4.1289,4.5653,3.0418,1.357414,1.9423
lef1,77,2.4296,5.0086,6.3956,0.379887,4.1594
nfat,84,3.6938,5.2594,4.4299,0.833848,2.393
runx,97,1.192,2.5684,3.1278,0.381111,1.5054
tbp,91,0.587,1.2083,1.5243,0.385076,1.0435
