pilot,pdb_id,af3_n,af3_mean_rmsd_crystal,af3_std_rmsd_crystal,af3_n_pairs,af3_mean_pairwise_rmsd,af3_std_pairwise_rmsd,bioemu_n,bioemu_mean_rmsd_crystal,bioemu_std_rmsd_crystal,bioemu_n_pairs,bioemu_mean_pairwise_rmsd,bioemu_std_pairwise_rmsd
csl,3brg,10,1.1542,0.0719,45,0.4426,0.1413,92,2.623,0.5948,4186,2.8153,0.7399
dux4,5z6z,10,7.8066,6.1504,45,8.4839,6.171,94,15.8695,1.662,4371,5.3599,2.3522
egr1,1aay,10,0.3735,0.0369,45,0.1785,0.0316,98,2.1506,1.9418,4753,2.8954,2.6326
engrailed,3hdd,10,0.3876,0.0177,45,0.1283,0.022,97,2.1307,0.7572,4656,2.8375,0.9458
err,1lo1,10,0.9755,0.1444,45,0.6296,0.1708,92,4.6518,2.2829,4186,5.5832,2.662
ets1,1k79,10,0.4761,0.0206,45,0.123,0.0326,100,1.4222,0.4556,4950,1.7512,0.5525
foxa,1vtn,10,1.158,0.0577,45,0.4366,0.1456,92,4.5034,2.0275,4186,5.923,2.1517
hsf,5d5u,10,0.8886,0.0802,45,0.4034,0.0893,99,1.7852,0.3937,4851,2.0102,0.5385
irf,1if1,10,3.985,0.0167,45,0.1645,0.0283,95,4.6778,0.4374,4465,3.0707,0.9288
lef1,2lef,10,1.1103,0.12,45,0.9576,0.2188,89,5.2615,2.0903,3916,6.3595,2.7485
nfat,1a66,10,4.7852,0.0789,45,0.442,0.1599,88,5.3283,0.8279,3828,4.395,1.2498
runx,1hjc,10,0.3221,0.0104,45,0.0963,0.0169,97,2.6843,0.8104,4656,3.1491,0.9445
tbp,1tgh,10,0.5529,0.0468,45,0.1591,0.0491,97,1.2806,0.3768,4656,1.5705,0.4955
