tf,cry,froz,relax,froz_vs_cry,relax_vs_cry,relax_shift,closer_to_crystal,minor_relax_shift
csl,23.002,30.023,31.089,7.021,8.087,1.066,False,0.116
dux4,9.5,28.578,28.21,19.078,18.71,-0.368,True,0.063
egr1,3.873,9.46,9.501,5.587,5.628,0.041,False,-0.45
engrailed,8.117,9.767,7.088,1.65,-1.029,-2.679,True,-0.191
err,2.112,4.667,6.449,2.555,4.337,1.782,False,0.285
ets1,19.216,19.288,20.137,0.072,0.921,0.849,False,-0.302
foxa,15.766,22.918,23.758,7.152,7.992,0.84,False,-0.145
hsf,1.413,12.42,13.697,11.007,12.284,1.277,False,-0.174
irf,16.858,170.735,168.856,153.877,151.998,-1.879,True,
lef1,67.871,69.496,70.136,1.625,2.265,0.64,False,0.289
nfat,10.92,12.106,9.396,1.186,-1.524,-2.71,False,-0.368
runx,7.981,7.293,8.709,-0.688,0.728,1.416,False,-0.514
tbp,79.661,74.627,72.307,-5.034,-7.354,-2.32,False,-0.034
