pilot,family,spread,d_min,reach_ratio,rmsf_mean,aug_dP,dna_deform,reach_status
csl,CSL / RBPJ,2.6839,1.5836,0.567158,1.8207,,modest,computed
dux4,Homeodomain (dimer),4.9198,10.4536,1.93748,3.9996,,modest,computed
egr1,C2H2 zinc finger,1.9333,0.797,0.275814,2.6307,-0.0025293934583481073,minimal,computed
engrailed,Homeodomain,2.7082,0.6896,0.245218,1.567,-0.015237467017145657,modest,computed
err,Nuclear receptor,5.0641,2.0775,0.367442,3.7285,,modest,computed
ets1,ETS,1.619,0.8694,0.507978,1.0521,0.11085633745430842,minimal,computed
foxa,Forkhead,5.6207,1.785,0.301946,3.6301,-0.0055525637430696275,modest,computed
hsf,HSF,1.9089,1.1174,0.565055,1.1353,0.0366290076305934,modest,computed
irf,IRF,,4.1289,1.357414,1.9423,0.03319295707042341,minimal,computed
lef1,HMG-box,5.9497,2.4296,0.379887,4.1594,,severe (~110° bend),computed
nfat,Rel / NFAT,4.1846,3.6938,0.833848,2.393,,modest,computed
runx,Runt,3.0632,1.192,0.381111,1.5054,0.08406587740701746,modest,computed
tbp,TBP / β-saddle,1.501,0.587,0.385076,1.0435,-0.030912220067060608,extreme (~80° kink),computed
